event,time,magnitude,e_magnitude,upperlimit,band,instrument,telescope,source
SN2009gf,55012.3267,20.510,0.246,F,UVW2,UVOT,Swift,2014Ap&SS.354...89B
SN2009gf,55012.3278,16.522,0.074,F,V,UVOT,Swift,2014Ap&SS.354...89B
SN2009gf,55012.3304,20.789,0.353,F,UVM2,UVOT,Swift,2014Ap&SS.354...89B
SN2009gf,55014.8375,19.514,0.214,F,UVW1,UVOT,Swift,2014Ap&SS.354...89B
SN2009gf,55014.8387,18.195,0.124,F,U,UVOT,Swift,2014Ap&SS.354...89B
SN2009gf,55014.8393,17.793,0.084,F,B,UVOT,Swift,2014Ap&SS.354...89B
SN2009gf,55014.8411,20.768,,T,UVW2,UVOT,Swift,2014Ap&SS.354...89B
SN2009gf,55014.8723,16.771,0.090,F,V,UVOT,Swift,2014Ap&SS.354...89B
SN2009gf,55014.8746,20.441,0.315,F,UVM2,UVOT,Swift,2014Ap&SS.354...89B
SN2009gf,55016.5733,19.413,0.181,F,UVW1,UVOT,Swift,2014Ap&SS.354...89B
SN2009gf,55016.5747,18.428,0.136,F,U,UVOT,Swift,2014Ap&SS.354...89B
SN2009gf,55016.5753,18.093,0.093,F,B,UVOT,Swift,2014Ap&SS.354...89B
SN2009gf,55016.5770,20.890,0.317,F,UVW2,UVOT,Swift,2014Ap&SS.354...89B
SN2009gf,55016.5790,16.975,0.086,F,V,UVOT,Swift,2014Ap&SS.354...89B
SN2009gf,55016.5813,20.835,,T,UVM2,UVOT,Swift,2014Ap&SS.354...89B
SN2009gf,55018.2466,19.788,0.238,F,UVW1,UVOT,Swift,2014Ap&SS.354...89B
SN2009gf,55018.2472,18.463,0.145,F,U,UVOT,Swift,2014Ap&SS.354...89B
SN2009gf,55018.2476,18.353,0.110,F,B,UVOT,Swift,2014Ap&SS.354...89B
SN2009gf,55018.2486,20.725,0.290,F,UVW2,UVOT,Swift,2014Ap&SS.354...89B
SN2009gf,55018.2496,17.128,0.094,F,V,UVOT,Swift,2014Ap&SS.354...89B
SN2009gf,55018.2508,20.777,,T,UVM2,UVOT,Swift,2014Ap&SS.354...89B
SN2009gf,55020.2549,20.042,0.326,F,UVW1,UVOT,Swift,2014Ap&SS.354...89B
SN2009gf,55020.2554,18.876,0.195,F,U,UVOT,Swift,2014Ap&SS.354...89B
SN2009gf,55020.2558,18.579,0.128,F,B,UVOT,Swift,2014Ap&SS.354...89B
SN2009gf,55020.2566,20.988,,T,UVW2,UVOT,Swift,2014Ap&SS.354...89B
SN2009gf,55020.2575,17.305,0.105,F,V,UVOT,Swift,2014Ap&SS.354...89B
SN2009gf,55020.2585,20.734,,T,UVM2,UVOT,Swift,2014Ap&SS.354...89B
SN2009gf,55025.16429,17.3548,0.0300,F,i',,,2012ApJS..200...12H
SN2009gf,55025.16730,17.3383,0.0246,F,r',,,2012ApJS..200...12H
SN2009gf,55025.17030,17.7069,0.0339,F,V,,,2012ApJS..200...12H
SN2009gf,55025.17399,18.8328,0.0630,F,B,,,2012ApJS..200...12H
SN2009gf,55034.7154,20.960,,T,UVM2,UVOT,Swift,2014Ap&SS.354...89B
SN2009gf,55035.2263,20.572,0.294,F,UVW1,UVOT,Swift,2014Ap&SS.354...89B
SN2009gf,55035.2287,19.408,0.170,F,U,UVOT,Swift,2014Ap&SS.354...89B
SN2009gf,55035.2298,19.261,0.152,F,B,UVOT,Swift,2014Ap&SS.354...89B
SN2009gf,55035.2306,18.324,0.162,F,V,UVOT,Swift,2014Ap&SS.354...89B
SN2009gf,55042.3798,20.983,,T,UVM2,UVOT,Swift,2014Ap&SS.354...89B
SN2009gf,55043.4180,20.396,0.264,F,UVW1,UVOT,Swift,2014Ap&SS.354...89B
SN2009gf,55043.4250,19.485,0.181,F,U,UVOT,Swift,2014Ap&SS.354...89B
SN2009gf,55043.4279,19.433,0.172,F,B,UVOT,Swift,2014Ap&SS.354...89B
SN2009gf,55043.4297,18.551,0.203,F,V,UVOT,Swift,2014Ap&SS.354...89B
SN2009gf,55050.1412,21.235,,T,UVW2,UVOT,Swift,2014Ap&SS.354...89B
SN2009gf,55050.1466,21.030,,T,UVM2,UVOT,Swift,2014Ap&SS.354...89B
SN2009gf,55050.1518,20.613,,T,UVW1,UVOT,Swift,2014Ap&SS.354...89B
SN2009gf,55065.2337,21.305,,T,UVW2,UVOT,Swift,2014Ap&SS.354...89B
SN2009gf,55065.2385,21.054,,T,UVM2,UVOT,Swift,2014Ap&SS.354...89B
SN2009gf,55065.2420,20.372,,T,UVW1,UVOT,Swift,2014Ap&SS.354...89B
