event,time,magnitude,e_magnitude,upperlimit,band,instrument,telescope,source
SN2009gf,54998.7118,16.072,0.067,F,U,UVOT,Swift,2014Ap&SS.354...89B
SN2009gf,54998.7128,16.259,0.061,F,B,UVOT,Swift,2014Ap&SS.354...89B
SN2009gf,54998.7152,18.858,0.125,F,UVW2,UVOT,Swift,2014Ap&SS.354...89B
SN2009gf,54998.7175,16.326,0.074,F,V,UVOT,Swift,2014Ap&SS.354...89B
SN2009gf,54998.7251,19.458,0.130,F,UVM2,UVOT,Swift,2014Ap&SS.354...89B
SN2009gf,54998.7452,17.678,0.093,F,UVW1,UVOT,Swift,2014Ap&SS.354...89B
SN2009gf,55000.18590,16.4560,0.0294,F,i',,,2012ApJS..200...12H
SN2009gf,55000.18822,16.1124,0.0408,F,r',,,2012ApJS..200...12H
SN2009gf,55000.19053,16.1437,0.0253,F,V,,,2012ApJS..200...12H
SN2009gf,55000.19354,16.3261,0.0267,F,B,,,2012ApJS..200...12H
SN2009gf,55000.5493,17.636,0.082,F,UVW1,UVOT,Swift,2014Ap&SS.354...89B
SN2009gf,55000.5503,15.994,0.064,F,U,UVOT,Swift,2014Ap&SS.354...89B
SN2009gf,55000.5508,16.120,0.059,F,B,UVOT,Swift,2014Ap&SS.354...89B
SN2009gf,55000.5523,18.947,0.126,F,UVW2,UVOT,Swift,2014Ap&SS.354...89B
SN2009gf,55000.5538,16.046,0.089,F,V,UVOT,Swift,2014Ap&SS.354...89B
SN2009gf,55000.6877,19.013,,T,UVM2,UVOT,Swift,2014Ap&SS.354...89B
SN2009gf,55001.17052,16.4268,0.0200,F,i',,,2012ApJS..200...12H
SN2009gf,55001.17282,16.0679,0.0175,F,r',,,2012ApJS..200...12H
SN2009gf,55001.17514,16.1128,0.0182,F,V,,,2012ApJS..200...12H
SN2009gf,55001.17816,16.1623,0.0224,F,B,,,2012ApJS..200...12H
SN2009gf,55002.1595,17.791,0.084,F,UVW1,UVOT,Swift,2014Ap&SS.354...89B
SN2009gf,55002.1605,16.164,0.065,F,U,UVOT,Swift,2014Ap&SS.354...89B
SN2009gf,55002.1610,16.136,0.058,F,B,UVOT,Swift,2014Ap&SS.354...89B
SN2009gf,55002.1620,19.232,0.123,F,UVW2,UVOT,Swift,2014Ap&SS.354...89B
SN2009gf,55002.1636,16.067,0.065,F,V,UVOT,Swift,2014Ap&SS.354...89B
SN2009gf,55002.1651,19.326,0.132,F,UVM2,UVOT,Swift,2014Ap&SS.354...89B
SN2009gf,55003.22315,16.4593,0.0212,F,i',,,2012ApJS..200...12H
SN2009gf,55003.22615,16.0070,0.0195,F,r',,,2012ApJS..200...12H
SN2009gf,55003.22913,16.0463,0.0176,F,V,,,2012ApJS..200...12H
SN2009gf,55003.23213,16.1825,0.0196,F,B,,,2012ApJS..200...12H
SN2009gf,55004.6607,17.940,0.088,F,UVW1,UVOT,Swift,2014Ap&SS.354...89B
SN2009gf,55004.6618,16.494,0.068,F,U,UVOT,Swift,2014Ap&SS.354...89B
SN2009gf,55004.6623,16.230,0.059,F,B,UVOT,Swift,2014Ap&SS.354...89B
SN2009gf,55004.6635,19.443,0.134,F,UVW2,UVOT,Swift,2014Ap&SS.354...89B
SN2009gf,55004.6651,16.009,0.064,F,V,UVOT,Swift,2014Ap&SS.354...89B
SN2009gf,55004.6669,19.767,0.174,F,UVM2,UVOT,Swift,2014Ap&SS.354...89B
SN2009gf,55005.17361,16.4935,0.0194,F,i',,,2012ApJS..200...12H
SN2009gf,55005.17661,16.0130,0.0230,F,r',,,2012ApJS..200...12H
SN2009gf,55005.17963,16.0476,0.0172,F,V,,,2012ApJS..200...12H
SN2009gf,55005.18533,16.3236,0.0201,F,B,,,2012ApJS..200...12H
SN2009gf,55006.2667,18.405,0.102,F,UVW1,UVOT,Swift,2014Ap&SS.354...89B
SN2009gf,55006.2674,16.693,0.070,F,U,UVOT,Swift,2014Ap&SS.354...89B
SN2009gf,55006.2678,16.450,0.060,F,B,UVOT,Swift,2014Ap&SS.354...89B
SN2009gf,55006.2690,19.486,0.132,F,UVW2,UVOT,Swift,2014Ap&SS.354...89B
SN2009gf,55006.2700,16.119,0.065,F,V,UVOT,Swift,2014Ap&SS.354...89B
SN2009gf,55006.2717,20.174,0.219,F,UVM2,UVOT,Swift,2014Ap&SS.354...89B
SN2009gf,55008.20821,16.7132,0.0220,F,i',,,2012ApJS..200...12H
SN2009gf,55008.21120,16.1535,0.0176,F,r',,,2012ApJS..200...12H
SN2009gf,55008.21420,16.1792,0.0169,F,V,,,2012ApJS..200...12H
SN2009gf,55008.21789,16.6871,0.0293,F,B,,,2012ApJS..200...12H
SN2009gf,55008.8102,18.752,0.133,F,UVW1,UVOT,Swift,2014Ap&SS.354...89B
SN2009gf,55008.8109,17.369,0.089,F,U,UVOT,Swift,2014Ap&SS.354...89B
SN2009gf,55008.8113,16.837,0.066,F,B,UVOT,Swift,2014Ap&SS.354...89B
SN2009gf,55008.8124,20.387,0.245,F,UVW2,UVOT,Swift,2014Ap&SS.354...89B
SN2009gf,55008.8134,16.231,0.071,F,V,UVOT,Swift,2014Ap&SS.354...89B
SN2009gf,55008.8147,20.244,0.256,F,UVM2,UVOT,Swift,2014Ap&SS.354...89B
SN2009gf,55010.3505,20.476,0.256,F,UVM2,UVOT,Swift,2014Ap&SS.354...89B
SN2009gf,55011.3872,20.174,0.233,F,UVW2,UVOT,Swift,2014Ap&SS.354...89B
SN2009gf,55011.4573,17.664,0.152,F,U,UVOT,Swift,2014Ap&SS.354...89B
SN2009gf,55011.4576,17.326,0.247,F,B,UVOT,Swift,2014Ap&SS.354...89B
SN2009gf,55011.4886,16.530,0.099,F,V,UVOT,Swift,2014Ap&SS.354...89B
SN2009gf,55011.4890,19.014,0.271,F,UVW1,UVOT,Swift,2014Ap&SS.354...89B
SN2009gf,55012.3236,19.139,0.151,F,UVW1,UVOT,Swift,2014Ap&SS.354...89B
SN2009gf,55012.3244,17.844,0.103,F,U,UVOT,Swift,2014Ap&SS.354...89B
SN2009gf,55012.3249,17.387,0.073,F,B,UVOT,Swift,2014Ap&SS.354...89B
