wavelength,flux
3681.729508,-147.3636
3681.761439,-11.56051
3681.79337,-74.10053
3681.825301,-160.5035
3681.857232,-112.1331
3681.889164,-54.47061
3681.921096,26.38496
3681.953028,-23.19893
3681.98496,-91.90925
3682.016893,3.18615
3682.048826,-25.91175
3682.080759,-61.34715
3682.112693,-27.35184
3682.144627,-63.04604
3682.176561,-147.6159
3682.208495,-126.7338
3682.24043,-83.60136
3682.272365,-23.95957
3682.3043,79.51525
3682.336236,-103.3702
3682.368172,-83.76375
3682.400108,-14.17867
3682.432044,-40.53949
3682.463981,27.46683
3682.495918,-47.73887
3682.527855,-101.1848
3682.559792,5.237257
3682.59173,-58.66428
3682.623668,-71.44019
3682.655607,19.74928
3682.687545,42.82336
3682.719484,-76.5041
3682.751423,-84.9512
3682.783363,-19.21403
3682.815302,2.743614
3682.847242,-46.91427
3682.879182,-6.729437
3682.911123,85.84311
3682.943064,95.4996
3682.975005,-37.87232
3683.006946,6.474892
3683.038888,122.4099
3683.07083,-2.642677
3683.102772,-117.4355
3683.134714,-52.26296
3683.166657,-20.51773
3683.1986,-42.28456
3683.230543,-23.97311
3683.262487,71.59229
3683.294431,45.5167
3683.326375,10.59562
3683.358319,-44.33287
3683.390264,127.4007
3683.422209,162.5259
3683.454154,-56.21125
3683.4861,-25.44399
3683.518045,-55.94517
3683.549992,17.30012
3683.581938,117.2312
3683.613885,11.04029
3683.645831,-84.87292
3683.677779,25.5563
3683.709726,-0.2754017
3683.741674,14.38595
3683.773622,126.5359
3683.80557,37.37818
3683.837519,12.0211
3683.869467,-4.482279
3683.901417,-11.31634
3683.933366,142.9372
3683.965316,47.70584
3683.997266,-35.70703
3684.029216,-130.9639
3684.061166,-2.300607
3684.093117,-25.18849
3684.125068,-18.9064
3684.157019,68.88915
3684.188971,10.37183
3684.220923,-1.989822
3684.252875,-37.58272
3684.284827,128.939
3684.31678,36.97851
3684.348733,26.49275
3684.380686,-57.09533
3684.41264,-105.8151
3684.444594,0.3345051
3684.476548,37.38657
3684.508502,80.61773
3684.540457,127.8302
3684.572412,-32.88018
3684.604367,-136.4526
3684.636323,29.38264
3684.668278,-8.681642
3684.700234,6.614472
3684.732191,21.56662
3684.764147,49.64875
3684.796104,54.36469
3684.828061,62.07077
3684.860019,55.75304
3684.891976,66.79796
3684.923934,62.34488
3684.955893,10.05887
3684.987851,-37.95654
3685.01981,-27.77087
3685.051769,41.12693
3685.083728,-14.97013
3685.115688,-37.55693
3685.147648,63.3614
3685.179608,2.584504
3685.211569,127.4839
3685.243529,46.74618
3685.27549,-24.86193
3685.307452,-8.216002
3685.339413,21.43411
3685.371375,-2.706791
3685.403337,58.43884
3685.4353,97.88612
3685.467262,-30.52647
3685.499225,-5.809505
3685.531189,5.536244
3685.563152,52.54457
3685.595116,109.1284
3685.62708,40.02234
3685.659044,-22.19095
3685.691009,59.55894
3685.722974,21.04921
3685.754939,6.745521
3685.786905,20.13669
3685.81887,89.86655
3685.850836,-13.62354
3685.882803,1.468863
3685.914769,11.0505
3685.946736,-3.290929
3685.978703,27.54735
3686.010671,-14.93346
3686.042638,-0.7323127
3686.074606,94.16839
3686.106574,79.01711
3686.138543,13.43804
3686.170512,33.07273
3686.202481,39.73034
3686.23445,-32.46052
3686.26642,-41.25629
3686.29839,-79.59563
3686.33036,92.15419
3686.36233,45.84377
3686.394301,-20.34632
3686.426272,8.079331
3686.458243,-8.017458
3686.490215,179.8542
3686.522187,78.69551
3686.554159,49.42715
3686.586131,70.23476
3686.618104,34.63271
3686.650077,-158.9654
3686.68205,-11.7986
3686.714024,190.7009
3686.745997,83.14526
3686.777971,51.35875
3686.809946,3.305181
3686.84192,6.926095
3686.873895,40.08939
3686.90587,22.94243
3686.937846,89.67362
3686.969822,118.7101
3687.001798,-32.64206
3687.033774,-67.55538
3687.06575,30.69677
3687.097727,136.5405
3687.129704,80.23731
3687.161682,38.15049
3687.193659,-21.2451
