wavelength,flux,e_flux
1847.8000,1.6000543e-15,1.6000543e-15
1849.4000,1.6231093e-15,1.6231093e-15
1851.0000,1.9250836e-15,1.9250836e-15
1852.6000,1.9984229e-15,1.9984229e-15
1854.2000,1.8913774e-15,1.8913774e-15
1855.8000,1.9848649e-15,1.9848649e-15
1857.4000,1.8372971e-15,1.8372971e-15
1859.0000,1.580534e-15,1.580534e-15
1860.6000,1.7651122e-15,1.7651122e-15
1862.2000,1.6352795e-15,1.6352795e-15
1863.8000,1.684173e-15,1.684173e-15
1865.4000,1.521791e-15,1.521791e-15
1867.0000,1.4639042e-15,1.4639042e-15
1868.6000,1.8352681e-15,1.8352681e-15
1870.2000,1.9246165e-15,1.9246165e-15
1871.8000,1.7083975e-15,1.7083975e-15
1873.4000,1.7048354e-15,1.7048354e-15
1875.0000,1.5387177e-15,1.5387177e-15
1876.6000,1.7096043e-15,1.7096043e-15
1878.2000,1.5111957e-15,1.5111957e-15
1879.8000,1.565968e-15,1.565968e-15
1881.4000,1.7084111e-15,1.7084111e-15
1883.0000,1.7327325e-15,1.7327325e-15
1884.6000,1.6783338e-15,1.6783338e-15
1886.2000,1.71673e-15,1.71673e-15
1887.8000,1.7247748e-15,1.7247748e-15
1889.4000,1.8607419e-15,1.8607419e-15
1891.0000,1.948756e-15,1.948756e-15
1892.6000,1.8166254e-15,1.8166254e-15
1894.2000,1.9782465e-15,1.9782465e-15
1895.8000,1.795106e-15,1.795106e-15
1897.4000,1.7863711e-15,1.7863711e-15
1899.0000,1.6433006e-15,1.6433006e-15
1900.6000,1.8284332e-15,1.8284332e-15
1902.2000,1.7213887e-15,1.7213887e-15
1903.8000,1.7005169e-15,1.7005169e-15
1905.4000,1.9165122e-15,1.9165122e-15
1907.0000,1.7072886e-15,1.7072886e-15
1908.6000,1.8492322e-15,1.8492322e-15
1910.2000,1.7275599e-15,1.7275599e-15
1911.8000,1.6150834e-15,1.6150834e-15
1913.4000,1.769166e-15,1.769166e-15
1915.0000,1.5925191e-15,1.5925191e-15
1916.6000,1.5711272e-15,1.5711272e-15
1918.2000,1.6114991e-15,1.6114991e-15
1919.8000,1.6290014e-15,1.6290014e-15
1921.4000,1.4647892e-15,1.4647892e-15
1923.0000,1.5477419e-15,1.5477419e-15
1924.6000,1.5306127e-15,1.5306127e-15
1926.2000,1.4498479e-15,1.4498479e-15
1927.8000,1.3752355e-15,1.3752355e-15
1929.4000,1.3741673e-15,1.3741673e-15
1931.0000,1.4329379e-15,1.4329379e-15
1932.6000,1.3460128e-15,1.3460128e-15
1934.2000,1.3305451e-15,1.3305451e-15
1935.8000,1.4306512e-15,1.4306512e-15
1937.4000,1.312946e-15,1.312946e-15
1939.0000,1.1969717e-15,1.1969717e-15
1940.6000,1.2927327e-15,1.2927327e-15
1942.2000,1.2421751e-15,1.2421751e-15
1943.8000,1.2130989e-15,1.2130989e-15
1945.4000,1.1422856e-15,1.1422856e-15
1947.0000,1.1924468e-15,1.1924468e-15
1948.6000,1.2817059e-15,1.2817059e-15
1950.2000,1.3573681e-15,1.3573681e-15
1951.8000,1.1851139e-15,1.1851139e-15
1953.4000,9.9786123e-16,9.9786123e-16
1955.0000,1.0274551e-15,1.0274551e-15
1956.6000,1.0920329e-15,1.0920329e-15
1958.2000,9.6708682e-16,9.6708682e-16
1959.8000,8.7924361e-16,8.7924361e-16
1961.4000,1.0411808e-15,1.0411808e-15
1963.0000,1.093293e-15,1.093293e-15
1964.6000,1.120013e-15,1.120013e-15
1966.2000,9.8761902e-16,9.8761902e-16
1967.8000,9.9866745e-16,9.9866745e-16
1969.4000,1.0263807e-15,1.0263807e-15
1971.0000,1.0092916e-15,1.0092916e-15
1972.6000,1.1025045e-15,1.1025045e-15
1974.2000,9.5774355e-16,9.5774355e-16
1975.8000,9.2407966e-16,9.2407966e-16
1977.4000,9.6819768e-16,9.6819768e-16
1979.0000,9.3615327e-16,9.3615327e-16
1980.6000,8.2944954e-16,8.2944954e-16
1982.2000,8.7252028e-16,8.7252028e-16
1983.8000,8.8829477e-16,8.8829477e-16
1985.4000,9.8517151e-16,9.8517151e-16
1987.0000,9.1938199e-16,9.1938199e-16
1988.6000,9.9721642e-16,9.9721642e-16
1990.2000,9.0206451e-16,9.0206451e-16
1991.8000,1.0738083e-15,1.0738083e-15
1993.4000,1.0516615e-15,1.0516615e-15
1995.0000,1.1803777e-15,1.1803777e-15
1996.6000,1.1301278e-15,1.1301278e-15
1998.2000,1.1299176e-15,1.1299176e-15
1999.8000,1.1627422e-15,1.1627422e-15
2001.4000,1.0713206e-15,1.0713206e-15
2003.0000,1.1179255e-15,1.1179255e-15
2004.6000,1.1176329e-15,1.1176329e-15
2006.2000,1.1039036e-15,1.1039036e-15
2007.8000,9.7254612e-16,9.7254612e-16
2009.4000,1.0372275e-15,1.0372275e-15
2011.0000,1.0468978e-15,1.0468978e-15
2012.6000,1.1289761e-15,1.1289761e-15
2014.2000,1.1434579e-15,1.1434579e-15
2015.8000,1.0923638e-15,1.0923638e-15
2017.4000,1.176411e-15,1.176411e-15
2019.0000,1.1823535e-15,1.1823535e-15
2020.6000,1.1699838e-15,1.1699838e-15
2022.2000,1.113523e-15,1.113523e-15
2023.8000,1.1555937e-15,1.1555937e-15
2025.4000,1.0440923e-15,1.0440923e-15
2027.0000,1.1869267e-15,1.1869267e-15
2028.6000,1.1241969e-15,1.1241969e-15
2030.2000,1.2112092e-15,1.2112092e-15
2031.8000,1.1378028e-15,1.1378028e-15
2033.4000,1.2480444e-15,1.2480444e-15
2035.0000,1.4171786e-15,1.4171786e-15
2036.6000,1.1974163e-15,1.1974163e-15
2038.2000,1.2336201e-15,1.2336201e-15
2039.8000,1.0138386e-15,1.0138386e-15
2041.4000,1.3247368e-15,1.3247368e-15
2043.0000,1.0663184e-15,1.0663184e-15
2044.6000,1.0173234e-15,1.0173234e-15
2046.2000,1.2921835e-15,1.2921835e-15
2047.8000,1.0498542e-15,1.0498542e-15
2049.4000,1.0509039e-15,1.0509039e-15
2051.0000,1.1396459e-15,1.1396459e-15
