event,time,magnitude,e_magnitude,upperlimit,band,instrument,telescope,source
SN2008hv,54804.28126,17.117,0.014,F,H,,,2010AJ....139..519C
SN2008hv,54804.28126,17.138,0.014,F,J,,,2010AJ....139..519C
SN2008hv,54804.28126,17.208,0.009,F,Y,,,2010AJ....139..519C
SN2008hv,54804.35,17.36,0.09,F,H,,PAIRITEL,2015ApJS..220....9F
SN2008hv,54804.35,17.18,0.12,F,J,,PAIRITEL,2015ApJS..220....9F
SN2008hv,54804.35,17.24,0.18,F,Ks,,PAIRITEL,2015ApJS..220....9F
SN2008hv,54804.35240,17.7380,0.0416,F,i',,,2012ApJS..200...12H
SN2008hv,54804.35541,17.3321,0.0246,F,r',,,2012ApJS..200...12H
SN2008hv,54804.35843,17.3189,0.0208,F,V,,,2012ApJS..200...12H
SN2008hv,54804.36214,17.5800,0.0266,F,B,,,2012ApJS..200...12H
SN2008hv,54804.68000000017,19.63,0.35,F,UVW1,UVOT,Swift,2012ApJ...749...18B
SN2008hv,54804.6845,19.505,0.345,F,UVW1,UVOT,Swift,2014Ap&SS.354...89B
SN2008hv,54804.6859,17.511,0.126,F,U,UVOT,Swift,2014Ap&SS.354...89B
SN2008hv,54804.6869,17.330,0.093,F,B,UVOT,Swift,2014Ap&SS.354...89B
SN2008hv,54804.6893,20.441,,T,UVW2,UVOT,Swift,2014Ap&SS.354...89B
SN2008hv,54804.689999999944,17.39,0.08,F,B,UVOT,Swift,2012ApJ...749...18B
SN2008hv,54804.689999999944,17.58,0.12,F,U,UVOT,Swift,2012ApJ...749...18B
SN2008hv,54804.689999999944,20.63,,T,UVW2,UVOT,Swift,2012ApJ...749...18B
SN2008hv,54804.689999999944,16.95,0.11,F,V,UVOT,Swift,2012ApJ...749...18B
SN2008hv,54804.6916,16.859,0.120,F,V,UVOT,Swift,2014Ap&SS.354...89B
SN2008hv,54804.6994,20.828,,T,UVM2,UVOT,Swift,2014Ap&SS.354...89B
SN2008hv,54804.700000000186,21.1,,T,UVM2,UVOT,Swift,2012ApJ...749...18B
SN2008hv,54805.38,16.49,0.1,F,H,,PAIRITEL,2015ApJS..220....9F
SN2008hv,54805.38,16.76,0.06,F,J,,PAIRITEL,2015ApJS..220....9F
SN2008hv,54805.38,16.34,0.28,F,Ks,,PAIRITEL,2015ApJS..220....9F
SN2008hv,54805.43472,17.1670,0.0270,F,i',,,2012ApJS..200...12H
SN2008hv,54805.43773,16.7984,0.0178,F,r',,,2012ApJS..200...12H
SN2008hv,54805.44075,16.7594,0.0178,F,V,,,2012ApJS..200...12H
SN2008hv,54805.44446,16.8892,0.0200,F,B,,,2012ApJS..200...12H
SN2008hv,54806.28192,16.492,0.007,F,B,,,2010AJ....139..519C
SN2008hv,54806.28192,16.327,0.006,F,V,,,2010AJ....139..519C
SN2008hv,54806.28192,16.352,0.007,F,g,,,2010AJ....139..519C
SN2008hv,54806.28192,16.705,0.009,F,i,,,2010AJ....139..519C
SN2008hv,54806.28192,16.379,0.009,F,r,,,2010AJ....139..519C
SN2008hv,54806.28192,17.130,0.013,F,u,,,2010AJ....139..519C
SN2008hv,54806.36,16.43,0.13,F,J,,PAIRITEL,2015ApJS..220....9F
SN2008hv,54806.36,16.18,0.18,F,Ks,,PAIRITEL,2015ApJS..220....9F
SN2008hv,54806.39,16.36,0.06,F,H,,PAIRITEL,2015ApJS..220....9F
SN2008hv,54806.44818,16.6470,0.0273,F,i',,,2012ApJS..200...12H
SN2008hv,54806.46271,16.3610,0.0161,F,r',,,2012ApJS..200...12H
SN2008hv,54806.47585,16.3392,0.0181,F,V,,,2012ApJS..200...12H
SN2008hv,54806.48661,16.3681,0.0175,F,B,,,2012ApJS..200...12H
SN2008hv,54807.33,16.01,0.09,F,H,,PAIRITEL,2015ApJS..220....9F
SN2008hv,54807.33,15.95,0.08,F,J,,PAIRITEL,2015ApJS..220....9F
SN2008hv,54807.37041,16.3035,0.0197,F,i',,,2012ApJS..200...12H
SN2008hv,54807.37343,16.0500,0.0183,F,r',,,2012ApJS..200...12H
