wavelength,flux
3324.859131,1.613327E-16
3326.296766,1.451609E-16
3327.734401,1.159374E-16
3329.172036,7.661733E-17
3330.609671,1.250631E-16
3332.047306,1.410595E-16
3333.484941,1.490926E-16
3334.922576,1.371243E-16
3336.360211,1.600567E-16
3337.797846,7.408556E-17
3339.235482,1.001607E-16
3340.673117,1.130205E-16
3342.110752,1.254972E-16
3343.548387,1.483063E-16
3344.986022,1.610287E-16
3346.423657,1.864497E-16
3347.861292,1.477881E-16
3349.298927,1.212159E-16
3350.736562,1.318533E-16
3352.174197,1.657930E-16
3353.611832,8.310586E-17
3355.049467,1.180655E-16
3356.487102,1.416860E-16
3357.924737,2.204131E-16
3359.362372,1.612290E-16
3360.800007,6.608663E-17
3362.237643,1.131440E-16
3363.675278,1.377447E-16
3365.112913,1.068357E-16
3366.550548,1.608857E-16
3367.988183,1.313376E-16
3369.425818,8.661755E-17
3370.863453,9.572818E-17
3372.301088,7.824985E-17
3373.738723,6.242336E-17
3375.176358,5.427419E-17
3376.613993,1.343514E-16
3378.051628,4.245697E-17
3379.489263,5.654128E-17
3380.926898,1.040751E-16
3382.364533,1.435140E-16
3383.802168,1.372595E-16
3385.239804,1.245185E-16
3386.677439,1.328212E-16
3388.115074,1.361346E-16
3389.552709,1.608944E-16
3390.990344,1.026111E-16
3392.427979,7.242679E-17
3393.865614,1.099495E-16
3395.303249,1.222150E-16
3396.740884,1.136238E-16
3398.178519,1.142039E-16
3399.616154,1.004492E-16
3401.053789,7.471490E-17
3402.491424,8.875539E-17
3403.929059,7.283591E-17
3405.366694,8.028356E-17
3406.80433,7.564752E-17
3408.241965,1.067576E-16
3409.6796,1.142740E-16
3411.117235,1.100821E-16
3412.55487,9.132687E-17
3413.992505,9.052613E-17
3415.43014,1.189258E-16
3416.867775,9.196468E-17
3418.30541,5.508188E-17
3419.743045,7.830460E-17
3421.18068,1.149862E-16
3422.618315,1.097577E-16
3424.05595,8.505218E-17
3425.493585,8.618868E-17
3426.93122,8.593040E-17
3428.368855,1.264709E-16
3429.806491,1.026000E-16
3431.244126,8.524623E-17
3432.681761,7.921344E-17
3434.119396,8.482020E-17
3435.557031,8.136930E-17
3436.994666,1.017851E-16
3438.432301,1.055313E-16
3439.869936,1.036740E-16
