event,time,magnitude,e_magnitude,upperlimit,band,instrument,telescope,source
SN2007on,54421.20750,12.954,0.005,F,g,,,2010AJ....139..519C
SN2007on,54421.20750,13.439,0.011,F,i,,,2010AJ....139..519C
SN2007on,54421.20750,12.966,0.007,F,r,,,2010AJ....139..519C
SN2007on,54421.20750,13.930,0.010,F,u,,,2010AJ....139..519C
SN2007on,54422.21833,13.163,0.006,F,B,,,2010AJ....139..519C
SN2007on,54422.21833,12.963,0.005,F,V,,,2010AJ....139..519C
SN2007on,54422.21833,13.464,0.009,F,Y,,,2010AJ....139..519C
SN2007on,54422.21833,12.995,0.004,F,g,,,2010AJ....139..519C
SN2007on,54422.21833,13.464,0.007,F,i,,,2010AJ....139..519C
SN2007on,54422.21833,12.965,0.005,F,r,,,2010AJ....139..519C
SN2007on,54422.21833,14.053,0.012,F,u,,,2010AJ....139..519C
SN2007on,54422.4793,16.220,0.076,F,UVW2,UVOT,Swift,2014Ap&SS.354...89B
SN2007on,54422.4810,12.986,0.041,F,V,UVOT,Swift,2014Ap&SS.354...89B
SN2007on,54422.4829,16.472,0.070,F,UVM2,UVOT,Swift,2014Ap&SS.354...89B
SN2007on,54422.4848,14.912,0.055,F,UVW1,UVOT,Swift,2014Ap&SS.354...89B
SN2007on,54422.4860,13.429,0.040,F,U,UVOT,Swift,2014Ap&SS.354...89B
SN2007on,54422.4864,13.194,0.040,F,B,UVOT,Swift,2014Ap&SS.354...89B
SN2007on,54423.20494,13.263,0.006,F,B,,,2010AJ....139..519C
SN2007on,54423.20494,13.479,0.010,F,J,,,2010AJ....139..519C
SN2007on,54423.20494,13.041,0.008,F,V,,,2010AJ....139..519C
SN2007on,54423.20494,13.519,0.004,F,Y,,,2010AJ....139..519C
SN2007on,54423.20494,13.087,0.006,F,g,,,2010AJ....139..519C
SN2007on,54423.20494,13.565,0.007,F,i,,,2010AJ....139..519C
SN2007on,54423.20494,13.022,0.007,F,r,,,2010AJ....139..519C
SN2007on,54423.20494,14.218,0.009,F,u,,,2010AJ....139..519C
SN2007on,54423.9547,16.321,0.094,F,UVW2,UVOT,Swift,2014Ap&SS.354...89B
SN2007on,54423.9559,13.011,0.043,F,V,UVOT,Swift,2014Ap&SS.354...89B
