event,time,magnitude,e_magnitude,upperlimit,band,instrument,telescope,source
SN2010ai,55284.29,17.35,0.21,F,Ks,,PAIRITEL,2015ApJS..220....9F
SN2010ai,55284.315,16.00476,,F,R,,P48,2014MNRAS.444.3258M
SN2010ai,55284.358,16.03605,,F,R,,P48,2014MNRAS.444.3258M
SN2010ai,55285.32,16.99,0.18,F,H,,PAIRITEL,2015ApJS..220....9F
SN2010ai,55285.32,17.86,0.1,F,J,,PAIRITEL,2015ApJS..220....9F
SN2010ai,55285.32,17.41,0.17,F,Ks,,PAIRITEL,2015ApJS..220....9F
SN2010ai,55285.46421,16.5119,0.0261,F,r',,,2012ApJS..200...12H
SN2010ai,55285.46721,16.3614,0.0372,F,V,,,2012ApJS..200...12H
SN2010ai,55287.14169,17.4471,0.0479,F,i',,,2012ApJS..200...12H
SN2010ai,55287.14470,16.6468,0.0212,F,r',,,2012ApJS..200...12H
SN2010ai,55287.14770,16.4704,0.0256,F,V,,,2012ApJS..200...12H
SN2010ai,55287.15140,16.8391,0.0314,F,B,,,2012ApJS..200...12H
SN2010ai,55287.33,17.05,0.14,F,H,,PAIRITEL,2015ApJS..220....9F
SN2010ai,55287.33,17.96,0.03,F,J,,PAIRITEL,2015ApJS..220....9F
SN2010ai,55288.452,16.05762,,F,R,,P48,2014MNRAS.444.3258M
SN2010ai,55288.478,17.2692,,F,R,,P48,2014MNRAS.444.3258M
SN2010ai,55288.525,16.28247,,F,R,,P48,2014MNRAS.444.3258M
SN2010ai,55288.526,16.30254,,F,R,,P48,2014MNRAS.444.3258M
SN2010ai,55289.19591,17.4960,0.0384,F,i',,,2012ApJS..200...12H
SN2010ai,55289.24272,16.7612,0.0201,F,r',,,2012ApJS..200...12H
SN2010ai,55289.24573,16.6287,0.0209,F,V,,,2012ApJS..200...12H
SN2010ai,55289.24942,17.1599,0.0279,F,B,,,2012ApJS..200...12H
SN2010ai,55289.33,18.1,0.11,F,J,,PAIRITEL,2015ApJS..220....9F
SN2010ai,55289.33,17.88,0.02,F,Ks,,PAIRITEL,2015ApJS..220....9F
SN2010ai,55290.28837,17.4408,0.0456,F,i',,,2012ApJS..200...12H
SN2010ai,55290.29138,16.7949,0.0208,F,r',,,2012ApJS..200...12H
SN2010ai,55290.29439,16.6712,0.0221,F,V,,,2012ApJS..200...12H
SN2010ai,55290.29808,17.3089,0.0321,F,B,,,2012ApJS..200...12H
SN2010ai,55290.35,18.04,0.18,F,J,,PAIRITEL,2015ApJS..220....9F
SN2010ai,55290.352,16.64943,,F,R,,P48,2014MNRAS.444.3258M
SN2010ai,55290.396,16.72370,,F,R,,P48,2014MNRAS.444.3258M
SN2010ai,55291.25907,17.4873,0.0472,F,i',,,2012ApJS..200...12H
SN2010ai,55291.26207,16.8181,0.0202,F,r',,,2012ApJS..200...12H
SN2010ai,55291.26508,16.7343,0.0206,F,V,,,2012ApJS..200...12H
SN2010ai,55291.26877,17.4098,0.0283,F,B,,,2012ApJS..200...12H
SN2010ai,55291.3,16.82,0.14,F,H,,PAIRITEL,2015ApJS..220....9F
SN2010ai,55291.3,17.93,0.07,F,J,,PAIRITEL,2015ApJS..220....9F
SN2010ai,55291.3,17.33,0.18,F,Ks,,PAIRITEL,2015ApJS..220....9F
SN2010ai,55292.24,16.79,0.15,F,H,,PAIRITEL,2015ApJS..220....9F
SN2010ai,55292.24,17.93,0.12,F,J,,PAIRITEL,2015ApJS..220....9F
SN2010ai,55292.24,17.1,0.29,F,Ks,,PAIRITEL,2015ApJS..220....9F
SN2010ai,55292.514,16.58208,,F,R,,P48,2014MNRAS.444.3258M
SN2010ai,55292.515,16.58146,,F,R,,P48,2014MNRAS.444.3258M
SN2010ai,55293.503,16.64566,,F,R,,P48,2014MNRAS.444.3258M
SN2010ai,55293.518,16.59950,,F,R,,P48,2014MNRAS.444.3258M
SN2010ai,55294.28,17.81,0.09,F,J,,PAIRITEL,2015ApJS..220....9F
SN2010ai,55295.147,16.72884,,F,R,,P48,2014MNRAS.444.3258M
SN2010ai,55295.232,16.74604,,F,R,,P48,2014MNRAS.444.3258M
SN2010ai,55295.28265,17.3927,0.0404,F,i',,,2012ApJS..200...12H
SN2010ai,55295.28565,16.8949,0.0205,F,r',,,2012ApJS..200...12H
SN2010ai,55295.28866,16.9913,0.0228,F,V,,,2012ApJS..200...12H
SN2010ai,55295.29236,17.9232,0.0426,F,B,,,2012ApJS..200...12H
SN2010ai,55295.3,16.72,0.14,F,H,,PAIRITEL,2015ApJS..220....9F
SN2010ai,55295.3,17.81,0.1,F,J,,PAIRITEL,2015ApJS..220....9F
SN2010ai,55295.3,17.04,0.18,F,Ks,,PAIRITEL,2015ApJS..220....9F
SN2010ai,55296.278,16.94576,,F,R,,P48,2014MNRAS.444.3258M
SN2010ai,55296.29,16.72,0.08,F,H,,PAIRITEL,2015ApJS..220....9F
SN2010ai,55296.29,17.83,0.15,F,J,,PAIRITEL,2015ApJS..220....9F
SN2010ai,55296.29,17.09,0.03,F,Ks,,PAIRITEL,2015ApJS..220....9F
SN2010ai,55297.21,16.74,0.18,F,H,,PAIRITEL,2015ApJS..220....9F
SN2010ai,55297.21,17.8,0.17,F,J,,PAIRITEL,2015ApJS..220....9F
SN2010ai,55297.21,16.92,0.18,F,Ks,,PAIRITEL,2015ApJS..220....9F
SN2010ai,55297.29240,17.3326,0.0408,F,i',,,2012ApJS..200...12H
SN2010ai,55297.29539,16.9531,0.0244,F,r',,,2012ApJS..200...12H
SN2010ai,55297.29841,17.1177,0.0261,F,V,,,2012ApJS..200...12H
SN2010ai,55297.30209,18.2477,0.0558,F,B,,,2012ApJS..200...12H
SN2010ai,55297.317,16.87862,,F,R,,P48,2014MNRAS.444.3258M
SN2010ai,55297.361,16.82245,,F,R,,P48,2014MNRAS.444.3258M
SN2010ai,55298.31,17.69,0.18,F,J,,PAIRITEL,2015ApJS..220....9F
SN2010ai,55299.22670,17.2969,0.0494,F,i',,,2012ApJS..200...12H
SN2010ai,55299.22971,17.0474,0.0301,F,r',,,2012ApJS..200...12H
SN2010ai,55299.23,16.73,0.14,F,H,,PAIRITEL,2015ApJS..220....9F
SN2010ai,55299.23,17.68,0.13,F,J,,PAIRITEL,2015ApJS..220....9F
SN2010ai,55299.23,16.76,0.18,F,Ks,,PAIRITEL,2015ApJS..220....9F
SN2010ai,55299.23272,17.2656,0.0284,F,V,,,2012ApJS..200...12H
SN2010ai,55299.23641,18.4437,0.0773,F,B,,,2012ApJS..200...12H
SN2010ai,55300.23,16.75,0.17,F,H,,PAIRITEL,2015ApJS..220....9F
SN2010ai,55300.23,17.65,0.08,F,J,,PAIRITEL,2015ApJS..220....9F
SN2010ai,55300.23,16.67,0.31,F,Ks,,PAIRITEL,2015ApJS..220....9F
SN2010ai,55301.19,16.69,0.11,F,H,,PAIRITEL,2015ApJS..220....9F
SN2010ai,55301.19,17.59,0.14,F,J,,PAIRITEL,2015ApJS..220....9F
SN2010ai,55301.19,16.74,0.26,F,Ks,,PAIRITEL,2015ApJS..220....9F
SN2010ai,55301.36716,17.2948,0.0471,F,i',,,2012ApJS..200...12H
SN2010ai,55301.37016,17.1364,0.0222,F,r',,,2012ApJS..200...12H
SN2010ai,55301.37316,17.4462,0.0292,F,V,,,2012ApJS..200...12H
SN2010ai,55301.37686,18.6426,0.0605,F,B,,,2012ApJS..200...12H
SN2010ai,55306.22787,17.5575,0.0321,F,r',,,2012ApJS..200...12H
SN2010ai,55306.23564,17.6560,0.0561,F,i',,,2012ApJS..200...12H
SN2010ai,55306.23585,17.8308,0.0488,F,V,,,2012ApJS..200...12H
SN2010ai,55306.29923,19.0037,0.0898,F,B,,,2012ApJS..200...12H
SN2010ai,55310.181,17.5655,,F,R,,P48,2014MNRAS.444.3258M
SN2010ai,55310.252,17.5416,,F,R,,P48,2014MNRAS.444.3258M
SN2010ai,55311.330,17.5148,,F,R,,P48,2014MNRAS.444.3258M
SN2010ai,55311.374,17.3696,,F,R,,P48,2014MNRAS.444.3258M
SN2010ai,55312.376,17.5532,,F,R,,P48,2014MNRAS.444.3258M
SN2010ai,55314.257,17.5457,,F,R,,P48,2014MNRAS.444.3258M
SN2010ai,55316.294,17.8400,,F,R,,P48,2014MNRAS.444.3258M
SN2010ai,55316.340,17.8164,,F,R,,P48,2014MNRAS.444.3258M
SN2010ai,55317.342,17.9050,,F,R,,P48,2014MNRAS.444.3258M
SN2010ai,55317.385,17.9378,,F,R,,P48,2014MNRAS.444.3258M
SN2010ai,55319.152,17.9883,,F,R,,P48,2014MNRAS.444.3258M
SN2010ai,55319.195,18.0337,,F,R,,P48,2014MNRAS.444.3258M
SN2010ai,55320.197,18.1296,,F,R,,P48,2014MNRAS.444.3258M
SN2010ai,55320.240,17.9495,,F,R,,P48,2014MNRAS.444.3258M
SN2010ai,55321.263,18.0861,,F,R,,P48,2014MNRAS.444.3258M
SN2010ai,55321.328,18.1739,,F,R,,P48,2014MNRAS.444.3258M
SN2010ai,55322.340,18.1438,,F,R,,P48,2014MNRAS.444.3258M
SN2010ai,55324.348,19.3920,,F,R,,P48,2014MNRAS.444.3258M
SN2010ai,55329.169,18.2661,,F,R,,P48,2014MNRAS.444.3258M
SN2010ai,55329.212,18.2120,,F,R,,P48,2014MNRAS.444.3258M
SN2010ai,55330.173,18.3719,,F,R,,P48,2014MNRAS.444.3258M
SN2010ai,55330.217,18.5044,,F,R,,P48,2014MNRAS.444.3258M
SN2010ai,55331.183,18.5218,,F,R,,P48,2014MNRAS.444.3258M
SN2010ai,55331.226,18.4562,,F,R,,P48,2014MNRAS.444.3258M
SN2010ai,55332.233,18.4083,,F,R,,P48,2014MNRAS.444.3258M
SN2010ai,55333.186,18.8647,,F,R,,P48,2014MNRAS.444.3258M
SN2010ai,55333.229,18.4192,,F,R,,P48,2014MNRAS.444.3258M
SN2010ai,55336.243,18.6238,,F,R,,P48,2014MNRAS.444.3258M
SN2010ai,55336.278,18.6290,,F,R,,P48,2014MNRAS.444.3258M
SN2010ai,55336.314,18.5823,,F,R,,P48,2014MNRAS.444.3258M
SN2010ai,55336.350,18.6756,,F,R,,P48,2014MNRAS.444.3258M
SN2010ai,55336.386,18.5503,,F,R,,P48,2014MNRAS.444.3258M
SN2010ai,55337.339,18.5698,,F,R,,P48,2014MNRAS.444.3258M
SN2010ai,55337.394,18.6444,,F,R,,P48,2014MNRAS.444.3258M
SN2010ai,55338.256,18.6840,,F,R,,P48,2014MNRAS.444.3258M
SN2010ai,55338.299,18.7134,,F,R,,P48,2014MNRAS.444.3258M
SN2010ai,55339.18891,19.0625,0.1925,F,V,,,2012ApJS..200...12H
SN2010ai,55341.306,18.6764,,F,R,,P48,2014MNRAS.444.3258M
SN2010ai,55341.350,18.6888,,F,R,,P48,2014MNRAS.444.3258M
SN2010ai,55343.175,18.6990,,F,R,,P48,2014MNRAS.444.3258M
SN2010ai,55343.219,18.6831,,F,R,,P48,2014MNRAS.444.3258M
SN2010ai,55346.192,18.9897,,F,R,,P48,2014MNRAS.444.3258M
SN2010ai,55346.235,18.9606,,F,R,,P48,2014MNRAS.444.3258M
SN2010ai,55347.230,19.0369,,F,R,,P48,2014MNRAS.444.3258M
SN2010ai,55348.211,18.9528,,F,R,,P48,2014MNRAS.444.3258M
SN2010ai,55348.256,19.0040,,F,R,,P48,2014MNRAS.444.3258M
SN2010ai,55349.258,19.0462,,F,R,,P48,2014MNRAS.444.3258M
SN2010ai,55349.308,19.0268,,F,R,,P48,2014MNRAS.444.3258M
SN2010ai,55350.266,18.9787,,F,R,,P48,2014MNRAS.444.3258M
SN2010ai,55350.333,19.0180,,F,R,,P48,2014MNRAS.444.3258M
SN2010ai,55351.284,18.9289,,F,R,,P48,2014MNRAS.444.3258M
SN2010ai,55351.328,19.0453,,F,R,,P48,2014MNRAS.444.3258M
SN2010ai,55352.281,19.1310,,F,R,,P48,2014MNRAS.444.3258M
SN2010ai,55352.324,19.1047,,F,R,,P48,2014MNRAS.444.3258M
SN2010ai,55353.278,19.0459,,F,R,,P48,2014MNRAS.444.3258M
SN2010ai,55353.322,19.2119,,F,R,,P48,2014MNRAS.444.3258M
SN2010ai,55355.204,19.1990,,F,R,,P48,2014MNRAS.444.3258M
SN2010ai,55355.260,19.1178,,F,R,,P48,2014MNRAS.444.3258M
SN2010ai,55356.211,19.3938,,F,R,,P48,2014MNRAS.444.3258M
SN2010ai,55356.285,19.3789,,F,R,,P48,2014MNRAS.444.3258M
SN2010ai,55357.240,19.3396,,F,R,,P48,2014MNRAS.444.3258M
SN2010ai,55357.296,19.3356,,F,R,,P48,2014MNRAS.444.3258M
SN2010ai,55360.232,19.4710,,F,R,,P48,2014MNRAS.444.3258M
SN2010ai,55360.276,19.4444,,F,R,,P48,2014MNRAS.444.3258M
SN2010ai,55361.232,19.4143,,F,R,,P48,2014MNRAS.444.3258M
SN2010ai,55363.216,19.4052,,F,R,,P48,2014MNRAS.444.3258M
SN2010ai,55363.304,19.4050,,F,R,,P48,2014MNRAS.444.3258M
SN2010ai,55364.265,19.4245,,F,R,,P48,2014MNRAS.444.3258M
SN2010ai,55364.309,19.4598,,F,R,,P48,2014MNRAS.444.3258M
SN2010ai,55365.267,19.4886,,F,R,,P48,2014MNRAS.444.3258M
SN2010ai,55365.310,19.740,,F,R,,P48,2014MNRAS.444.3258M
SN2010ai,55366.269,19.658,,F,R,,P48,2014MNRAS.444.3258M
SN2010ai,55366.313,19.539,,F,R,,P48,2014MNRAS.444.3258M
SN2010ai,55368.185,19.4212,,F,R,,P48,2014MNRAS.444.3258M
SN2010ai,55368.228,19.612,,F,R,,P48,2014MNRAS.444.3258M
SN2010ai,55369.180,19.515,,F,R,,P48,2014MNRAS.444.3258M
SN2010ai,55369.223,19.720,,F,R,,P48,2014MNRAS.444.3258M
SN2010ai,55370.180,19.638,,F,R,,P48,2014MNRAS.444.3258M
SN2010ai,55370.223,19.4872,,F,R,,P48,2014MNRAS.444.3258M
SN2010ai,55371.178,19.4604,,F,R,,P48,2014MNRAS.444.3258M
SN2010ai,55371.222,19.636,,F,R,,P48,2014MNRAS.444.3258M
