Aki,FUV,89
Aki,NUV,69
Aki,NUV,89
Caleb,NUV,38
Emma,NUV,26
ESSENCEg097,NUV,5
ESSENCEm070,FUV,3
ESSENCEm070,NUV,5
ESSENCEp527,NUV,1
ESSENCEp534,NUV,2
McGuire,FUV,46
McGuire,FUV,98
McGuire,NUV,41
McGuire,NUV,52
McGuire,NUV,57
McGuire,NUV,93
McGuire,NUV,100
PS1-10ia,NUV,11
PS1-11t,NUV,174
PSc000210,NUV,48
PSc040511,NUV,77
PSc060242,NUV,23
PSc090966,NUV,50
PSc100405,NUV,61
PSc110014,NUV,38
PSc130145,NUV,31
PSc190269,NUV,37
PSc380204,NUV,13
PSc550031,NUV,48
Rakke,FUV,42
Rakke,FUV,51
Rakke,FUV,86
Rakke,FUV,90
Rakke,FUV,92
Rakke,NUV,66
Rakke,NUV,90
Rakke,NUV,99
SDSS1843-53816-491,NUV,26
SN2004fl,NUV,1
SN2005ed,FUV,1
SN2005fe,FUV,62
SN2005fe,FUV,75
SN2005fe,NUV,70
SN2005fe,NUV,94
SN2005fi,FUV,1
SN2005fi,NUV,1
SN2005hj,NUV,3
SN2006lo,FUV,20
SN2006lo,FUV,110
SN2006lo,FUV,136
SN2006lo,FUV,140
SN2006lo,NUV,163
SN2006lo,NUV,164
SN2006lo,NUV,173
SN2006lo,NUV,203
SN2006lo,NUV,239
SN2006lo,NUV,270
SN2006lo,NUV,347
SN2006mi,NUV,1
SN2006mt,FUV,2
SN2006sb,NUV,2
SN2006sw,FUV,1
SN2006tn,NUV,36
SN2007jz,NUV,6
SN2007kx,FUV,2
SN2007kx,NUV,2
SN2007na,NUV,31
SN2007pf,NUV,39
SN2007ul,NUV,27
SN2007up,NUV,7
SN2008hz,NUV,80
SN2010fb,NUV,37
SN2010fc,NUV,51
SNLS-03D1fb,NUV,59
SNLS-03D1fb,NUV,62
SNLS-03D1fc,FUV,94
SNLS-03D1fc,FUV,98
SNLS-03D1fc,FUV,144
SNLS-03D1fc,NUV,107
SNLS-03D1fc,NUV,183
SNLS-03D1gt,FUV,103
SNLS-03D1gt,NUV,96
SNLS-03D4cx,FUV,23
SNLS-03D4cx,FUV,91
SNLS-03D4cx,NUV,30
SNLS-03D4cx,NUV,67
SNLS-03D4dy,FUV,76
SNLS-03D4dy,FUV,94
SNLS-03D4dy,NUV,26
SNLS-03D4dy,NUV,66
SNLS-03D4dy,NUV,99
SNLS-03D4gg,FUV,24
SNLS-03D4gg,FUV,27
SNLS-03D4gg,FUV,77
SNLS-03D4gg,FUV,89
SNLS-03D4gg,NUV,65
SNLS-03D4gg,NUV,85
SNLS-03D4gg,NUV,87
SNLS-04D1aj,NUV,102
SNLS-04D1aj,NUV,196
SNLS-04D1de,FUV,72
SNLS-04D1de,FUV,95
SNLS-04D1de,NUV,99
SNLS-04D1de,NUV,125
SNLS-04D1de,NUV,148
SNLS-04D1de,NUV,165
SNLS-04D1hd,FUV,91
SNLS-04D1hd,FUV,139
SNLS-04D1hd,NUV,106
SNLS-04D1hd,NUV,111
SNLS-04D1hd,NUV,143
SNLS-04D1jg,NUV,111
SNLS-04D1jg,NUV,155
SNLS-04D1jg,NUV,169
SNLS-04D1oh,FUV,65
SNLS-04D1oh,FUV,71
SNLS-04D1oh,FUV,102
SNLS-04D1oh,NUV,94
SNLS-04D1ow,FUV,74
SNLS-04D1ow,FUV,95
SNLS-04D1ow,NUV,99
SNLS-04D1ow,NUV,104
SNLS-04D1pg,NUV,104
SNLS-04D1pg,NUV,105
SNLS-04D1pg,NUV,133
SNLS-04D1qr,FUV,75
SNLS-04D1qr,FUV,125
SNLS-04D1qr,FUV,126
SNLS-04D1qr,NUV,90
SNLS-04D1qr,NUV,101
SNLS-04D1qr,NUV,115
SNLS-04D1rx,FUV,80
SNLS-04D1rx,FUV,112
SNLS-04D1rx,NUV,100
SNLS-04D1rx,NUV,156
SNLS-04D1rx,NUV,171
SNLS-04D1sc,FUV,75
SNLS-04D1sc,FUV,80
SNLS-04D1sc,FUV,117
SNLS-04D1sc,NUV,110
SNLS-04D1sc,NUV,142
SNLS-04D1si,FUV,83
SNLS-04D1si,FUV,85
SNLS-04D1si,FUV,142
SNLS-04D1si,NUV,96
SNLS-04D1si,NUV,112
SNLS-04D1si,NUV,152
SNLS-04D1si,NUV,172
SNLS-04D2cc,FUV,91
SNLS-04D2cc,FUV,97
SNLS-04D2cf,FUV,51
SNLS-04D2cw,NUV,198
SNLS-04D2cw,NUV,283
SNLS-04D2kr,FUV,87
SNLS-04D2kr,NUV,113
SNLS-04D3co,NUV,80
SNLS-04D3co,NUV,101
SNLS-04D3co,NUV,141
SNLS-04D3co,NUV,162
SNLS-04D3co,NUV,186
SNLS-04D3gx,NUV,42
SNLS-04D3gx,NUV,56
SNLS-04D3gx,NUV,63
SNLS-04D3gx,NUV,92
SNLS-04D3gx,NUV,113
SNLS-04D3gx,NUV,218
