Name,Band,Max Sigma
ESSENCEg142,NUV,3.774013854
ESSENCEn263,NUV,12.33966396
ESSENCEn400,NUV,5.878576109
SDSS-II SN 13532,NUV,4.075273627
SDSS-II SN 14638,NUV,5.479776008
SDSS-II SN 15255,NUV,4.700360728
SDSS-II SN 16199,NUV,3.905621219
SDSS-II SN 19778,FUV,8.496710909
SDSS-II SN 19778,NUV,11.90438147
SDSS-II SN 20719,FUV,9.594788125
SDSS-II SN 20896,NUV,4.190497862
SDSS-II SN 3402,NUV,4.806512022
SDSS-II SN 3475,NUV,7.219807257
SDSS-II SN 5890,NUV,4.293348609
SDSS-II SN 7835,FUV,7.570036468
SN2004at,FUV,4.933332953
SN2004fh,NUV,4.156922896
SN2005gf,NUV,3.471524472
SN2006eb,NUV,4.131226499
SN2007mh,FUV,6.379601499
SN2007mo,NUV,3.703462326
SN2007on,NUV,90.06728261
SN2007pf,NUV,5.166366619
SN2007ts,NUV,3.799974626
SN2008hv,NUV,5.796152808
SN2010ai,NUV,17.27417405
SNLS-06D3df,NUV,3.582863476
