,name,band,t0,t1,t_mean,t0_data,t1_data,cps_bgsub,cps_bgsub_err,flux_bgsub,flux_bgsub_err,mag_bgsub,mag_bgsub_err_1,mag_bgsub_err_2,cps_mcatbgsub,cps_mcatbgsub_err,flux_mcatbgsub,flux_mcatbgsub_err,mag_mcatbgsub,mag_mcatbgsub_err_1,mag_mcatbgsub_err_2,cps,cps_err,flux,flux_err,mag,mag_err_1,mag_err_2,counts,flat_counts,bg_counts,bg_cps,bg_cps_median,bg_flat_counts,exptime,bg,mcat_bg,responses,detxs,detys,detrad,racent,deccent,q_mean,flags
103,Hawk,NUV,859475946.995,859477499.995,859476733.5545173,859475947.755,859477493.875,0.11983305868229048,0.02475846505054306,2.468561008855184e-17,5.100243800411869e-18,22.38355838844911,0.20391547451143666,0.2512804169904648,,,,,,,,0.4905132996860573,0.018685242044953136,1.010457397353278e-16,3.849159861260346e-18,20.85337303186217,0.04059090993344583,0.04216756065327232,580.0,689.1347000630742,2149.0,1.5296183473693283,0.3457869624409419,1808.25752150104,1404.925616704257,520.7781661922996,,0.8419867565648911,295.8548889160156,336.8293151855469,121.80615576653923,188.9213807384974,62.19361934859662,13.372413635253904,0
154,SDSS-II SN 15892,NUV,839152935.995,839154633.995,839153854.1118648,839152937.61,839154633.05,0.3161305143065595,0.030895186340513036,6.512288594715124e-17,6.364408386145685e-18,21.330333955312806,0.10123805465224224,0.1116577590015595,0.25016089467738656,0.03182280810637754,5.153314430354163e-17,6.555498469913772e-18,21.584451446370373,0.1300114689807721,0.14772480362767482,0.6992337820342526,0.024832517915338442,1.4404215909905604e-16,5.115498690559719e-18,20.46844399456739,0.037889831275570884,0.03926006625093592,665.0,792.8723802013135,1796.0,1.5838915617348894,0.516986045995451,1508.3573915646145,1133.9160100283514,434.406928770609,509.21093664360876,0.8396167521767878,324.8315734863281,159.02069091796875,252.43082171199782,323.1990547393835,0.6889176059783986,9.581954956054688,32
24,SDSS-II SN 15101,FUV,869742297.995,869742406.995,869742334.548,869742306.64,869742384.65,0.0574846965589156,0.02321857350976764,8.047857518248183e-17,3.2506002913674704e-17,21.921119391954466,0.3683472233077119,0.5617181828046256,0.03965516248154092,0.02657650910659988,5.551722747415729e-17,3.720711274923983e-17,22.324250665802847,0.5569149561206714,1.2043417597654198,0.0574846965589156,0.02321857350976764,8.047857518248183e-17,3.2506002913674704e-17,21.921119391954466,0.3683472233077119,0.5617181828046256,5.0,6.129618111788693,2.287582913209102e+199,2.1453377228554927e+197,0.05472926569390595,2.4e-322,106.63043346687056,0.0,1.9011709471828016,0.8158563010525933,531.2568359375,693.531494140625,321.5417469517008,322.784505387,-0.4859529807032,15.399999618530273,32
