Name,Disc. Date,R.A.,Dec.,Total Epochs,Epochs Pre-SN,Epochs Post-SN,First Epoch,Last Epoch,Next Epoch
ESSENCEm226,2005-09-26,2h06m03.69s,-4d39m59.1s,39,1,38,674,1877,1478
ESSENCEn246,2005-11-22,1h14m33.08s,-0d26m23.2s,14,2,12,777,1771,680
ESSENCEn258,2005-11-22,2h06m42.35s,-4d22m37s,43,1,42,731,1844,1421
ESSENCEn263,2005-11-22,2h05m14.95s,-4d56m39.1s,40,2,38,410,1820,1421
ESSENCEn278,2005-11-24,23h28m17.55s,-9d23m12.4s,22,8,14,446,1766,296
ESSENCEn285,2005-11-08,23h23m51.35s,-8d23m18.5s,16,2,14,751,2166,317
ESSENCEn322,2005-11-22,2h29m00.48s,-9d02m53s,20,8,12,396,1835,696
ESSENCEn326,2005-11-24,23h29m58.59s,-8d53m12.5s,16,6,10,446,1766,291
ESSENCEn400,2005-11-26,1h13m13.26s,-0d23m25.9s,16,2,14,781,1767,676
ESSENCEp425,2005-11-24,23h29m56.19s,-8d34m24.3s,20,8,12,767,1766,291
ESSENCEp429,2005-11-24,23h26m02.216s,-8d35m47.978s,20,6,14,446,1766,296
ESSENCEp434,2005-11-24,1h12m40.25s,0d14m56.6s,15,2,13,779,2129,683
ESSENCEp444,2005-11-24,2h06m36.165s,-3d41m33.614s,3,1,2,733,707,360
ESSENCEp445,2005-11-24,1h13m14.547s,0d48m47.659s,28,2,26,423,2129,342
ESSENCEp454,2005-11-24,2h08m32.45s,-3d33m34.2s,13,2,11,733,1839,360
ESSENCEp520,2005-12-24,2h08m09.34s,-3d48m05s,21,2,19,763,1812,330
ESSENCEp527,2005-12-27,2h08m10.47s,-3d32m17.7s,13,2,11,766,1806,327
ESSENCEp528,2005-11-30,2h07m04.66s,-3d28m04.4s,15,2,13,739,1836,354
ESSENCEp534,2005-12-24,2h04m56.09s,-3d49m03.7s,15,2,13,763,1812,330
ESSENCEq002,2006-09-16,2h05m12.945s,-3d39m00.723s,15,2,13,1029,1546,64
ESSENCEq006,2006-09-16,2h10m52.276s,-3d57m39.374s,16,2,14,1029,1543,64
ESSENCEq021,2006-09-16,2h33m43.919s,-8d05m50.05s,17,6,11,694,1546,398
ESSENCEq022,2006-09-11,1h12m03.864s,-0d01m28.9452s,19,2,17,1070,1838,387
ESSENCEr185,2006-10-31,1h11m48.245s,-0d29m49.46s,12,2,10,1120,1428,337
ESSENCEs354,2006-11-26,2h06m10.482s,-5d05m23s,65,2,63,779,1451,1052
ESSENCEs372,2006-12-13,2h08m24.257s,-3d27m32.636s,13,4,9,1117,1455,324
ESSENCEx039,2007-09-17,2h29m18.063s,-7d39m01.433s,15,2,13,301,1181,391
ESSENCEx093,2007-10-08,2h29m43.134s,-9d06m54.931s,21,8,13,1081,1150,11
Eagle,2004-11-06,12h37m20.75s,62d13m41.5s,213,121,92,285,2314,162
Emma,2006-04-22,14h34m30.139s,34d26m57.29s,38,13,25,334,1066,17
Frida,2005-08-07,2h21m42.066s,-3d21m53.12s,76,4,72,265,1923,68
Gabi,2005-04-14,12h36m13.83s,62d12m07.56s,213,121,92,444,2155,3
HST04Man,2004-05-20,12h36m34.853s,62d15m48.86s,211,119,92,112,2484,332
HST04Sas,2004-05-23,12h36m54.125s,62d08m22.21s,213,121,92,118,2481,329
HST05Dic,2005-04-12,12h35m49.61s,62d10m11.96s,211,119,92,439,2157,5
HST05Fer,2005-04-12,12h36m25.1s,62d15m23.84s,211,119,92,439,2157,5
HST05Koe,2005-04-12,12h36m22.92s,62d18m23.2s,211,119,92,439,2157,5
HST05Lan,2005-02-25,12h36m56.72s,62d12m53.33s,213,121,92,396,2203,51
Hawk,2004-11-05,12h35m41.16s,62d11m37.19s,211,119,92,281,2315,163
Jennie,2006-08-18,2h23m00.082s,-4d36m03.04s,54,12,42,641,1547,64
Maggie,2005-10-10,2h21m46.484s,-3d22m56.18s,51,2,49,329,1859,4
McGuire,2004-09-16,3h32m10.02s,-27d49m49.98s,325,78,247,311,2274,401
Naima,2006-08-18,2h20m57.699s,-3d33m23.97s,72,6,66,641,1547,57
PS0909010,2009-09-12,2h28m28.368s,-4d04m44.08s,52,4,48,1030,426,42
PS1-1000004,2010-01-11,3h33m27.948s,-28d22m17.48s,142,131,11,2254,331,314
PS1-1000005,2010-01-12,9h58m59.758s,3d09m27.11s,42,22,20,1438,400,24
PS1-1000007,2010-01-10,2h23m30.711s,-4d38m10.76s,147,136,11,2223,306,289
PS1-1000008,2010-01-10,2h24m15.945s,-3d11m11.53s,54,35,19,1153,306,288
PS1-1000009,2010-01-10,2h20m22.959s,-4d40m21.03s,65,55,10,1903,306,289
PS1-1000790,2010-08-01,21h33m28.573s,10d20m39.54s,7,5,2,743,55,54
PS1-10acx,2010-08-16,16h05m54.089s,55d11m52.3s,63,55,8,2231,298,249
PS1-10bls,2010-11-07,3h32m16.116s,-27d11m39.51s,93,83,10,2554,31,14
PS1-10byr,2010-12-06,22h17m50.801s,1d02m33.8s,127,126,1,2653,310,310
PS1-10byw,2010-11-30,22h15m28.07s,1d32m58.15s,47,46,1,2305,255,255
PS1-10ia,2010-03-20,14h11m31.058s,53d34m46.48s,18,10,8,319,359,2
PS1-10if,2010-03-20,10h00m21.196s,1d25m05.25s,45,34,11,2225,333,2
PS1-10im,2010-04-02,10h50m05.881s,58d46m38.71s,62,60,2,2260,340,341
PS1-10io,2010-04-12,10h00m44.015s,3d24m14.31s,43,34,9,1528,310,294
PS1-10j,2010-01-16,10h49m14.22s,58d28m02.04s,51,48,3,2184,416,5
PS1-10k,2010-01-16,10h00m27.616s,2d41m38.52s,199,162,37,2166,396,19
PS1-10ka,2010-05-16,16h11m10.31s,55d07m20.3s,49,40,9,2511,390,32
PS1-10m,2010-01-16,10h02m09.393s,1d53m57.01s,98,81,17,2166,429,22
PS1-10n,2010-01-16,10h03m14.385s,3d08m39.21s,42,20,22,1418,739,19
PS1-10o,2010-01-18,10h02m08.822s,2d43m06.83s,100,80,20,2168,394,17
PS1-10p,2010-01-20,9h59m16.802s,1d36m48.55s,100,77,23,2170,413,16
PS1-10s,2010-01-16,9h55m57.231s,2d15m48.47s,36,16,20,732,738,20
PS1-11aac,2011-05-24,14h15m17.287s,54d17m56.14s,20,19,1,750,9,10
PS1-11at,2011-01-05,10h01m53.027s,2d02m33.53s,176,160,16,2520,75,27
PS1-11bg,2011-01-11,10h03m58.861s,2d15m44.71s,39,28,11,2129,69,21
PS1-11bk,2011-01-11,9h56m19.761s,1d24m34.08s,38,29,9,2129,36,21
PS1-11fi,2011-02-05,14h12m57.07s,52d44m37.19s,20,18,2,641,37,36
PS1-11kk,2011-02-10,16h10m49.277s,55d15m05.31s,50,42,8,2781,120,71
PS1-11kl,2011-02-10,16h21m20.254s,55d00m19.76s,40,32,8,2401,120,71
PS1-11uw,2011-04-24,16h04m56.287s,54d52m41.3s,83,71,12,2482,47,2
PS1-11w,2011-01-05,10h54m43.784s,58d37m35.62s,87,85,2,2538,62,63
PS1-11yj,2011-05-24,16h08m30.469s,53d41m07.17s,44,42,2,2567,17,14
PS1-11yu,2011-05-24,16h12m46.179s,54d52m25.4s,49,47,2,2884,17,13
PS1-11zu,2011-05-27,16h06m28.184s,53d52m18.49s,43,41,2,2570,14,11
PS1-11zv,2011-05-27,16h11m37.152s,53d58m12.96s,43,41,2,2570,14,11
PS1-11zw,2011-05-27,16h10m25.814s,54d08m58.48s,44,42,2,2570,14,11
PS1-12sf,2009-12-23,10h06m15.919s,2d24m24.74s,13,10,3,1745,763,453
PS1-13lo,2010-02-16,9h59m12.104s,3d13m17.64s,40,26,14,1473,365,6
PSc000022,2010-01-03,2h24m34.669s,-4d23m41.75s,200,190,10,2259,313,298
PSc000200,2010-01-08,10h02m31.517s,2d42m04.5s,96,76,20,2158,404,27
PSc000210,2010-01-08,9h57m52.693s,3d00m30.82s,49,28,21,1434,746,28
PSc000418,2010-01-08,9h58m25.701s,1d41m39s,105,82,23,2158,425,28
PSc000552,2010-01-16,10h00m26.58s,2d28m59.67s,179,160,19,2166,396,20
PSc010014,2010-01-21,10h01m54.194s,1d09m07.1s,49,25,24,1774,391,15
PSc010055,2010-02-04,10h05m02.987s,1d57m53.74s,40,17,23,1788,410,1
PSc010218,2010-02-09,9h54m32.47s,1d56m37.52s,33,17,16,756,372,1
PSc020047,2010-03-09,9h56m56.438s,1d36m49.8s,38,29,9,1821,344,329
PSc020104,2010-03-09,9h58m36.773s,2d17m37.7s,176,165,11,2218,365,329
PSc020194,2010-03-12,9h58m34.81s,0d49m52.09s,41,31,10,1824,373,326
PSc030007,2010-03-25,14h09m23.651s,53d37m06.96s,18,12,6,324,354,32
PSc030216,2010-04-12,14h14m56.573s,54d12m41.36s,18,12,6,342,336,14
PSc040121,2010-04-12,10h39m04.002s,58d35m25.74s,25,24,1,1912,277,277
PSc040139,2010-05-06,14h17m09.899s,53d05m11.39s,245,239,6,2512,392,311
PSc040147,2010-04-17,14h15m40.447s,54d13m43.84s,20,13,7,348,411,9
PSc040169,2010-05-10,10h49m29.312s,58d45m59.04s,51,49,2,2298,302,303
PSc040316,2010-05-10,14h11m23.481s,52d26m04.6s,20,18,2,370,308,307
PSc040318,2010-05-09,14h17m19.798s,53d06m45.28s,246,240,6,2515,389,308
PSc040477,2010-05-08,16h20m34.011s,54d48m24.17s,40,28,12,2123,398,2
PSc040511,2010-05-13,16h07m40.019s,55d07m29.93s,83,71,12,2191,393,36
PSc040512,2010-05-10,16h08m01.032s,54d13m24.24s,67,50,17,2188,396,39
PSc040540,2010-05-10,14h08m37.451s,52d39m37.15s,20,18,2,370,308,307
PSc040693,2010-05-16,14h15m27.863s,52d23m50.02s,19,17,2,376,302,301
PSc040783,2010-05-21,16h11m06.899s,54d49m49.74s,49,40,9,2516,385,27
PSc050004,2010-05-16,14h10m49.486s,53d50m17.45s,18,16,2,376,302,301
PSc050298,2010-05-14,16h12m38.024s,55d43m14.67s,24,14,10,369,392,37
PSc050617,2010-06-15,14h18m25.922s,53d54m43.07s,4,3,1,357,272,273
PSc050625,2010-06-15,16h07m18.197s,53d49m47.77s,43,34,9,2224,360,3
PSc050656,2010-06-15,16h16m50.373s,54d38m46.73s,46,36,10,2540,360,3
PSc050665,2010-06-05,16h10m34.502s,54d57m25.53s,49,40,9,2531,370,12
PSc051109,2010-04-09,16h12m11.536s,54d00m32.46s,52,38,14,2157,427,25
PSc052136,2010-06-13,14h12m54.447s,52d47m32.5s,20,18,2,404,274,273
PSc060015,2010-06-29,16h03m50.262s,54d12m36.57s,46,38,8,2238,346,297
PSc060141,2010-07-01,16h09m39.092s,54d16m08.94s,47,39,8,2240,344,295
PSc060199,2010-07-11,14h09m39.159s,53d38m35.01s,18,16,2,432,246,245
PSc060238,2010-07-11,22h14m42.32s,0d47m51.7s,67,48,19,2492,397,21
PSc060242,2010-07-11,14h12m36.512s,54d02m59.78s,24,23,1,432,246,247
PSc060249,2010-07-11,22h19m51.403s,0d53m51.82s,4,1,3,329,458,28
PSc061190,2010-07-30,2h22m43.622s,-4d57m11.44s,50,38,12,2083,105,88
PSc061191,2010-07-29,2h25m06.486s,-5d00m03.06s,121,111,10,2423,106,89
PSc061192,2010-07-29,2h20m30.796s,-4d59m51.58s,49,39,10,2103,106,89
PSc061197,2010-07-29,2h21m54.589s,-4d11m18.99s,74,56,18,2082,106,89
PSc070003,2010-07-31,22h12m09.952s,0d43m09.41s,42,34,8,2184,22,6
PSc070048,2010-05-22,16h04m04.105s,54d11m55.5s,57,49,8,2200,384,335
PSc070054,2010-08-03,16h11m45.287s,55d17m56.99s,48,40,8,2590,311,262
PSc070071,2010-08-02,22h19m56.442s,-0d26m30.92s,38,28,10,711,436,5
PSc070096,2010-08-03,16h12m31.207s,53d48m33.16s,43,35,8,2273,311,262
PSc070111,2010-07-29,2h25m34.355s,-5d13m07.13s,49,38,11,2082,139,89
PSc070175,2010-08-03,16h07m36.818s,54d48m35.15s,44,36,8,2273,311,262
PSc070200,2010-07-30,2h26m38.462s,-3d36m57.83s,49,40,9,2440,105,87
PSc070264,2010-08-04,22h13m47.572s,0d26m28.25s,44,34,10,2188,33,3
PSc070459,2010-08-07,22h12m43.607s,0d36m42.44s,80,64,16,2191,30,1
PSc070470,2010-08-05,2h19m48.006s,-3d42m10.47s,50,42,8,2448,99,81
PSc070530,2010-07-29,2h25m09.816s,-5d02m36.26s,62,51,11,2422,139,89
PSc070567,2010-08-14,22h13m18.456s,0d48m46.22s,11,9,2,2198,23,4
PSc070611,2010-08-15,16h18m08.915s,53d58m19.13s,42,34,8,1933,299,250
PSc071007,2010-08-20,22h15m37.447s,1d15m38.93s,47,42,5,2203,357,0
PSc071011,2010-08-14,22h12m49.28s,-0d42m25.59s,47,42,5,2198,45,1
PSc071032,2010-08-29,22h19m13.268s,0d52m25.93s,126,121,5,2554,409,6
PSc071113,2010-08-29,16h11m44.234s,55d08m51.76s,49,41,8,2616,285,236
PSc071245,2010-08-28,22h15m02.874s,-0d51m54.61s,43,40,3,1433,31,8
PSc080012,2010-08-20,22h14m08.482s,-0d10m06.88s,44,40,4,1425,39,1
PSc080034,2010-08-17,22h15m24.782s,0d32m10.68s,48,42,6,2529,367,2
PSc080048,2010-08-27,2h24m25.254s,-5d00m44.34s,28,18,10,2106,77,60
PSc080064,2010-09-03,3h29m42.071s,-27d52m38.11s,58,47,11,2489,96,78
PSc080146,2010-09-02,3h31m19.116s,-26d51m52.43s,92,82,10,1769,97,80
PSc080241,2010-09-02,3h28m32.442s,-28d04m17.73s,56,46,10,2464,97,79
PSc080252,2010-09-02,2h24m41.569s,-3d47m00.06s,69,55,14,2474,71,53
PSc080257,2010-09-02,3h37m43.957s,-27d19m15.26s,60,50,10,2460,97,80
PSc080261,2010-08-31,3h35m11.954s,-27d11m47.17s,63,52,11,2458,99,82
PSc080295,2010-09-02,2h24m43.481s,-4d09m34.94s,129,119,10,2476,71,56
PSc080296,2010-08-27,2h21m49.682s,-3d55m16.97s,49,31,18,1382,77,59
PSc080343,2010-08-31,3h37m28.646s,-27d43m23.52s,60,50,10,2458,99,82
PSc080363,2009-09-15,3h26m38.821s,-27d55m14.34s,56,27,29,2112,449,49
PSc080438,2010-09-08,3h31m44.958s,-27d40m58.79s,220,125,95,2494,91,73
PSc080554,2010-09-03,2h21m00.039s,-3d40m18.75s,44,35,9,2118,70,52
PSc080646,2010-09-10,22h18m29.334s,0d56m29.35s,127,126,1,2566,397,397
PSc080723,2010-09-29,2h19m56.728s,-3d57m38.18s,49,40,9,2166,44,26
PSc080735,2010-09-29,22h15m29.67s,0d32m30.87s,77,76,1,2572,324,324
PSc080771,2010-09-13,3h28m16.421s,-28d08m49.41s,56,46,10,2475,86,68
PSc080772,2010-09-16,3h31m35.901s,-28d14m27.1s,212,110,102,2502,83,65
PSc090107,2010-09-27,2h22m57.885s,-4d18m40.25s,56,46,10,2473,46,29
PSc090128,2010-10-07,2h24m04.603s,-3d13m33.83s,53,34,19,1423,36,18
PSc090130,2010-09-16,3h34m26.099s,-26d35m34.49s,62,52,10,1740,83,66
PSc090147,2010-10-07,2h26m05.502s,-5d29m39.51s,47,38,9,2152,69,21
PSc090196,2010-10-06,2h19m24.164s,-4d35m03.99s,66,30,36,2172,64,22
PSc090275,2010-10-13,3h36m17.301s,-28d03m05.44s,69,59,10,1766,56,39
PSc090966,2010-10-13,22h12m56.579s,1d01m50.48s,51,50,1,2257,303,303
PSc091739,2010-10-13,2h27m58.329s,-4d01m29.39s,38,28,10,2541,30,13
PSc091748,2010-10-31,3h28m29.494s,-26d49m42.58s,61,51,10,1785,38,21
PSc100163,2010-11-10,2h21m46.162s,-5d09m05.76s,93,91,2,2207,2,1
PSc100164,2010-10-29,2h21m28.917s,-5d01m34.02s,93,84,9,2195,14,1
PSc100206,2010-11-07,3h30m04.362s,-28d15m24.09s,55,46,9,2530,31,13
PSc100405,2010-11-24,3h34m30.852s,-27d19m14.09s,63,55,8,2543,14,1
PSc110014,2010-11-07,22h18m27.834s,-0d09m45.94s,39,38,1,808,339,340
PSc110476,2010-12-15,10h05m18.648s,2d04m58.9s,38,28,10,2102,96,48
PSc110725,2009-12-27,8h41m03.877s,44d29m11.67s,8,7,1,2171,18,19
PSc120039,2010-12-30,9h56m26.084s,1d32m06.38s,38,29,9,2117,48,33
PSc120111,2010-12-30,10h00m53.74s,2d31m18.9s,176,166,10,2514,48,33
PSc120223,2011-01-02,9h59m02.791s,3d07m38.38s,42,33,9,1793,45,29
PSc120313,2010-12-30,10h03m30.71s,2d52m04.85s,38,27,11,1766,391,32
PSc120458,2011-01-09,9h58m06.695s,1d55m49.38s,96,86,10,2524,59,23
PSc120706,2011-01-15,9h58m43.172s,2d25m59.47s,180,169,11,2530,53,17
PSc130145,2011-01-15,9h59m49.558s,3d28m44.09s,37,29,8,1806,32,16
PSc130373,2011-02-04,14h18m20.292s,53d38m39.14s,18,16,2,640,38,37
PSc130391,2011-02-02,14h11m41.445s,54d13m17.56s,18,17,1,638,40,41
PSc131031,2011-02-10,14h09m41.539s,53d20m58.92s,19,17,2,646,32,31
PSc140164,2011-03-09,10h05m33.961s,2d01m20.13s,38,37,1,2186,12,13
PSc140210,2011-03-09,14h15m04.186s,53d27m17.28s,18,16,2,673,5,4
PSc140214,2011-03-09,14h14m13.815s,53d42m06.94s,18,16,2,673,5,4
PSc140229,2011-03-12,12h26m44.345s,47d23m28.88s,17,16,1,2199,88,88
PSc140234,2011-03-09,14h08m46.699s,53d49m25.19s,18,16,2,673,5,4
PSc150145,2009-05-01,12h28m21.218s,47d17m18.8s,8,7,1,1519,768,768
PSc150210,2011-03-31,9h58m16.059s,2d30m57.57s,163,162,1,2605,299,300
PSc150234,2009-06-17,14h11m04.974s,52d36m19.61s,20,4,16,43,635,0
PSc150365,2011-04-21,16h10m03.587s,53d49m02.98s,46,38,8,2534,50,1
PSc150379,2011-04-21,16h04m10.001s,53d58m23.75s,59,51,8,2534,50,1
PSc150515,2011-04-21,16h04m37.768s,55d16m08.12s,46,38,8,2180,50,1
PSc151005,2010-02-25,14h09m15.562s,52d23m01.74s,20,8,12,296,382,17
PSc160028,2011-05-12,16h13m23.246s,53d58m16.75s,72,66,6,2555,29,0
PSc160195,2011-05-27,16h10m40.306s,53d39m26.32s,41,39,2,2515,14,11
PSc160262,2009-06-11,16h18m39.19s,55d42m21.73s,42,22,20,1500,729,10
PSc170178,2010-02-25,14h12m42.377s,53d31m11.74s,18,7,11,296,382,19
PSc170254,2011-05-30,16h08m54.049s,53d51m22.45s,43,41,2,2573,11,8
PSc170285,2011-05-30,16h16m09.313s,54d08m30.04s,62,60,2,2573,11,8
PSc170324,2011-05-29,16h18m05.315s,55d34m07.51s,57,55,2,2509,12,8
PSc170539,2011-06-26,22h17m54.529s,1d22m41.5s,4,3,1,1421,108,108
PSc170558,2011-06-26,22h18m45.773s,1d21m55.85s,3,2,1,675,108,108
PSc180255,2011-07-01,22h14m56.395s,0d32m39.24s,49,48,1,2847,49,49
PSc180329,2011-07-12,22h17m20.245s,1d15m31.9s,10,9,1,2858,92,92
PSc180424,2011-07-25,22h17m20.279s,0d31m57.37s,134,133,1,2884,25,25
PSc180561,2011-07-28,22h17m50.984s,1d28m06.39s,2,1,1,674,76,76
PSc190062,2011-07-31,22h15m25.461s,0d40m47.77s,72,70,2,2877,19,12
PSc190230,2011-08-18,22h15m44.873s,0d25m21.14s,154,153,1,2908,1,1
PSc190269,2011-08-19,22h20m04.279s,-0d14m15s,38,37,1,1093,54,55
PSc200058,2011-09-06,22h17m58.874s,-0d26m28.32s,40,39,1,1111,36,37
PSc200132,2011-09-19,22h17m58.556s,-0d41m48.81s,5,4,1,747,23,24
PSc200170,2011-09-25,22h17m44.37s,1d21m00.72s,5,4,1,1512,17,17
PSc210027,2011-09-30,22h17m11.892s,1d04m34.96s,131,130,1,2951,12,12
PSc340105,2010-09-12,2h23m52.675s,-3d38m04s,47,38,9,2484,61,43
PSc350213,2012-01-24,10h04m06.984s,2d43m56.99s,43,42,1,2156,1,1
PSc370589,2011-02-03,9h56m25.97s,3d27m17.1s,41,31,10,1825,355,2
PSc380095,2010-02-25,14h08m51.157s,53d35m38.3s,18,7,11,296,382,19
PSc380204,2009-06-02,14h15m14.266s,53d05m16.23s,23,6,17,28,650,18
PSc380421,2010-05-14,14h07m27.685s,54d00m38.93s,19,17,2,2520,304,303
PSc480635,2010-04-04,9h59m56.024s,2d33m33.52s,178,169,9,2244,318,303
PSc500020,2010-03-09,14h13m42.163s,52d28m14.71s,30,11,19,308,370,5
PSc500043,2011-01-11,9h59m44.791s,2d18m08.08s,292,281,11,2526,57,21
PSc500065,2010-05-09,14h16m21.03s,54d08m05.62s,18,16,2,369,309,308
PSc520011,2010-04-19,14h19m17.434s,52d28m43.5s,253,237,16,2495,409,6
PSc550031,2009-09-16,2h25m20.926s,-5d19m18.51s,49,24,25,1766,455,41
PSc580006,2010-09-03,2h20m37.941s,-4d38m31.28s,70,60,10,2139,70,53
PSc580010,2009-12-21,2h26m56.021s,-3d44m34.31s,50,40,10,2219,326,308
PSc580024,2009-12-05,2h22m33.802s,-5d27m55.11s,28,25,3,1846,328,17
PSc580072,2009-12-21,10h00m07.829s,2d01m25s,293,272,21,2140,443,46
PSc590191,2010-03-09,10h00m33.072s,1d54m14.41s,162,151,11,2218,365,329
PTF09djc,2009-08-10,17h46m55.9s,59d12m04.86s,3,2,1,1068,723,724
PTF09foz,2009-10-09,0h42m11.893s,-9d52m54.65s,32,3,29,1095,706,344
PTF10cko,2010-02-24,12h11m15.37s,13d44m01.5s,3,2,1,2145,26,27
PTF10feg,2010-03-20,12h30m35.68s,15d47m38.9s,9,2,7,1068,38,11
PTF10fej,2010-03-25,16h06m19.32s,53d55m16.8s,62,43,19,2142,442,40
PTF10fxe,2010-04-25,9h45m09.71s,22d37m44s,3,1,2,1183,296,296
PTF10goq,2010-04-30,12h45m59.66s,4d49m29s,5,3,2,2211,338,3
PTF10gsp,2010-04-27,13h53m35.97s,39d58m22.2s,5,3,2,1783,315,315
PTF10hdm,2010-05-03,12h42m41.04s,5d11m07.1s,7,4,3,2214,335,335
PTF10mtd,2010-06-24,14h01m59.62s,4d59m05.2s,37,36,1,2234,293,294
PTF10nda,2010-06-27,13h57m09.73s,61d15m09.1s,5,3,2,1939,295,250
PTF10nvh,2010-06-23,21h32m02.35s,8d59m35.7s,3,2,1,2139,408,408
PTF10qna,2010-08-02,0h47m50.83s,-25d57m56.4s,5,4,1,2476,397,398
PTF10rbp,2010-08-08,1h16m37.78s,-1d49m28.2s,2,1,1,670,446,447
PTF10rgn,2010-08-07,1h41m40.27s,30d49m26.9s,3,2,1,2132,108,109
PTF10tqy,2010-08-31,0h42m41.52s,24d45m14.2s,4,3,1,1392,418,419
PTF10trp,2010-08-27,21h28m08.01s,9d51m14s,13,10,3,2248,343,28
PTF10ujt,2010-09-01,1h49m34.34s,-8d48m02.5s,5,4,1,2524,405,405
PTF10vnu,2010-09-16,1h11m03.36s,0d26m27.4s,8,3,5,2536,53,11
PTF10vyv,2010-09-21,1h40m01.08s,-8d02m42.5s,3,2,1,2504,388,388
PTF10wnt,2010-09-21,1h42m10.01s,-8d47m39.1s,6,5,1,2533,388,388
PTF10xgp,2010-10-03,4h16m50.3s,1d51m39.2s,5,2,3,1720,439,80
PTF10xhs,2010-09-30,0h03m05.53s,12d08m02.5s,2,1,1,2229,392,392
PTF11dej,2011-05-04,14h15m54.34s,30d22m09.9s,5,3,2,2171,31,19
PTF11fvq,2011-06-12,0h37m39.81s,40d40m43.3s,69,62,7,1677,61,56
PTF11gdm,2011-06-21,16h56m23.7s,41d30m15.1s,4,3,1,2591,24,25
PTF11hfu,2011-07-08,21h21m13.83s,2d19m11.9s,7,5,2,1453,27,23
PTF11ilj,2011-07-21,0h35m44.05s,38d40m06.6s,3,1,2,2081,63,16
PTF11kjl,2011-08-11,17h24m42.68s,73d20m59.3s,2,1,1,1635,40,40
PTF11paw,2011-10-21,0h39m02.06s,42d01m04.6s,49,48,1,2934,2,2
PTF11pdl,2011-10-21,0h49m15.81s,40d02m59.6s,3,2,1,2173,18,18
PTF11phm,2011-10-25,2h01m42.59s,27d45m21s,4,3,1,1833,28,28
PTF11wv,2011-01-24,9h54m56.13s,4d07m41.5s,6,2,4,1815,365,55
Patuxent,2004-07-09,12h38m08.961s,62d18m47.39s,211,119,92,162,2434,282
Rakke,2004-12-16,3h32m18.15s,-27d44m10.55s,327,78,249,402,2183,310
SCP-06H3,2006-04-04,14h34m28.879s,34d27m26.61s,39,12,27,316,1084,10
SDSS-II SN 10036,2005-11-03,1h35m27.336s,0d13m57.018s,8,4,4,395,1078,702
SDSS-II SN 10066,2005-11-03,21h36m00.72s,-0d03m14.868s,146,70,76,88,1779,276
SDSS-II SN 10113,2005-11-01,3h36m43.628s,-0d08m25.2s,11,2,9,705,1492,404
SDSS-II SN 10146,2005-10-20,1h43m07.008s,1d15m04.824s,8,4,4,381,1093,717
SDSS-II SN 10154,2005-10-30,2h06m46.008s,1d15m01.476s,8,6,2,744,1078,1079
SDSS-II SN 10299,2005-11-05,22h49m03.36s,0d59m36.89s,10,8,2,452,1068,1069
SDSS-II SN 10450,2005-11-02,22h29m06.24s,-1d07m43.212s,21,6,15,448,2170,267
