Name,Disc. Date,R.A.,Dec.,Total Epochs,Epochs Pre-SN,Epochs Post-SN,First Epoch,Last Epoch,Next Epoch
Aki,2006-06-19,22h16m01.077s,-17d37m22.09s,205,103,102,1023,1190,42
CSS091127:094447+083137,2009-11-27,9h44m47.1s,8d31m37s,3,1,2,1372,450,427
CSS100912:223118+010516,2010-09-12,22h31m18.33s,1d05m16s,2,1,1,2209,395,395
Caleb,2005-12-12,14h32m28.748s,33d32m10.05s,39,13,26,203,503,123
Cayanne,2004-08-27,12h37m27.11s,62d12m07.68s,213,121,92,214,2385,233
ESSENCEf123,2003-12-01,2h09m57.282s,-3d32m26.609s,13,2,11,9,2563,1084
ESSENCEg097,2004-10-05,23h27m37.16s,-9d35m21s,23,6,17,407,2181,357
ESSENCEg133,2004-09-18,2h09m49.63s,-4d10m55.1s,46,2,44,301,2271,792
ESSENCEg142,2004-10-09,23h28m37.7s,-8d45m04s,16,4,12,35,2177,353
ESSENCEg225,2004-10-17,23h27m15.69s,-9d27m59.8s,17,2,15,419,2169,729
ESSENCEg230,2004-10-17,1h11m56.31s,0d07m27.7s,19,2,17,376,2532,1081
ESSENCEg240,2004-10-13,23h30m41.83s,-8d34m11s,16,4,12,39,2173,349
ESSENCEk411,2004-11-16,23h26m11.77s,-8d50m17.5s,22,4,18,73,2139,315
ESSENCEm022,2005-09-26,23h30m02.7s,-8d33m36.6s,22,6,16,708,1825,1
ESSENCEm026,2005-09-26,23h28m39.97s,-9d19m50s,26,4,22,387,1825,1
ESSENCEm027,2005-09-26,1h09m15.01s,0d08m14.8s,14,2,12,720,1870,742
ESSENCEm032,2005-09-25,23h29m35.34s,-9d58m46.3s,21,4,17,386,1826,2
ESSENCEm043,2005-09-26,23h29m51.73s,-8d56m46.1s,16,4,12,387,1825,1
ESSENCEm062,2005-09-25,1h09m52.902s,0d36m19.03s,14,2,12,719,1829,729
ESSENCEm070,2005-09-28,2h33m46.821s,-8d08m26.888s,19,6,13,341,1899,38
ESSENCEm075,2005-09-26,23h24m42.29s,-8d29m08.7s,16,2,14,708,2209,360
ESSENCEm087,2004-12-15,2h33m37.004s,-8d27m32.462s,4,3,1,54,325,325
ESSENCEm138,2005-10-06,1h08m56.35s,0d39m25.4s,12,4,8,730,1818,718
ESSENCEm158,2005-10-06,23h24m03.53s,-9d23m18.2s,6,1,5,773,1067,375
