Name,NED Object,Redshift,Same Name?,Disc. Date,,With Redshift,Without Redshift
SDSS-II SN 14250,SDSS-II SN 14250,0.395,FALSE,2006-09-17,,2006-09-17,2007-11-02
SN2007tr,SN 2007tr,0.395,FALSE,2007-10-18,,2007-10-18,2007-10-31
SDSS-II SN 19987,SDSS-II SN 19987,0.396,TRUE,2007-10-18,,2007-10-18,2007-10-21
SDSS-II SN 14858,SDSS-II SN 14858,0.399,TRUE,2006-09-27,,2006-09-27,2007-10-09
SDSS-II SN 18704,SDSS-II SN 18704,0.399,FALSE,2007-09-15,,2007-09-15,2007-10-09
SDSS-II SN 20431,SDSS-II SN 20431,0.399,FALSE,2007-10-29,,2007-10-29,2007-11-04
SDSS-II SN 7822,SDSS-II SN 07822,0.399,TRUE,2005-10-20,,2005-10-20,2007-11-04
PSc061191,WISEA J022506.54-050003.6,0.399587,FALSE,2010-07-29,,2010-07-29,2007-10-29
PSc100164,WISEA J022128.92-050134.9,0.399587,FALSE,2010-10-29,,2010-10-29,2007-10-14
SDSS-II SN 9424,SDSS-II SN 09424,0.401,TRUE,2005-10-31,,2005-10-31,2007-10-06
SDSS-II SN 15726,SDSS-II SN 15726,0.403,TRUE,2006-10-04,,2006-10-04,2007-10-09
SDSS-II SN 16434,SDSS-II SN 16434,0.403,TRUE,2006-10-29,,2006-10-29,2007-09-16
SDSS-II SN 8307,SDSS-II SN 08307,0.403,TRUE,2005-10-23,,2005-10-23,2007-10-31
PSc150210,WISEA J095816.06+023058.1,0.405,FALSE,2011-03-31,,2011-03-31,2007-11-02
SDSS-II SN 7986,SDSS-II SN 07986,0.406,TRUE,2005-10-20,,2005-10-20,2007-11-02
PSc090196,SSTSL2 J021924.05-043504.4,0.406048,FALSE,2010-10-06,,2010-10-06,2007-11-08
SDSS-II SN 18824,SDSS-II SN 18824,0.407,TRUE,2007-09-22,,2007-09-22,2007-11-02
SDSS-II SN 3593,SDSS-II SN 03593,0.407,TRUE,2005-09-13,,2005-09-13,2007-10-19
PS1-10ia,PS1-10ia,0.409,FALSE,2010-03-20,,2010-03-20,2005-09-12
PSc180255,[LYY2017] 062474,0.41,FALSE,2011-07-01,,2011-07-01,2007-10-31
SDSS-II SN 20719,SDSS-II SN 20719,0.41,FALSE,2007-10-20,,2007-10-20,2007-11-04
PSc080296,WISEA J022149.67-035517.0,0.412538,FALSE,2010-08-27,,2010-08-27,2007-11-04
SDSS-II SN 18802,SDSS-II SN 18802,0.416,FALSE,2007-09-22,,2007-09-22,2007-10-21
SDSS-II SN 4682,SDSS-II SN 04682,0.417,TRUE,2005-09-24,,2005-09-24,2007-11-04
SNLS-05D3cf,DEEP2 11044756,0.418732,FALSE,2005-03-07,,2005-03-07,2007-10-17
PSc080438,WISEA J033144.93-274056.2,0.421,FALSE,2010-09-08,,2010-09-08,2007-11-04
SDSS-II SN 13901,SDSS-II SN 13901,0.422,FALSE,2006-09-17,,2006-09-17,2007-10-31
PS1-11zw,PS1-11zw,0.423,TRUE,2011-05-27,,2011-05-27,2007-11-01
SDSS-II SN 14561,SDSS-II SN 14561,0.424,TRUE,2006-09-27,,2006-09-27,2007-10-19
SDSS-II SN 19336,SDSS-II SN 19336,0.427,TRUE,2007-09-30,,2007-09-30,2007-11-12
SDSS-II SN 20267,SDSS-II SN 20267,0.428,FALSE,2007-10-31,,2007-10-31,2007-10-20
PSc120111,zCOSMOS 838255,0.4284,FALSE,2010-12-30,,2010-12-30,2007-09-14
SDSS-II SN 15549,SDSS-II SN 15549,0.429,TRUE,2006-10-11,,2006-10-11,2007-10-14
SDSS-II SN 18722,SDSS-II SN 18722,0.429,TRUE,2007-09-15,,2007-09-15,2007-11-04
SDSS-II SN 6833,SDSS-II SN 06833,0.43,TRUE,2005-10-21,,2005-10-21,2007-11-04
SNLS-04D2gb,WISEA J100222.73+015338.7,0.43,FALSE,2004-04-20,,2004-04-20,2007-09-19
PSc080723,PS1-10ahk,0.431,FALSE,2010-09-29,,2010-09-29,2007-11-12
SNLS-04D1rh,VVDS 020338791,0.4349,FALSE,2004-12-13,,2004-12-13,2005-09-03
PS1-10j,PS1-10j,0.436,FALSE,2010-01-16,,2010-01-16,2007-11-02
SDSS-II SN 14034,SDSS-II SN 14034,0.437,FALSE,2006-09-18,,2006-09-18,2007-11-12
SDSS-II SN 9677,SDSS-II SN 09677,0.437,TRUE,2005-10-01,,2005-10-01,2007-10-23
SDSS-II SN 12213,SDSS-II SN 12213,0.438,TRUE,2005-11-07,,2005-11-07,2005-09-03
SDSS-II SN 15725,SDSS-II SN 15725,0.44,TRUE,2006-10-17,,2006-10-17,2005-09-03
SDSS-II SN 4129,SDSS-II SN 04129,0.441,TRUE,2005-09-25,,2005-09-25,2005-09-03
SDSS-II SN 15108,SDSS-II SN 15108,0.442,FALSE,2006-09-11,,2006-09-11,2005-09-14
SDSS-II SN 19494,SDSS-II SN 19494,0.442,TRUE,2007-10-08,,2007-10-08,2005-09-14
PSc000200,WISEA J100231.49+024203.8,0.4439,FALSE,2010-01-08,,2010-01-08,2005-09-09
SDSS-II SN 9632,SDSS-II SN 09632,0.444,TRUE,2005-10-30,,2005-10-30,2005-09-09
SDSS-II SN 18312,SDSS-II SN 18312,0.445,TRUE,2007-09-15,,2007-09-15,2005-09-13
HST04Sas,S-CANDELS J123654.11+620821.7,0.44643,FALSE,2004-05-23,,2004-05-23,2005-09-09
SDSS-II SN 10066,SDSS-II SN 10066,0.447,FALSE,2005-11-03,,2005-11-03,2005-09-13
PSc070054,WISEA J161145.16+551757.6,0.447541,FALSE,2010-08-03,,2010-08-03,2005-09-03
SDSS-II SN 3402,SDSS-II SN 03402,0.448,TRUE,2005-09-12,,2005-09-12,2005-09-03
SDSS-II SN 19132,SDSS-II SN 19132,0.45,TRUE,2007-09-19,,2007-09-19,2005-09-03
SNLS-04D3gt,WISEA J142232.56+523849.2,0.451,FALSE,2004-05-22,,2004-05-22,2005-09-21
SDSS-II SN 1403,SDSS-II SN 01403,0.452,TRUE,2005-09-09,,2005-09-09,2005-09-09
SDSS-II SN 18188,SDSS-II SN 18188,0.452,TRUE,2007-09-14,,2007-09-14,2005-09-09
SDSS-II SN 13833,SDSS-II SN 13833,0.454,TRUE,2006-09-11,,2006-09-11,2005-09-13
SDSS-II SN 5178,SDSS-II SN 05178,0.455,TRUE,2005-09-15,,2005-09-15,2005-09-13
SDSS-II SN 11370,SDSS-II SN 11370,0.4559,FALSE,2005-11-02,,2005-11-02,2005-09-22
SDSS-II SN 13942,SDSS-II SN 13942,0.46,TRUE,2006-09-11,,2006-09-11,2005-09-15
SDSS-II SN 19764,SDSS-II SN 19764,0.461,TRUE,2007-10-08,,2007-10-08,2005-09-21
SDSS-II SN 21060,SDSS-II SN 21060,0.462,FALSE,2007-11-02,,2007-11-02,2005-10-11
SDSS-II SN 13479,SDSS-II SN 13479,0.465,TRUE,2006-09-16,,2006-09-16,2005-09-13
