Name,Band,Background,Background Error,Systematic Error
PSc000552,FUV,4.475543476127355e-18,7.673489843464203e-17,1.9249797705432087e-18
PSc000552,NUV,-1.6246476373241525e-17,8.024499508048177e-17,3.5726277656308425e-18
PSc010218,NUV,1.0371195728248511e-17,2.9128191925333776e-18,3.7164318774269993e-19
PSc020104,NUV,3.215591959280374e-17,6.386351338440262e-18,3.7238769391025033e-19
PSc040139,NUV,4.477868952310906e-17,6.193387810029725e-17,1.8371010239915808e-18
PSc040318,NUV,2.0548616643788827e-17,3.3505189474878953e-18,2.990643432567585e-19
PSc040783,NUV,3.1731792319936247e-17,3.7504178308112007e-17,3.2930158007813443e-18
PSc050617,NUV,5.008893764193322e-17,3.968306292706531e-18,3.5062256349353255e-18
PSc060242,NUV,1.1172222895196524e-16,2.371814905770406e-17,2.499494968882062e-18
PSc061191,NUV,4.1611721638734326e-17,5.552216727480795e-17,2.3057483539578665e-18
PSc061197,NUV,2.547870638318116e-17,3.132552230510445e-17,1.2693057079589884e-18
PSc070003,NUV,9.975843406879525e-17,4.272130183938302e-17,3.5947545484234434e-18
PSc070054,NUV,1.2256053382837408e-18,3.74299599562519e-17,3.9836646562495526e-18
PSc070470,NUV,7.776091509635297e-18,2.7403854106090982e-17,2.1545740121992713e-18
PSc070530,NUV,9.165228882668025e-18,2.8425631396717064e-17,2.9057284226890496e-18
PSc070567,NUV,2.2448635325909245e-17,2.9492333225255363e-17,6.176028132664542e-18
PSc071032,NUV,3.1959668345765254e-18,4.935579374651682e-17,1.9282516828978398e-18
PSc080064,NUV,1.3067018194841394e-16,1.0829203231339293e-16,1.1256655114040407e-17
PSc080438,FUV,5.28011066757698e-17,1.259851847125122e-16,4.398907840843151e-18
PSc080438,NUV,6.008149752090403e-17,6.126954778888476e-17,8.610111556887673e-19
PSc080723,NUV,1.0027390390106918e-17,2.0704522539488594e-17,1.8293630298101238e-18
PSc090107,NUV,1.5781397751507218e-17,2.798896424854665e-17,2.0566199539353547e-18
PSc090275,NUV,3.75120830849811e-17,3.884000094799817e-17,3.4624981041969042e-18
