Anon 162130.4+380856,FUV
Anon 162130.4+380856,NUV
B0509-67.5,NUV
B0548-704,NUV
DEM L71,NUV
EQ J142347.6+240433.3,NUV
Gabe,FUV
Gabe,NUV
HFF14Tom,NUV
KSN 2011c,NUV
KSN 2012a,FUV
KSN 2012a,NUV
MCSNR J0511-6759,NUV
MENeaCS Abell85-6-08-0,FUV
MENeaCS Abell85-6-08-0,NUV
PS1-10aac,FUV
PS1-10acd,FUV
PS1-10acd,NUV
PS1-10act,FUV
PS1-10act,NUV
PS1-10afi,FUV
PS1-10afi,NUV
PS1-10afq,FUV
PS1-10afq,NUV
PS1-10axb,FUV
PS1-10axb,NUV
PS1-10ayl,FUV
PS1-10ayl,NUV
PS1-10ayn,FUV
PS1-10ayn,NUV
PS1-10bkm,FUV
PS1-10bkm,NUV
PS1-10bku,FUV
PS1-10bku,NUV
PS1-10bmj,FUV
PS1-10bmj,NUV
PS1-10cbs,FUV
PS1-10cbs,NUV
PS1-10jx,FUV
PS1-10jx,NUV
PS1-10lh,FUV
PS1-10lh,NUV
PS1-10ls,FUV
PS1-10ls,NUV
PS1-10mi,FUV
PS1-10mi,NUV
PS1-10nf,FUV
PS1-10nf,NUV
PS1-10np,FUV
PS1-10np,NUV
PS1-10qu,NUV
PS1-10qv,FUV
PS1-10qv,NUV
PS1-10tb,FUV
PS1-10tb,NUV
PS1-10tk,FUV
PS1-10tk,NUV
PS1-10wb,NUV
PS1-10wn,FUV
PS1-10wn,NUV
PS1-10xc,FUV
PS1-10xc,NUV
PS1-10xe,FUV
PS1-10xe,NUV
PS1-10zz,FUV
PS1-10zz,NUV
PS1-11ac,FUV
PS1-11ac,NUV
PS1-11aei,FUV
PS1-11aei,NUV
PS1-11bp,FUV
PS1-11bp,NUV
PS1-11cq,FUV
PS1-11cq,NUV
PS1-11gs,FUV
PS1-11gs,NUV
PS1-11jl,FUV
PS1-11jl,NUV
PS1-11ma,FUV
PS1-11ma,NUV
PS1-11nb,FUV
PS1-11nb,NUV
PS1-11oh,FUV
PS1-11oh,NUV
PS1-11pe,FUV
PS1-11pe,NUV
PS1-11r,FUV
PS1-11r,NUV
PS1-11tc,FUV
PS1-11tc,NUV
PS1-12di,FUV
PS1-12di,NUV
PS1-12zl,FUV
PS1-12zl,NUV
PS1-12zo,FUV
PS1-12zo,NUV
PSN J13075109-0052004,FUV
PSN J13075109-0052004,NUV
PSN J20435357+1230517,NUV
ROTSE3 J114340.4+485056.4,FUV
ROTSE3 J114340.4+485056.4,NUV
SCP-06K18,FUV
SCP-06K18,NUV
SDSS-II SN 10037,FUV
SDSS-II SN 10037,NUV
SDSS-II SN 10045,FUV
SDSS-II SN 10045,NUV
SDSS-II SN 10448,FUV
SDSS-II SN 10448,NUV
SDSS-II SN 11141,FUV
SDSS-II SN 11141,NUV
SDSS-II SN 11501,FUV
SDSS-II SN 11501,NUV
SDSS-II SN 11730,FUV
SDSS-II SN 11730,NUV
SDSS-II SN 11732,FUV
SDSS-II SN 11732,NUV
SDSS-II SN 1243,FUV
SDSS-II SN 1243,NUV
SDSS-II SN 13071,FUV
SDSS-II SN 13071,NUV
SDSS-II SN 1354,FUV
SDSS-II SN 1354,NUV
SDSS-II SN 13545,FUV
SDSS-II SN 13545,NUV
SDSS-II SN 13593,FUV
SDSS-II SN 13593,NUV
SDSS-II SN 13597,FUV
SDSS-II SN 13597,NUV
SDSS-II SN 13662,FUV
SDSS-II SN 13662,NUV
SDSS-II SN 1390,FUV
SDSS-II SN 1390,NUV
SDSS-II SN 13940,FUV
SDSS-II SN 13940,NUV
SDSS-II SN 13952,FUV
SDSS-II SN 13952,NUV
SDSS-II SN 14050,FUV
SDSS-II SN 14050,NUV
SDSS-II SN 14186,NUV
SDSS-II SN 14340,FUV
SDSS-II SN 14340,NUV
SDSS-II SN 14342,FUV
SDSS-II SN 14342,NUV
SDSS-II SN 14398,FUV
SDSS-II SN 14398,NUV
SDSS-II SN 1442,FUV
SDSS-II SN 1442,NUV
SDSS-II SN 14536,FUV
SDSS-II SN 14536,NUV
SDSS-II SN 14548,FUV
SDSS-II SN 14548,NUV
SDSS-II SN 14568,FUV
SDSS-II SN 14568,NUV
SDSS-II SN 1464,FUV
SDSS-II SN 1464,NUV
SDSS-II SN 14683,FUV
