Name,Band,Max Sigma,Background,Background Error,Systematic Error,Images,First Detection
ESSENCEn263,NUV,11.909359029182184,7.947233653502241e-17,6.677205755936518e-18,6.417830868745416e-18,"2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,21,22,27,28,29,30,31,32,33,34,35,36,38,39",1042.7125459822935
SDSS-II SN 16199,NUV,3.6220521836592376,-1.1862304917557065e-19,6.09475736688941e-18,6.034188923133784e-18,"5,7,22,27,34,42",225.69104611835326
SDSS-II SN 19778,FUV,8.75965737738262,3.3199774760864766e-17,4.6216803314166845e-18,4.617273028345669e-18,"2,3,4,5,6,8",225.5496978572841
SDSS-II SN 19778,NUV,11.688938658837111,3.723951027775163e-17,6.305945651969762e-18,6.124870798700269e-18,"2,3,4,5,7,8,9,11,12",225.54961705378523
SDSS-II SN 779,FUV,6.044588294425413,2.260983074203446e-18,4.218104423711459e-18,9.462953007418389e-19,2,913.6418576115371
SN2007on,NUV,84.28122303021367,4.7436483455126706e-18,8.228129103094298e-18,5.0693391601775126e-18,"38,39,40",12.306524988685759
SN2008hv,NUV,5.422925163288408,4.285509020490357e-18,6.453022375012508e-18,5.185966484973979e-18,"5,7",38.83893069211544
SN2009gf,NUV,7.1977518744100175,5.260816268829031e-18,1.1245537944916662e-17,5.226304194697228e-18,2,0.5574395263400339
SN2010ai,NUV,13.551378481449934,4.376940535642272e-18,4.13776081420444e-18,9.523406251405233e-19,"38,39,41,42,45,46",19.315470612054824
