Name,Host Name,NED Object,Redshift,Search
Adrian,1WGA J2235.3-2557,1WGA J2235.3-2557,1.393,Host
Aki,CXO J221601.1-173722,WISEA J221601.17-173722.3,1.192,Host
CSS091127:094447+083137,,SDSS J094448.19+083154.3,--,Location
CSS100912:223118+010516,,SDSS J223118.20+010519.2,--,Location
Caleb,[EBG2008] ser J143228.7+333210,SCP 06F12 HOST,1.11,Host
Cayanne,,SN HST04Cay,--,Location
ESSENCEf123,,ESSENCE f123,0.5261,Name
ESSENCEg097,,WISEA J232737.12-093520.8,0.343,Location
ESSENCEg142,,ESSENCE g142 HOST,0.404,Location
ESSENCEg225,,GALEXMSC J232715.79-092800.6,--,Location
ESSENCEg230,,ESSENCE g230 HOST,0.392,Location
ESSENCEg240,,ESSENCE g240 HOST,--,Location
ESSENCEh300,,ESSENCE h300 HOST,--,Location
ESSENCEk411,,ESSENCE k411 HOST,--,Location
ESSENCEk467,,WISEA J023111.60-074732.2,--,Location
ESSENCEk490,,ESSENCE k490 HOST,0.715,Location
ESSENCEm022,,ESSENCE m022 HOST,--,Location
ESSENCEm026,,ESSENCE m026 HOST,0.655,Location
ESSENCEm027,,ESSENCE m027 HOST,0.289,Location
ESSENCEm032,,ESSENCE m032 HOST,--,Location
ESSENCEm034,,GALEXMSC J022750.14-075910.5,0.557,Location
ESSENCEm039,SDSS J022804.62-074244.1,WISEA J022804.61-074244.0,0.248,Host
ESSENCEm057,,ESSENCE m057 HOST,0.18,Location
ESSENCEm070,,WISEA J023345.77-080825.5,--,Location
ESSENCEm075,,WISEA J232442.30-082908.6,--,Location
ESSENCEm138,,GALEXASC J010856.24+003923.7,0.587,Location
ESSENCEm193,,WISEA J022852.28-074209.6,0.33,Location
ESSENCEm226,,ESSENCE m226 HOST,0.675,Location
ESSENCEn246,,ESSENCE n246 HOST,0.706,Location
ESSENCEn256,,ESSENCE n256 HOST,--,Location
ESSENCEn258,,WISEA J020642.25-042237.6,--,Location
ESSENCEn263,,GALEXASC J020514.76-045640.1,--,Location
ESSENCEn278,,ESSENCE n278 HOST,0.304,Location
ESSENCEn285,,WISEA J232351.27-082320.5,--,Location
ESSENCEn322,,WISEA J022900.50-090254.2,--,Location
ESSENCEn404,SDSS J023131.56-085510.7,WISEA J023131.58-085511.0,--,Location
ESSENCEn406,,ESSENCE n406 HOST,--,Location
ESSENCEp434,,ESSENCE p434 HOST,0.339,Location
ESSENCEp445,,ESSENCE p445,0.8069,Name
ESSENCEp454,,ESSENCE p454 HOST,--,Location
ESSENCEp455,,ESSENCE p455 HOST,0.298,Location
ESSENCEp459,,ESSENCE p459,0.702,Name
ESSENCEp520,,ESSENCE p520 HOST,--,Location
ESSENCEp524,,ESSENCE p524 HOST,--,Location
ESSENCEp527,,WISEA J020810.39-033217.4,0.435,Location
ESSENCEp528,,ESSENCE p528 HOST,0.781,Location
ESSENCEp534,,ESSENCE p534 HOST,0.619,Location
ESSENCEq002,,ESSENCE q002,0.3469,Name
ESSENCEq006,,ESSENCE q006,0.29,Name
ESSENCEq018,,SDSS J023138.34-081817.3,--,Location
ESSENCEq021,,ESSENCE q021,0.36,Name
ESSENCEs354,,ESSENCE s354,0.5588,Name
ESSENCEs380,,ESSENCE s380,0.6355,Name
ESSENCEx039,,ESSENCE x039,0.771,Name
ESSENCEx093,,SDSS J022943.58-090652.3,--,Location
Eagle,GOODS J123720.85+621340.7,Eagle Galaxy,0.768512,Name
Emma,FLX J143430.10+342657.0,FLX J143430.10+342657.0,1.23,Host
Frida,[ADP2008] J022142.04-032154.1,SCP 05D00 HOST,1.0132,Host
Gabi,[RSC2007] J123613.83+621207.56,S-CANDELS J123613.82+621207.1,1.12,Host
HST04Man,GOODS J123634.92+621549.1,ACS-GC 50013390,0.85454,Host
HST04Sas,GOODS J123654.15+620821.8,S-CANDELS J123654.11+620821.7,0.44643,Host
HST05Dic,,SN HST05Dic,--,Location
HST05Fer,[RSC2007] J123625.10+621523.84,[RSC2007] J123625.10+621523.84,1.02,Host
HST05Koe,[RSC2007] J123622.92+621823.20,MIPS J123622.9+621822.7,1.23,Host
HST05Lan,GOODS J123656.59+621253.1,S-CANDELS J123656.72+621252.5,1.23407,Host
Hawk,GOODS J123540.97+621136.5,ACS-GC 50015503,0.49673,Host
K0509-001,SDSS J12616.25-003314.1,WISEA J212616.26-003314.1,0.2136,Location
Lauren,,GALEXMSC J033744.44-284353.6,0.821,Location
McGuire,COMBO-17 29383,CANDELS J033209.89-274951.4,1.37,Host
Noa,[SRG2009] 20014,[SRG2009] 20014,0.969,Host
PS0909010,,SN 2009kt,--,Location
PS1-1000004,,PS1-10d,0.231,Location
PS1-1000005,,PS1-10e,0.245,Location
PS1-1000007,,PS1-10g,0.137,Location
PS1-1000008,,PS1-10h,0.25,Location
PS1-1000009,,PS1-10i,0.15,Location
PS1-1000790,,SDSS J213328.65+102038.1,--,Location
PS1-10acx,,PS1-10acx,0.35,Name
