File,Disc. Date,R.A.,Dec.,Category,Total Epochs,Epochs Pre-SN,Epochs Post-SN
PSc150210-NUV.fits.gz,2011-03-31,9h58m16.059s,2d30m57.57s,pre_post_disc,163,162,1
PSc150212-FUV.fits.gz,2011-04-02,12h14m56.043s,47d38m17.02s,pre_disc,9,9,0
PSc150212-NUV.fits.gz,2011-04-02,12h14m56.043s,47d38m17.02s,pre_disc,9,9,0
PSc150217-FUV.fits.gz,2011-04-11,10h51m30.646s,56d51m37.87s,pre_disc,42,42,0
PSc150217-NUV.fits.gz,2011-04-11,10h51m30.646s,56d51m37.87s,pre_disc,81,81,0
PSc150221-NUV.fits.gz,2011-04-13,14h12m02.497s,52d19m29.66s,pre_disc,20,20,0
PSc150226-FUV.fits.gz,2010-02-12,10h50m15.133s,57d22m15.11s,pre_disc,17,17,0
PSc150226-NUV.fits.gz,2010-02-12,10h50m15.133s,57d22m15.11s,pre_disc,28,28,0
PSc150234-NUV.fits.gz,2009-06-17,14h11m04.974s,52d36m19.61s,pre_post_disc,20,4,16
PSc150285-FUV.fits.gz,2011-03-30,14h07m54.674s,54d12m10.43s,pre_disc,2,2,0
PSc150285-NUV.fits.gz,2011-03-30,14h07m54.674s,54d12m10.43s,pre_disc,11,11,0
PSc150314-FUV.fits.gz,2011-04-21,10h49m28.081s,56d39m02.15s,pre_disc,17,17,0
PSc150314-NUV.fits.gz,2011-04-21,10h49m28.081s,56d39m02.15s,pre_disc,17,17,0
PSc150365-FUV.fits.gz,2011-04-21,16h10m03.587s,53d49m02.98s,pre_disc,15,15,0
PSc150365-NUV.fits.gz,2011-04-21,16h10m03.587s,53d49m02.98s,pre_post_disc,46,38,8
PSc150379-FUV.fits.gz,2011-04-21,16h04m10.001s,53d58m23.75s,pre_disc,21,21,0
PSc150379-NUV.fits.gz,2011-04-21,16h04m10.001s,53d58m23.75s,pre_post_disc,59,51,8
PSc150500-FUV.fits.gz,2011-04-23,12h25m41.401s,46d40m51.75s,pre_disc,3,3,0
PSc150500-NUV.fits.gz,2011-04-23,12h25m41.401s,46d40m51.75s,pre_disc,4,4,0
PSc150515-FUV.fits.gz,2011-04-21,16h04m37.768s,55d16m08.12s,pre_disc,13,13,0
PSc150515-NUV.fits.gz,2011-04-21,16h04m37.768s,55d16m08.12s,pre_post_disc,46,38,8
PSc150570-FUV.fits.gz,2011-04-21,14h13m43.813s,53d41m29.87s,pre_disc,4,4,0
PSc150570-NUV.fits.gz,2011-04-21,14h13m43.813s,53d41m29.87s,pre_disc,19,19,0
PSc150573-FUV.fits.gz,2011-04-21,14h18m56.121s,53d43m54.27s,pre_disc,4,4,0
PSc150573-NUV.fits.gz,2011-04-21,14h18m56.121s,53d43m54.27s,pre_disc,18,18,0
PSc150604-FUV.fits.gz,2011-04-21,10h44m27.019s,58d35m25.33s,pre_disc,12,12,0
PSc150604-NUV.fits.gz,2011-04-21,10h44m27.019s,58d35m25.33s,pre_disc,26,26,0
PSc150652-FUV.fits.gz,2011-03-31,12h24m34.935s,48d10m12.43s,pre_disc,10,10,0
PSc150652-NUV.fits.gz,2011-03-31,12h24m34.935s,48d10m12.43s,pre_disc,11,11,0
PSc150682-FUV.fits.gz,2011-04-21,12h21m53.049s,46d30m45.55s,pre_disc,9,9,0
PSc150682-NUV.fits.gz,2011-04-21,12h21m53.049s,46d30m45.55s,pre_disc,10,10,0
PSc150709-FUV.fits.gz,2011-04-21,10h50m13.385s,57d04m15.09s,pre_disc,42,42,0
PSc150709-NUV.fits.gz,2011-04-21,10h50m13.385s,57d04m15.09s,pre_disc,81,81,0
PSc150740-FUV.fits.gz,2011-04-23,12h24m28.583s,47d36m59.01s,pre_disc,12,12,0
PSc150740-NUV.fits.gz,2011-04-23,12h24m28.583s,47d36m59.01s,pre_disc,13,13,0
PSc151005-NUV.fits.gz,2010-02-25,14h09m15.562s,52d23m01.74s,pre_post_disc,20,8,12
PSc151033-FUV.fits.gz,2011-04-27,12h23m42.235s,46d36m20.36s,pre_disc,10,10,0
PSc151033-NUV.fits.gz,2011-04-27,12h23m42.235s,46d36m20.36s,pre_disc,11,11,0
PSc151121-FUV.fits.gz,2011-04-13,14h13m37.644s,54d16m54.01s,pre_disc,4,4,0
PSc151121-NUV.fits.gz,2011-04-13,14h13m37.644s,54d16m54.01s,pre_disc,18,18,0
PSc151794-FUV.fits.gz,2011-04-26,10h47m09.936s,57d25m58.25s,pre_disc,26,26,0
PSc151794-NUV.fits.gz,2011-04-26,10h47m09.936s,57d25m58.25s,pre_disc,39,39,0
PSc160016-FUV.fits.gz,2011-05-11,12h23m08.337s,45d52m43.62s,single,1,1,0
PSc160016-NUV.fits.gz,2011-05-11,12h23m08.337s,45d52m43.62s,single,1,1,0
PSc160020-FUV.fits.gz,2011-05-01,10h44m16.477s,57d28m26.26s,pre_disc,4,4,0
PSc160020-NUV.fits.gz,2011-05-01,10h44m16.477s,57d28m26.26s,pre_disc,12,12,0
PSc160021-FUV.fits.gz,2011-05-11,12h27m36.925s,46d41m08.87s,pre_disc,3,3,0
PSc160021-NUV.fits.gz,2011-05-11,12h27m36.925s,46d41m08.87s,pre_disc,4,4,0
PSc160023-FUV.fits.gz,2011-05-11,10h42m42.047s,58d22m38.5s,pre_disc,11,11,0
PSc160023-NUV.fits.gz,2011-05-11,10h42m42.047s,58d22m38.5s,pre_disc,25,25,0
PSc160028-FUV.fits.gz,2011-05-12,16h13m23.246s,53d58m16.75s,pre_disc,23,23,0
PSc160028-NUV.fits.gz,2011-05-12,16h13m23.246s,53d58m16.75s,pre_post_disc,72,66,6
PSc160051-FUV.fits.gz,2011-05-11,12h25m40.166s,46d11m17.62s,pre_disc,3,3,0
PSc160051-NUV.fits.gz,2011-05-11,12h25m40.166s,46d11m17.62s,pre_disc,4,4,0
PSc160054-FUV.fits.gz,2011-05-11,12h25m25.032s,46d25m33.91s,pre_disc,3,3,0
PSc160054-NUV.fits.gz,2011-05-11,12h25m25.032s,46d25m33.91s,pre_disc,4,4,0
PSc160068-FUV.fits.gz,2011-05-11,12h21m36.237s,46d44m08.93s,pre_disc,9,9,0
PSc160068-NUV.fits.gz,2011-05-11,12h21m36.237s,46d44m08.93s,pre_disc,10,10,0
PSc160082-FUV.fits.gz,2011-05-11,12h15m52.076s,47d46m04.42s,pre_disc,9,9,0
PSc160082-NUV.fits.gz,2011-05-11,12h15m52.076s,47d46m04.42s,pre_disc,10,10,0
PSc160106-FUV.fits.gz,2011-05-20,16h15m48.396s,56d17m41.04s,pre_disc,9,9,0
PSc160106-NUV.fits.gz,2011-05-20,16h15m48.396s,56d17m41.04s,pre_disc,22,22,0
PSc160156-NUV.fits.gz,2011-05-24,14h13m44.001s,52d53m53.38s,pre_disc,20,20,0
PSc160183-FUV.fits.gz,2010-03-09,12h14m36.859s,47d34m37.44s,pre_disc,9,9,0
PSc160183-NUV.fits.gz,2010-03-09,12h14m36.859s,47d34m37.44s,pre_disc,9,9,0
PSc160195-FUV.fits.gz,2011-05-27,16h10m40.306s,53d39m26.32s,pre_disc,13,13,0
PSc160195-NUV.fits.gz,2011-05-27,16h10m40.306s,53d39m26.32s,pre_post_disc,41,39,2
PSc160206-NUV.fits.gz,2011-05-24,14h08m09.249s,53d13m48.06s,pre_disc,18,18,0
PSc160222-FUV.fits.gz,2011-05-29,12h17m01.165s,47d01m48.46s,pre_disc,9,9,0
PSc160222-NUV.fits.gz,2011-05-29,12h17m01.165s,47d01m48.46s,pre_disc,11,11,0
PSc160223-FUV.fits.gz,2011-05-20,12h18m53.372s,47d01m44.54s,pre_disc,9,9,0
PSc160223-NUV.fits.gz,2011-05-20,12h18m53.372s,47d01m44.54s,pre_disc,11,11,0
PSc160285-FUV.fits.gz,2011-05-29,12h19m26.457s,46d24m50.06s,pre_disc,9,9,0
PSc160285-NUV.fits.gz,2011-05-29,12h19m26.457s,46d24m50.06s,pre_disc,10,10,0
PSc160300-FUV.fits.gz,2011-05-29,12h25m39.978s,47d22m30.82s,pre_disc,11,11,0
PSc160300-NUV.fits.gz,2011-05-29,12h25m39.978s,47d22m30.82s,pre_disc,12,12,0
PSc170078-FUV.fits.gz,2011-06-02,12h24m43.96s,47d40m05.32s,pre_disc,13,13,0
PSc170078-NUV.fits.gz,2011-06-02,12h24m43.96s,47d40m05.32s,pre_disc,14,14,0
PSc170118-FUV.fits.gz,2011-05-30,12h14m52.54s,46d51m22.02s,pre_disc,8,8,0
PSc170118-NUV.fits.gz,2011-05-30,12h14m52.54s,46d51m22.02s,pre_disc,8,8,0
PSc170254-FUV.fits.gz,2011-05-30,16h08m54.049s,53d51m22.45s,pre_disc,14,14,0
PSc170254-NUV.fits.gz,2011-05-30,16h08m54.049s,53d51m22.45s,pre_post_disc,43,41,2
PSc170275-NUV.fits.gz,2011-06-11,14h09m12.807s,52d42m42.54s,pre_disc,20,20,0
PSc170276-NUV.fits.gz,2011-05-30,14h09m23.277s,52d41m33.39s,pre_disc,20,20,0
PSc170285-FUV.fits.gz,2011-05-30,16h16m09.313s,54d08m30.04s,pre_disc,20,20,0
PSc170285-NUV.fits.gz,2011-05-30,16h16m09.313s,54d08m30.04s,pre_post_disc,62,60,2
PSc170400-NUV.fits.gz,2011-06-07,14h10m57.903s,54d15m47.97s,single,1,1,0
PSc170428-FUV.fits.gz,2011-06-28,16h14m28.433s,54d00m10.88s,pre_disc,20,20,0
PSc170428-NUV.fits.gz,2011-06-28,16h14m28.433s,54d00m10.88s,pre_disc,62,62,0
PSc170520-FUV.fits.gz,2011-06-24,16h17m06.398s,55d20m48.98s,pre_disc,13,13,0
PSc170520-NUV.fits.gz,2011-06-24,16h17m06.398s,55d20m48.98s,pre_disc,44,44,0
PSc170539-FUV.fits.gz,2011-06-26,22h17m54.529s,1d22m41.5s,single,1,1,0
PSc170539-NUV.fits.gz,2011-06-26,22h17m54.529s,1d22m41.5s,pre_post_disc,4,3,1
PSc170558-NUV.fits.gz,2011-06-26,22h18m45.773s,1d21m55.85s,pre_post_disc,3,2,1
PSc180025-FUV.fits.gz,2011-06-26,14h13m09.496s,53d27m46.87s,pre_disc,4,4,0
PSc180025-NUV.fits.gz,2011-06-26,14h13m09.496s,53d27m46.87s,pre_disc,18,18,0
PSc180127-FUV.fits.gz,2011-07-02,14h09m06.141s,53d38m25.88s,pre_disc,4,4,0
PSc180127-NUV.fits.gz,2011-07-02,14h09m06.141s,53d38m25.88s,pre_disc,18,18,0
PSc180214-FUV.fits.gz,2011-07-05,16h19m48.357s,54d12m30.35s,pre_disc,8,8,0
PSc180214-NUV.fits.gz,2011-07-05,16h19m48.357s,54d12m30.35s,pre_disc,20,20,0
PSc180255-FUV.fits.gz,2011-07-01,22h14m56.395s,0d32m39.24s,pre_disc,12,12,0
PSc180255-NUV.fits.gz,2011-07-01,22h14m56.395s,0d32m39.24s,pre_post_disc,49,48,1
PSc180313-FUV.fits.gz,2011-07-20,16h17m16.52s,55d22m45.97s,pre_disc,13,13,0
PSc180313-NUV.fits.gz,2011-07-20,16h17m16.52s,55d22m45.97s,pre_disc,44,44,0
PSc180329-FUV.fits.gz,2011-07-12,22h17m20.245s,1d15m31.9s,pre_disc,5,5,0
PSc180329-NUV.fits.gz,2011-07-12,22h17m20.245s,1d15m31.9s,pre_post_disc,10,9,1
PSc180344-FUV.fits.gz,2011-07-22,22h17m36.545s,-0d57m57.86s,pre_disc,3,3,0
PSc180344-NUV.fits.gz,2011-07-22,22h17m36.545s,-0d57m57.86s,pre_disc,29,29,0
PSc180426-FUV.fits.gz,2011-07-19,16h20m47.302s,54d56m19.53s,pre_disc,11,11,0
PSc180426-NUV.fits.gz,2011-07-19,16h20m47.302s,54d56m19.53s,pre_disc,40,40,0
PSc180475-FUV.fits.gz,2011-07-25,16h16m00.248s,54d06m03.71s,pre_disc,20,20,0
PSc180475-NUV.fits.gz,2011-07-25,16h16m00.248s,54d06m03.71s,pre_disc,62,62,0
PSc190001-FUV.fits.gz,2011-07-28,16h08m02.168s,53d48m38.18s,pre_disc,14,14,0
PSc190001-NUV.fits.gz,2011-07-28,16h08m02.168s,53d48m38.18s,pre_disc,43,43,0
PSc190062-FUV.fits.gz,2011-07-31,22h15m25.461s,0d40m47.77s,pre_disc,24,24,0
PSc190062-NUV.fits.gz,2011-07-31,22h15m25.461s,0d40m47.77s,pre_post_disc,72,70,2
PSc190074-FUV.fits.gz,2011-07-28,16h05m37.329s,55d48m20.54s,pre_disc,19,19,0
PSc190074-NUV.fits.gz,2011-07-28,16h05m37.329s,55d48m20.54s,pre_disc,51,51,0
PSc190142-FUV.fits.gz,2011-07-28,22h19m11.585s,0d26m05.9s,pre_disc,90,90,0
PSc190142-NUV.fits.gz,2011-07-28,22h19m11.585s,0d26m05.9s,pre_disc,161,161,0
PSc190151-FUV.fits.gz,2011-08-03,16h11m54.752s,55d18m56.35s,pre_disc,31,31,0
PSc190151-NUV.fits.gz,2011-08-03,16h11m54.752s,55d18m56.35s,pre_disc,45,45,0
PSc190230-FUV.fits.gz,2011-08-18,22h15m44.873s,0d25m21.14s,pre_disc,84,84,0
PSc190230-NUV.fits.gz,2011-08-18,22h15m44.873s,0d25m21.14s,pre_post_disc,154,153,1
PSc190233-FUV.fits.gz,2011-08-01,16h10m34.655s,55d18m49.24s,pre_disc,34,34,0
PSc190233-NUV.fits.gz,2011-08-01,16h10m34.655s,55d18m49.24s,pre_disc,63,63,0
PSc190260-FUV.fits.gz,2011-08-22,22h15m52.038s,-0d49m30.57s,pre_disc,7,7,0
PSc190260-NUV.fits.gz,2011-08-22,22h15m52.038s,-0d49m30.57s,pre_disc,43,43,0
PSc190269-FUV.fits.gz,2011-08-19,22h20m04.279s,-0d14m15s,pre_disc,5,5,0
PSc190269-NUV.fits.gz,2011-08-19,22h20m04.279s,-0d14m15s,pre_post_disc,38,37,1
PSc190297-FUV.fits.gz,2011-08-19,22h15m10.344s,1d03m29.68s,pre_disc,11,11,0
PSc190297-NUV.fits.gz,2011-08-19,22h15m10.344s,1d03m29.68s,pre_disc,47,47,0
PSc200026-FUV.fits.gz,2011-08-30,22h16m00.486s,0d23m34.42s,pre_disc,92,92,0
PSc200026-NUV.fits.gz,2011-08-30,22h16m00.486s,0d23m34.42s,pre_disc,167,167,0
PSc200050-FUV.fits.gz,2011-08-28,22h14m49.551s,-0d50m09.35s,pre_disc,11,11,0
PSc200050-NUV.fits.gz,2011-08-28,22h14m49.551s,-0d50m09.35s,pre_disc,47,47,0
PSc200058-FUV.fits.gz,2011-09-06,22h17m58.874s,-0d26m28.32s,pre_disc,5,5,0
PSc200058-NUV.fits.gz,2011-09-06,22h17m58.874s,-0d26m28.32s,pre_post_disc,40,39,1
PSc200101-NUV.fits.gz,2011-09-15,22h20m59.029s,-0d06m34.45s,single,1,0,1
PSc200105-FUV.fits.gz,2011-09-17,22h16m02.841s,0d48m58.98s,pre_disc,96,96,0
PSc200105-NUV.fits.gz,2011-09-17,22h16m02.841s,0d48m58.98s,pre_disc,173,173,0
PSc200106-FUV.fits.gz,2011-09-15,22h15m07.93s,1d04m06.65s,pre_disc,11,11,0
PSc200106-NUV.fits.gz,2011-09-15,22h15m07.93s,1d04m06.65s,pre_disc,47,47,0
PSc200108-FUV.fits.gz,2011-09-15,22h16m38.346s,1d01m34.34s,pre_disc,96,96,0
PSc200108-NUV.fits.gz,2011-09-15,22h16m38.346s,1d01m34.34s,pre_disc,173,173,0
PSc200118-FUV.fits.gz,2011-09-18,22h14m20.837s,0d56m25.59s,pre_disc,10,10,0
PSc200118-NUV.fits.gz,2011-09-18,22h14m20.837s,0d56m25.59s,pre_disc,46,46,0
PSc200132-NUV.fits.gz,2011-09-19,22h17m58.556s,-0d41m48.81s,pre_post_disc,5,4,1
PSc210027-FUV.fits.gz,2011-09-30,22h17m11.892s,1d04m34.96s,pre_disc,90,90,0
PSc210027-NUV.fits.gz,2011-09-30,22h17m11.892s,1d04m34.96s,pre_post_disc,131,130,1
PSc210061-FUV.fits.gz,2011-10-16,22h14m06.195s,-0d00m43.96s,pre_disc,12,12,0
PSc210061-NUV.fits.gz,2011-10-16,22h14m06.195s,-0d00m43.96s,pre_disc,49,49,0
PSc210091-FUV.fits.gz,2011-10-02,22h14m10.983s,0d57m14.5s,pre_disc,10,10,0
PSc210091-NUV.fits.gz,2011-10-02,22h14m10.983s,0d57m14.5s,pre_disc,46,46,0
PSc210141-FUV.fits.gz,2011-10-21,22h19m07.902s,0d05m49.93s,pre_disc,7,7,0
PSc210141-NUV.fits.gz,2011-10-21,22h19m07.902s,0d05m49.93s,pre_disc,41,41,0
PSc300007-FUV.fits.gz,2011-08-03,23h29m28.385s,-1d51m58.09s,pre_disc,6,6,0
PSc300007-NUV.fits.gz,2011-08-03,23h29m28.385s,-1d51m58.09s,pre_disc,11,11,0
PSc300067-FUV.fits.gz,2011-07-23,23h27m32.456s,0d33m39.68s,pre_disc,88,88,0
PSc300067-NUV.fits.gz,2011-07-23,23h27m32.456s,0d33m39.68s,pre_disc,104,104,0
PSc300105-FUV.fits.gz,2010-09-29,23h26m50.473s,-0d43m48.21s,pre_disc,3,3,0
PSc300105-NUV.fits.gz,2010-09-29,23h26m50.473s,-0d43m48.21s,pre_disc,7,7,0
PSc300139-FUV.fits.gz,2011-07-23,23h33m16.218s,-1d09m58.6s,pre_disc,9,9,0
PSc300139-NUV.fits.gz,2011-07-23,23h33m16.218s,-1d09m58.6s,pre_disc,14,14,0
PSc300225-FUV.fits.gz,2011-08-10,23h33m17.658s,-0d06m59.5s,pre_disc,119,119,0
PSc300225-NUV.fits.gz,2011-08-10,23h33m17.658s,-0d06m59.5s,pre_disc,129,129,0
PSc300226-FUV.fits.gz,2011-08-19,23h28m36.767s,-0d05m16.75s,pre_disc,133,133,0
PSc310009-FUV.fits.gz,2011-08-24,23h31m57.412s,-0d58m30.43s,pre_disc,14,14,0
PSc310009-NUV.fits.gz,2011-08-24,23h31m57.412s,-0d58m30.43s,pre_disc,24,24,0
PSc310042-FUV.fits.gz,2011-09-06,23h25m48.259s,-1d43m23.59s,pre_disc,6,6,0
PSc310042-NUV.fits.gz,2011-09-06,23h25m48.259s,-1d43m23.59s,pre_disc,11,11,0
PSc310046-FUV.fits.gz,2011-08-06,23h29m48.566s,-1d19m46.98s,pre_disc,4,4,0
PSc310046-NUV.fits.gz,2011-08-06,23h29m48.566s,-1d19m46.98s,pre_disc,10,10,0
PSc310050-FUV.fits.gz,2011-08-24,23h27m09.39s,-1d07m58.69s,pre_disc,5,5,0
PSc310050-NUV.fits.gz,2011-08-24,23h27m09.39s,-1d07m58.69s,pre_disc,10,10,0
PSc310058-FUV.fits.gz,2011-08-31,23h33m00.08s,0d21m41.04s,pre_disc,125,125,0
PSc310058-NUV.fits.gz,2011-08-31,23h33m00.08s,0d21m41.04s,pre_disc,130,130,0
PSc310063-FUV.fits.gz,2011-09-05,23h29m12.848s,0d55m11.42s,pre_disc,9,9,0
PSc310063-NUV.fits.gz,2011-09-05,23h29m12.848s,0d55m11.42s,pre_disc,14,14,0
PSc310090-FUV.fits.gz,2011-09-05,23h25m14.006s,-0d36m18.39s,pre_disc,5,5,0
PSc310090-NUV.fits.gz,2011-09-05,23h25m14.006s,-0d36m18.39s,pre_disc,9,9,0
PSc310091-FUV.fits.gz,2011-09-02,23h32m30.333s,-0d06m16.75s,pre_disc,127,127,0
PSc310091-NUV.fits.gz,2011-09-02,23h32m30.333s,-0d06m16.75s,pre_disc,137,137,0
PSc310095-FUV.fits.gz,2011-09-04,2h19m54.685s,-4d24m54.85s,pre_disc,3,3,0
PSc310095-NUV.fits.gz,2011-09-04,2h19m54.685s,-4d24m54.85s,pre_disc,28,28,0
PSc310130-FUV.fits.gz,2011-09-05,2h24m53.309s,-5d40m51.72s,pre_disc,24,24,0
PSc310130-NUV.fits.gz,2011-09-05,2h24m53.309s,-5d40m51.72s,pre_disc,47,47,0
PSc310145-FUV.fits.gz,2011-09-17,3h35m33.372s,-28d42m13.17s,pre_disc,61,61,0
PSc310145-NUV.fits.gz,2011-09-17,3h35m33.372s,-28d42m13.17s,pre_disc,89,89,0
PSc310146-FUV.fits.gz,2011-09-18,3h29m56.778s,-28d44m30.94s,pre_disc,37,37,0
PSc310146-NUV.fits.gz,2011-09-18,3h29m56.778s,-28d44m30.94s,pre_disc,66,66,0
PSc310147-FUV.fits.gz,2011-09-17,3h35m04.837s,-28d39m13.14s,pre_disc,61,61,0
PSc310147-NUV.fits.gz,2011-09-17,3h35m04.837s,-28d39m13.14s,pre_disc,89,89,0
PSc310161-FUV.fits.gz,2011-09-19,23h31m51.816s,-0d39m37.6s,pre_disc,6,6,0
PSc310161-NUV.fits.gz,2011-09-19,23h31m51.816s,-0d39m37.6s,pre_disc,11,11,0
PSc310184-FUV.fits.gz,2011-09-18,3h34m32.614s,-27d56m40.08s,pre_disc,112,112,0
PSc310184-NUV.fits.gz,2011-09-18,3h34m32.614s,-27d56m40.08s,pre_disc,257,257,0
PSc310185-FUV.fits.gz,2011-09-18,23h24m50.066s,-0d49m05.52s,pre_disc,8,8,0
PSc310185-NUV.fits.gz,2011-09-18,23h24m50.066s,-0d49m05.52s,pre_disc,12,12,0
PSc310188-FUV.fits.gz,2011-09-05,2h21m06.632s,-4d31m10.71s,pre_disc,24,24,0
PSc310188-NUV.fits.gz,2011-09-05,2h21m06.632s,-4d31m10.71s,pre_disc,50,50,0
PSc310203-FUV.fits.gz,2011-09-05,2h27m08.023s,-3d50m18.23s,pre_disc,23,23,0
PSc310203-NUV.fits.gz,2011-09-05,2h27m08.023s,-3d50m18.23s,pre_disc,50,50,0
PSc310205-FUV.fits.gz,2011-09-06,2h22m09.585s,-3d52m18.9s,pre_disc,5,5,0
PSc310205-NUV.fits.gz,2011-09-06,2h22m09.585s,-3d52m18.9s,pre_disc,50,50,0
PSc310219-FUV.fits.gz,2011-09-09,2h19m50.82s,-3d48m47.14s,pre_disc,25,25,0
PSc310219-NUV.fits.gz,2011-09-09,2h19m50.82s,-3d48m47.14s,pre_disc,48,48,0
PSc310220-FUV.fits.gz,2011-09-18,2h19m29.137s,-3d48m12.65s,pre_disc,25,25,0
PSc310220-NUV.fits.gz,2011-09-18,2h19m29.137s,-3d48m12.65s,pre_disc,48,48,0
PSc310226-FUV.fits.gz,2011-09-17,3h35m27.58s,-27d22m25.57s,pre_disc,26,26,0
PSc310226-NUV.fits.gz,2011-09-17,3h35m27.58s,-27d22m25.57s,pre_disc,62,62,0
PSc310238-FUV.fits.gz,2011-09-18,2h22m06.429s,-3d13m59.84s,pre_disc,24,24,0
PSc310238-NUV.fits.gz,2011-09-18,2h22m06.429s,-3d13m59.84s,pre_disc,50,50,0
PSc310240-FUV.fits.gz,2011-09-17,3h30m29.296s,-26d55m58.75s,pre_disc,68,68,0
PSc310240-NUV.fits.gz,2011-09-17,3h30m29.296s,-26d55m58.75s,pre_disc,104,104,0
PSc310260-FUV.fits.gz,2011-09-08,2h24m40.539s,-5d06m15.51s,pre_disc,5,5,0
PSc310260-NUV.fits.gz,2011-09-08,2h24m40.539s,-5d06m15.51s,pre_disc,29,29,0
PSc310271-FUV.fits.gz,2011-09-06,2h26m58.507s,-4d56m26.83s,pre_disc,41,41,0
PSc310271-NUV.fits.gz,2011-09-06,2h26m58.507s,-4d56m26.83s,pre_disc,81,81,0
PSc310308-FUV.fits.gz,2011-09-05,2h24m18.549s,-4d08m10.83s,pre_disc,93,93,0
PSc310308-NUV.fits.gz,2011-09-05,2h24m18.549s,-4d08m10.83s,pre_disc,130,130,0
PSc310332-FUV.fits.gz,2011-09-24,2h19m55.114s,-3d26m34.42s,pre_disc,54,54,0
PSc310332-NUV.fits.gz,2011-09-24,2h19m55.114s,-3d26m34.42s,pre_disc,76,76,0
PSc310552-FUV.fits.gz,2011-09-24,23h33m38.098s,-0d18m02.57s,pre_disc,111,111,0
PSc310552-NUV.fits.gz,2011-09-24,23h33m38.098s,-0d18m02.57s,pre_disc,119,119,0
PSc310555-FUV.fits.gz,2011-09-17,23h34m07.866s,-0d23m28.99s,pre_disc,6,6,0
PSc310555-NUV.fits.gz,2011-09-17,23h34m07.866s,-0d23m28.99s,pre_disc,9,9,0
PSc310564-FUV.fits.gz,2011-09-24,23h24m00.518s,-0d12m54.76s,pre_disc,6,6,0
PSc310564-NUV.fits.gz,2011-09-24,23h24m00.518s,-0d12m54.76s,pre_disc,12,12,0
PSc310574-FUV.fits.gz,2011-09-20,23h31m56.623s,0d32m10.58s,pre_disc,126,126,0
PSc310574-NUV.fits.gz,2011-09-20,23h31m56.623s,0d32m10.58s,pre_disc,136,136,0
PSc320077-FUV.fits.gz,2011-09-25,23h26m18.219s,-0d31m12.25s,pre_disc,5,5,0
PSc320077-NUV.fits.gz,2011-09-25,23h26m18.219s,-0d31m12.25s,pre_disc,10,10,0
PSc320123-FUV.fits.gz,2011-10-02,23h25m34.73s,0d28m27.47s,pre_disc,83,83,0
PSc320123-NUV.fits.gz,2011-10-02,23h25m34.73s,0d28m27.47s,pre_disc,98,98,0
PSc320180-FUV.fits.gz,2011-09-30,2h23m34.624s,-5d16m11.01s,pre_disc,27,27,0
PSc320180-NUV.fits.gz,2011-09-30,2h23m34.624s,-5d16m11.01s,pre_disc,52,52,0
PSc320258-FUV.fits.gz,2011-10-16,2h18m59.519s,-4d52m50.66s,pre_disc,22,22,0
PSc320258-NUV.fits.gz,2011-10-16,2h18m59.519s,-4d52m50.66s,pre_disc,86,86,0
PSc320336-FUV.fits.gz,2011-10-03,3h33m17.319s,-27d30m48.44s,pre_disc,104,104,0
PSc320336-NUV.fits.gz,2011-10-03,3h33m17.319s,-27d30m48.44s,pre_disc,222,222,0
PSc320345-FUV.fits.gz,2011-10-16,3h35m42.171s,-27d22m37.67s,pre_disc,26,26,0
PSc320345-NUV.fits.gz,2011-10-16,3h35m42.171s,-27d22m37.67s,pre_disc,62,62,0
PSc320388-FUV.fits.gz,2011-10-16,3h31m46.69s,-26d26m43.1s,pre_disc,33,33,0
PSc320388-NUV.fits.gz,2011-10-16,3h31m46.69s,-26d26m43.1s,pre_disc,62,62,0
PSc320441-FUV.fits.gz,2011-07-28,23h28m05.121s,0d52m53.94s,pre_disc,6,6,0
PSc320441-NUV.fits.gz,2011-07-28,23h28m05.121s,0d52m53.94s,pre_disc,6,6,0
PSc320492-FUV.fits.gz,2011-09-30,2h21m31.62s,-3d05m20.71s,pre_disc,32,32,0
PSc320492-NUV.fits.gz,2011-09-30,2h21m31.62s,-3d05m20.71s,pre_disc,58,58,0
PSc330016-FUV.fits.gz,2011-10-19,2h20m20.865s,-3d46m30.62s,pre_disc,24,24,0
PSc330016-NUV.fits.gz,2011-10-19,2h20m20.865s,-3d46m30.62s,pre_disc,48,48,0
PSc330022-FUV.fits.gz,2011-10-24,2h21m17.78s,-2d56m56.85s,pre_disc,36,36,0
PSc330022-NUV.fits.gz,2011-10-24,2h21m17.78s,-2d56m56.85s,pre_disc,62,62,0
PSc330049-FUV.fits.gz,2011-11-13,2h18m25.656s,-4d26m54.21s,pre_disc,25,25,0
PSc330049-NUV.fits.gz,2011-11-13,2h18m25.656s,-4d26m54.21s,pre_disc,68,68,0
PSc330060-FUV.fits.gz,2011-11-05,3h35m03.643s,-27d03m57.42s,pre_disc,28,28,0
PSc330060-NUV.fits.gz,2011-11-05,3h35m03.643s,-27d03m57.42s,pre_disc,65,65,0
PSc330061-FUV.fits.gz,2011-11-13,8h37m49.096s,44d55m57.82s,pre_disc,7,7,0
PSc330061-NUV.fits.gz,2011-11-13,8h37m49.096s,44d55m57.82s,pre_disc,8,8,0
PSc330089-FUV.fits.gz,2011-11-13,2h24m45.665s,-4d49m19.7s,pre_disc,99,99,0
