File,Category,Total Epochs,Epochs Pre-SN,Epochs Post-SN
ASASSN-14lo-FUV.fits.gz,single,1,1,0
ASASSN-14lo-NUV.fits.gz,pre_disc,3,3,0
ASASSN-14lp-FUV.fits.gz,pre_disc,7,7,0
ASASSN-14lp-NUV.fits.gz,pre_disc,7,7,0
ASASSN-14lq-FUV.fits.gz,pre_disc,2,2,0
ASASSN-14lq-NUV.fits.gz,pre_post_disc,4,3,1
ASASSN-14lt-FUV.fits.gz,pre_disc,6,6,0
ASASSN-14lt-NUV.fits.gz,pre_disc,6,6,0
ASASSN-14lu-FUV.fits.gz,pre_disc,2,2,0
ASASSN-14lu-NUV.fits.gz,pre_disc,2,2,0
ASASSN-14lv-FUV.fits.gz,pre_disc,2,2,0
ASASSN-14lv-NUV.fits.gz,pre_disc,2,2,0
ASASSN-14lw-FUV.fits.gz,pre_disc,2,2,0
ASASSN-14lw-NUV.fits.gz,pre_disc,2,2,0
ASASSN-14mw-FUV.fits.gz,post_disc,4,0,4
ASASSN-14mw-NUV.fits.gz,post_disc,5,0,5
AT2014gd-NUV.fits.gz,single,1,1,0
B0509-67.5-NUV.fits.gz,unknown,4,nan,nan
B0548-704-NUV.fits.gz,unknown,2,nan,nan
Caleb-FUV.fits.gz,post_disc,2,0,2
Caleb-NUV.fits.gz,post_disc,39,0,39
Cayanne-FUV.fits.gz,post_disc,82,0,82
Cayanne-NUV.fits.gz,post_disc,131,0,131
CSS091127_094447+083137-FUV.fits.gz,single,1,0,1
CSS091127_094447+083137-NUV.fits.gz,post_disc,3,nan,nan
CSS100912_223118+010516-FUV.fits.gz,single,1,1,0
CSS100912_223118+010516-NUV.fits.gz,pre_post_disc,2,nan,nan
CSS110701_014408+124812-FUV.fits.gz,pre_disc,3,3,0
CSS110701_014408+124812-NUV.fits.gz,pre_disc,3,3,0
CSS110701_014551+143502-NUV.fits.gz,single,1,1,0
CSS120415_110518-083453-FUV.fits.gz,pre_disc,2,2,0
CSS120415_170824+030104-FUV.fits.gz,single,1,1,0
CSS120415_170824+030104-NUV.fits.gz,pre_disc,3,3,0
CSS120416_091631+075020-FUV.fits.gz,pre_disc,8,8,0
CSS120416_091631+075020-NUV.fits.gz,pre_disc,10,10,0
CSS120418_113531+054254-NUV.fits.gz,single,1,1,0
CSS120917_164704+231612-FUV.fits.gz,pre_disc,2,2,0
CSS120917_164704+231612-NUV.fits.gz,pre_disc,3,3,0
CSS120925_003040+123156-FUV.fits.gz,pre_disc,3,3,0
CSS120925_003040+123156-NUV.fits.gz,pre_disc,3,3,0
CSS120926_171458+344754-FUV.fits.gz,pre_disc,2,2,0
CSS120926_171458+344754-NUV.fits.gz,pre_disc,2,2,0
CSS121005_212556+122328-NUV.fits.gz,pre_disc,10,nan,nan
CSS121008_014245+213928-FUV.fits.gz,pre_disc,2,2,0
CSS121008_014245+213928-NUV.fits.gz,pre_disc,2,2,0
CSS121009_011101-172841-FUV.fits.gz,pre_disc,2,nan,nan
CSS121009_011101-172841-NUV.fits.gz,pre_disc,2,nan,nan
CSS121011_163803+372814-NUV.fits.gz,single,1,1,0
CSS121014_233045-124838-FUV.fits.gz,pre_disc,4,nan,nan
CSS121014_233045-124838-NUV.fits.gz,pre_disc,4,nan,nan
CSS121106_003304+312335-FUV.fits.gz,single,1,1,0
CSS121106_003304+312335-NUV.fits.gz,single,1,1,0
CSS121112_002624+163027-FUV.fits.gz,pre_disc,2,2,0
CSS121112_002624+163027-NUV.fits.gz,pre_disc,2,2,0
CSS121114_090202+101800-FUV.fits.gz,post_disc,4,nan,nan
CSS121114_090202+101800-NUV.fits.gz,post_disc,4,nan,nan
CSS121212_025025+070218-FUV.fits.gz,single,1,1,0
CSS121212_025025+070218-NUV.fits.gz,single,1,1,0
CSS130218_092354+385837-FUV.fits.gz,pre_disc,2,2,0
CSS130218_092354+385837-NUV.fits.gz,pre_disc,3,3,0
