name,objname,ra,dec,z,z_err,v_helio,v_helio_err,h_dist,h_dist_err,z_indep_dist,type,morph,a_v,a_k,posn_ref,z_ref,sep,offset,host,galex_ra,galex_dec,morph_ref
ESSENCEm138,GALEXASC J010856.24+003923.7  ,01h08m56.35s,+00d39m25.4s,0.5870000000000001,,175978.1975,,2509.38,175.66,5.0,G,,0.076,0.008,2007ApJ...666..674M,2007ApJ...666..674M,0.001,0.0,,1h08m56.35s,0d39m25.4s,
ESSENCEm193,WISEA J022852.28-074209.6,02h28m52.20s,-07d42m09.8s,0.33,,98931.525,,1409.99,98.7,20.0,G,,0.077,0.008,2007ApJ...666..674M,2007ApJ...666..674M,0.001,0.0,,2h28m52.2s,-7d42m09.8s,
ESSENCEm226,ESSENCE m226 HOST,02h06m03.69s,-04d39m59.1s,0.675,,202359.9375,,2887.11,202.1,6.0,G,,0.066,0.006999999999999999,2007ApJ...666..674M,2007ApJ...666..674M,0.0,0.0,,2h06m03.69s,-4d39m59.1s,
ESSENCEn246,ESSENCE n246 HOST,01h14m33.08s,-00d26m23.2s,0.706,,211653.505,,3019.1,211.34,,G,,0.084,0.009000000000000001,2007ApJ...666..674M,2007ApJ...666..674M,0.0,0.0,,1h14m33.08s,-0d26m23.2s,
ESSENCEn256,ESSENCE n256,02h28m09.010s,-07d47m49.56s,,,,,,,8.0,SN,,0.08199999999999999,0.009000000000000001,2007ApJ...666..674M,,0.001,,,2h28m09.01s,-7d47m49.6s,
ESSENCEn258,WISEA J020639.69-042235.6,02h06m39.687s,-04d22m34.79s,0.53308,0.00022999999999999998,159813.3859,68.65248299999999,2279.3,159.55,,G,,0.062,0.006999999999999999,2016SDSSD.C...0000:,2016SDSSD.C...0000:,0.665,443.11511356499176,,2h06m42.35s,-4d22m37s,
ESSENCEn263,WISEA J020514.78-045640.0,02h05m14.779s,-04d56m39.74s,0.36264,8e-05,108715.55303,25.182570000000002,1549.32,108.45,,QSO,,0.07,0.008,2016SDSSD.C...0000:,2016SDSSD.C...0000:,0.044000000000000004,19.91938246958723,,2h05m14.95s,-4d56m39.1s,
ESSENCEn278,ESSENCE n278 HOST,23h28m17.55s,-09d23m12.4s,0.304,,91136.92,,1296.88,90.78,10.0,G,,0.109,0.012,2007ApJ...666..674M,2007ApJ...666..674M,0.0,0.0,,23h28m17.55s,-9d23m12.4s,
ESSENCEn285,ESSENCE n285,23h23m51.350s,-08d23m18.47s,,,,,,,10.0,SN,,0.10300000000000001,0.011000000000000001,2007ApJ...666..674M,,0.0,,,23h23m51.35s,-8d23m18.5s,
ESSENCEn322,ESSENCE n322,02h29m00.480s,-09d02m52.96s,,,,,,,,SN,,0.07400000000000001,0.008,2007ApJ...666..674M,,0.001,,,2h29m00.48s,-9d02m53s,
