name,objname,ra,dec,z,z_err,v_helio,v_helio_err,h_dist,h_dist_err,z_indep_dist,type,morph,a_v,a_k,posn_ref,z_ref,sep,offset,host,galex_ra,galex_dec,morph_ref
SDSS-II SN 10154,SDSS-II SN 10154,02h06m48s,+01d15m,,,,,,,,SN,,0.075,0.008,2018PASP..130f4002S,,0.001,,,2h06m46.008s,1d15m01.476s,
SDSS-II SN 10324,SDSS-II SN 10324,22h26m28.236s,+00d35m12.64s,0.187,,56061.1975,,795.71,55.7,10.0,G,,0.162,0.018000000000000002,2007SDSS6.C...0000:,2011ApJ...738..162S,0.004,0.9062314665686672,SDSS J22628.23+003512.6,22h26m28.228s,0d35m12.44s,
SDSS-II SN 10450,WISEA J222906.06-010743.9,22h29m06.044s,-01d07m43.12s,0.272,0.005,81543.56,1498.9625,1159.75,83.96,,G,,0.183,0.02,2007SDSS6.C...0000:,2011ApJ...738..162S,0.049,16.62366763370625,SDSS J22906.03-010743.1,22h29m06.24s,-1d07m43.212s,
SDSS-II SN 10460,SDSS-II SN 10460,23h00m07.004s,-01d12m13.84s,0.197,,59059.1225,,838.46,58.69,6.0,G,,0.146,0.016,2007SDSS6.C...0000:,2011ApJ...738..162S,0.011000000000000001,2.783673519740756,SDSS J30007.00-011213.8,23h00m06.96s,-1d12m14.004s,
SDSS-II SN 10506,SDSS-II SN 10506,00h48m06.372s,+00d30m00.65s,0.023,,6895.2275,,93.69,6.57,2.0,VisS,,0.057999999999999996,0.006,2011ApJ...738..162S,2011ApJ...738..162S,0.003,0.08602510854624251,,0h48m06.384s,0d30m00.648s,
SDSS-II SN 10524,SDSS-II SN 10524,03h43m55.856s,+00d35m04.15s,0.08199999999999999,,24582.985,,349.21,24.44,2.0,G,,0.335,0.037000000000000005,2007SDSS6.C...0000:,2011ApJ...738..162S,0.024,2.4709775820808857,SDSS J34355.84+003504.3,3h43m55.944s,0d35m04.7508s,
SDSS-II SN 10559,SDSS-II SN 10559,23h36m27.943s,-01d13m35.76s,0.277,,83042.5225,,1181.11,82.68,12.0,VisS,,0.085,0.009000000000000001,2010ApJ...713.1026D,2011ApJ...738..162S,0.008,2.5318990672133785,SDSS J33628.01-011335.7,23h36m27.968s,-1d13m35.53s,
SDSS-II SN 10620,SDSS-II SN 10620,23h49m59s,-00d25m,,,,,,,,SN,,0.09,0.01,2018PASP..130f4002S,,0.027999999999999997,,,23h49m57.12s,-0d25m13.4364s,
SDSS-II SN 11026,WISEA J214313.61+005327.3,21h43m13.593s,+00d53m27.43s,0.28429,2.9999999999999997e-05,85228.909202,8.094397,1212.68,84.89,,G,,0.166,0.018000000000000002,2007SDSS6.C...0000:,2016SDSSD.C...0000:,0.024,8.25071389111679,SDSS J14313.59+005327.5,21h43m13.68s,0d53m27.928s,
SDSS-II SN 11092,SDSS-II SN 11092,20h10m29.604s,+01d07m17.83s,0.07400000000000001,,22184.645,,313.22,21.93,2.0,VisS,,0.337,0.037000000000000005,2010ApJ...713.1026D,2011ApJ...738..162S,0.005,0.44269749716308576,SDSS J01029.85+010715.7,20h10m29.622s,1d07m17.93s,
SDSS-II SN 11098,SDSS-II SN 11098,20h38m32.798s,+01d12m29.69s,0.343,,102828.8275,,1464.85,102.54,2.0,G,,0.25,0.027999999999999997,2007SDSS6.C...0000:,2011ApJ...738..162S,0.034,14.34894372981962,SDSS J03832.79+011229.6,20h38m32.88s,1d12m31.284s,
SDSS-II SN 11120,SDSS J214149.62+002213.3,21h41m49.629s,+00d22m13.36s,0.10733,0.00029,32177.628402,87.53941,454.82,31.86,,G,,0.16899999999999998,0.019,2016SDSSD.C...0000:,2016SDSSD.C...0000:,0.001,0.033451105310863816,SDSS J14150.10+002209.3,21h41m49.63s,0d22m13.36s,
SDSS-II SN 11156,SDSS J013622.52-005218.2,01h36m22.521s,-00d52m18.28s,0.30903,5e-05,92643.97689800001,15.589210000000001,1319.24,92.35,,G,,0.086,0.009000000000000001,2007SDSS6.C...0000:,2016SDSSD.C...0000:,0.006,2.3919437454364787,SDSS J13622.52-005218.3,1h36m22.512s,-0d52m17.9328s,
SDSS-II SN 11181,SDSS-II SN 11181,23h48m05.210s,-00d08m36.05s,0.136,,40771.78,,577.26,40.41,10.0,G,,0.083,0.009000000000000001,2007SDSS6.C...0000:,2011ApJ...738..162S,0.008,1.4412125539377452,SDSS J34805.22-000836.0,23h48m05.183s,-0d08m35.74s,
SDSS-II SN 11263,WISEA J232009.53+001725.9,23h20m09.528s,+00d17m25.92s,0.253,0.0,75847.5025,0.0,1078.28,75.48,,G,,0.127,0.013999999999999999,2007SDSS6.C...0000:,2005ApJS..158..161H,0.018000000000000002,5.699228432487144,SDSS J32009.52+001725.9,23h20m09.6s,0d17m25.825s,
SDSS-II SN 11305,SDSS-II SN 11305,01h58m04.679s,-00d34m17.02s,0.184,,55161.82,,784.09,54.89,2.0,G,,0.071,0.008,2007SDSS6.C...0000:,2011ApJ...738..162S,0.008,1.900773965179577,SDSS J15804.67-003417.1,1h58m04.656s,-0d34m16.662s,
SDSS-II SN 11306,WISEA J034657.15-003103.3,03h46m57.174s,-00d31m03.37s,0.27382,7e-05,82089.18235,20.685682,1170.8,81.96,,G,,0.535,0.059000000000000004,2016SDSSD.C...0000:,2016SDSSD.C...0000:,0.045,15.306513791248074,SDSS J34657.17-003103.3,3h46m57.235s,-0d31m05.9s,
SDSS-II SN 11311,WISEA J030803.69+002600.5,03h08m03.696s,+00d26m00.51s,0.2046,0.0001,61337.5455,29.97925,873.54,61.15,4.0,G,,0.247,0.027000000000000003,2007SDSS6.C...0000:,2011ApJ...738..162S,0.01,2.3211484086346044,SDSS J30803.69+002600.5,3h08m03.731s,0d26m00.36s,
SDSS-II SN 11314,SDSS-II SN 11314,03h08m18.058s,+00d57m33.32s,0.184,,55161.82,,785.31,54.97,2.0,G,,0.281,0.031,2007SDSS6.C...0000:,2011ApJ...738..162S,0.016,3.6928495453033694,SDSS J30818.05+005733.2,3h08m18.12s,0d57m33.059s,
SDSS-II SN 11317,SDSS-II SN 11317,03h46m01.761s,+00d33m43.53s,0.292,,87539.41,,1248.63,87.4,2.0,G,,0.495,0.055,2007SDSS6.C...0000:,2011ApJ...738..162S,0.008,3.033093395381373,SDSS J34601.76+003343.5,3h46m01.728s,0d33m43.6s,
SDSS-II SN 11370,SDSS-II SN 11370,00h45m52.204s,-00d42m51.65s,0.4559,0.0003,136675.40075,89.93775,1947.69,136.34,2.0,G,,0.054000000000000006,0.006,2007SDSS6.C...0000:,2006MNRAS.372..425C,0.034,19.281678924874264,SDSS J04552.20-004251.6,0h45m52.104s,-0d42m50.274s,
SDSS-II SN 11478,SDSS-II SN 11478,03h52m27.312s,-00d48m13.84s,0.328,,98331.94,,1402.96,98.21,2.0,G,,0.48700000000000004,0.054000000000000006,2007SDSS6.C...0000:,2011ApJ...738..162S,0.019,7.74551082531493,SDSS J35227.31-004813.8,3h52m27.288s,-0d48m12.762s,
SDSS-II SN 11518,SDSS-II SN 11518,00h33m38.449s,+00d32m19.48s,0.316,,94734.43,,1348.41,94.39,6.0,G,,0.06,0.006999999999999999,2007SDSS6.C...0000:,2011ApJ...738..162S,0.026000000000000002,10.399906538324506,SDSS J03338.46+003219.4,0h33m38.3712s,0d32m18.409s,
SDSS-II SN 11523,SDSS J003755.53+003605.8,00h37m57s,+00d36m,,,,,,,,G,,0.053,0.006,2018PASP..130f4002S,,0.001,,SDSS J03755.53+003605.8,0h37m55.5288s,0d36m05.8536s,
SDSS-II SN 11564,SDSS-II SN 11564,03h10m24.736s,+00d10m47.47s,0.231,,69252.0675,,986.65,69.07,2.0,G,,0.306,0.034,2007SDSS6.C...0000:,2011ApJ...738..162S,0.012,3.606275981968413,SDSS J31024.73+001047.2,3h10m24.72s,0d10m46.758s,
SDSS-II SN 1158,SDSS-II SN 01158,01h09m06.283s,-00d21m06.37s,0.6940000000000001,,208055.995,,2967.64,207.74,6.0,G,,0.092,0.01,2007SDSS6.C...0000:,2011ApJ...738..162S,0.053,45.8403663608436,SDSS J10906.28-002106.2,1h09m06.096s,-0d21m07.866s,
SDSS-II SN 1166,WISEA J003725.29+005825.8,00h37m25.269s,+00d58m26.22s,0.3824,0.0005,114640.652,149.89625,1632.81,114.32,10.0,G,,0.053,0.006,2007SDSS6.C...0000:,2011ApJ...740...92G,0.045,21.51521561468336,SDSS J03725.26+005826.1,0h37m25.35s,0d58m23.8s,
SDSS-II SN 11723,SDSS-II SN 11723,03h39m17s,-00d03m,,,,,,,,SN,,0.251,0.027999999999999997,2018PASP..130f4002S,,0.001,,,3h39m15.576s,-0d02m53.1708s,
SDSS-II SN 11771,WISEA J010055.46-003134.8,01h00m55.456s,-00d31m34.86s,0.2575,0.01,77196.56875,2997.925,1098.14,88.0,4.0,G,,0.09699999999999999,0.011000000000000001,2007SDSS6.C...0000:,2011ApJ...738..162S,0.034,11.09067532665785,SDSS J10055.45-003134.7,1h00m55.35s,-0d31m33.53s,
SDSS-II SN 11858,SDSS-II SN 11858,00h04m12.499s,+00d21m34.19s,0.252,,75547.71,,1074.12,75.19,6.0,G,,0.11199999999999999,0.012,2007SDSS6.C...0000:,2011ApJ...738..162S,0.025,8.095698964632556,SDSS J00412.51+002134.1,0h04m12.396s,0d21m34.13s,
SDSS-II SN 12076,SDSS-II SN 12076,02h00m33s,-00d57m,,,,,,,,VisS,,0.076,0.008,2018PASP..130f4002S,,0.001,,SDSS J20031.72-005713.9,2h00m31.752s,-0d57m13.9176s,
SDSS-II SN 12213,SDSS-II SN 12213,23h02m20.180s,-00d38m46.90s,0.438,,131309.115,,1870.6,130.94,6.0,VisS,,0.18,0.02,2011ApJ...738..162S,2011ApJ...738..162S,0.0,0.0,,23h02m20.18s,-0d38m46.9s,
SDSS-II SN 12308,SDSS-II SN 12308,23h20m42.159s,+00d57m54.74s,0.255,0.0,76447.0875,0.0,1086.83,76.08,6.0,G,,0.124,0.013999999999999999,2007SDSS6.C...0000:,2005ApJS..158..161H,0.021,6.511655839482797,SDSS J32042.15+005755.0,23h20m42.24s,0d57m54.925s,
SDSS-II SN 12547,SDSS-II SN 12547,00h34m54s,-00d48m,,,,,,,,SN,,0.06,0.006999999999999999,2018PASP..130f4002S,,0.0,,,0h34m52.9008s,-0d47m52.1772s,
SDSS-II SN 12804,WISEA J011248.36+010224.5,01h12m48.401s,+01d02m24.70s,0.134,,40172.195,,569.33,39.85,,G,,0.083,0.009000000000000001,2007SDSS6.C...0000:,2010ApJ...713.1026D,0.003,0.3850380079549047,SDSS J11248.40+010224.7,1h12m48.408s,1d02m24.61s,
SDSS-II SN 1282,SDSS J211951.82+003040.7,21h19m51.827s,+00d30m40.76s,,,,,,,,G,,0.221,0.024,2007SDSS6.C...0000:,,0.004,,SDSS J11951.82+003040.7,21h19m51.84s,0d30m40.806s,
SDSS-II SN 1285,SDSS-II SN 01285,21h27m08.026s,+00d32m35.16s,0.345,,103428.4125,,1472.82,103.1,2.0,G,,0.126,0.013999999999999999,2007SDSS6.C...0000:,2011ApJ...738..162S,0.027000000000000003,11.658301134749944,SDSS J12708.02+003235.0,21h27m07.92s,0d32m35.502s,
SDSS-II SN 12852,SDSS-II SN 12852 HOST,20h57m00.732s,+00d41m20.87s,0.264,,79145.22,,1126.26,78.84,,G,,0.203,0.022000000000000002,2010ApJ...713.1026D,2010ApJ...713.1026D,0.001,0.2327224403154028,,20h57m00.73s,0d41m20.9s,
SDSS-II SN 12875,SDSS J234830.59-000343.9,23h48m30.596s,-00d03m43.99s,0.26471999999999996,4e-05,79360.77080700001,12.591285000000001,1128.53,79.0,,G,,0.077,0.008,2007SDSS6.C...0000:,2016SDSSD.C...0000:,0.028999999999999998,9.597655994992364,SDSS J34830.59-000343.9,23h48m30.48s,-0d03m43.8588s,
SDSS-II SN 12940,SDSS-II SN 12940,23h29m57s,-00d37m,,,,,,,,SN,,0.115,0.013000000000000001,2018PASP..130f4002S,,0.016,,,23h29m55.92s,-0d37m00.2568s,
SDSS-II SN 12941,SDSS-II SN 12941,23h47m07.145s,-00d35m57.02s,0.28600000000000003,,85740.655,,1219.67,85.38,2.0,VisS,,0.126,0.013999999999999999,2011ApJ...738..162S,2011ApJ...738..162S,0.013999999999999999,4.902533437727149,,23h47m07.2s,-0d35m57.0228s,
SDSS-II SN 12947,2MASS J20212163-0035241,20h21m21.639s,-00d35m24.17s,,,,,,,,IrS,,0.307,0.034,2006AJ....131.1163S,,0.172,,SDSS J02119.80-003547.1,20h21m21.17s,-0d35m31.8s,
SDSS-II SN 12974,WISEA J012634.03-001342.1,01h26m34.022s,-00d13m42.23s,0.3063,7e-05,91826.142957,19.786305,1307.42,91.52,,G,,0.078,0.009000000000000001,2007SDSS6.C...0000:,2016SDSSD.C...0000:,0.005,1.6967078005668756,SDSS J12634.02-001342.2,1h26m34.032s,-0d13m42.0096s,
SDSS-II SN 12978,SDSS-II SN 12978,00h28m40.119s,+00d08m52.52s,0.17,,50964.725,,723.1,50.62,6.0,VisS,,0.057999999999999996,0.006,2011ApJ...738..162S,2011ApJ...738..162S,0.0,0.0,,0h28m40.119s,0d08m52.52s,
SDSS-II SN 13009,SDSS-II SN 13009,00h45m56s,+00d31m,,,,,,,,SN,,0.055999999999999994,0.006,2018PASP..130f4002S,,0.002,,SDSS J04555.00+003136.3,0h45m54.048s,0d31m28.715s,
SDSS-II SN 1302,SDSS-II SN 01302,03h34m37.147s,+00d53m31.00s,0.282,,84541.485,,1205.56,84.39,2.0,G,,0.267,0.028999999999999998,2007SDSS6.C...0000:,2011ApJ...738..162S,0.003,0.9774005526153228,SDSS J33437.14+005331.0,3h34m37.152s,0d53m30.851s,
SDSS-II SN 13066,WISEA J230431.19-011505.3,23h04m31.194s,-01d15m05.21s,,,,,,,,G,,0.135,0.015,2007SDSS6.C...0000:,,0.003,,SDSS J30431.19-011505.2,23h04m31.2s,-1d15m05.076s,
SDSS-II SN 13079,SDSS-II SN 13079,00h05m11s,+00d10m,,,,,,,,SN,,0.073,0.008,2018PASP..130f4002S,,0.0,,,0h05m09.6648s,0d10m04.0332s,
SDSS-II SN 13101,WISEA J000624.53-011354.5,00h06m24.504s,-01d13m54.30s,0.36838000000000004,7e-05,110436.36198,19.786305,1572.56,110.08,,G,,0.105,0.012,2013ApJ...763...88C,2013ApJ...763...88C,0.011000000000000001,4.728226885081941,SDSS J00624.54-011354.6,0h06m24.54s,-1d13m54.6s,
SDSS-II SN 13108,SDSS-II SN 13108,00h39m28.977s,-01d12m01.44s,0.24,,71950.2,,1022.99,71.61,6.0,VisS,,0.067,0.006999999999999999,2010ApJ...713.1026D,2011ApJ...738..162S,0.006,1.6598895983090065,SDSS J03929.00-011159.9,0h39m28.989s,-1d12m01.16s,
SDSS-II SN 13144,SDSS-II SN 13144 HOST,01h20m19.704s,-00d20m00.92s,0.275,,82442.9375,,1173.3,82.13,,G,,0.10300000000000001,0.011000000000000001,2010ApJ...713.1026D,2010ApJ...713.1026D,0.01,3.160759766837094,,1h20m19.732s,-0d20m00.56s,
SDSS-II SN 13149,SDSS-II SN 13149,00h17m34s,+00d06m,,,,,,,,SN,,0.065,0.006999999999999999,2018PASP..130f4002S,,0.0,,SDSS J01732.26+000539.1,0h17m32.287s,0d05m39.85s,
SDSS-II SN 13168,SDSS-II SN 13168,00h06m24.377s,+00d37m16.97s,0.271,,81243.7675,,1155.51,80.89,2.0,VisS,,0.11599999999999999,0.013000000000000001,2010ApJ...713.1026D,2011ApJ...738..162S,0.005,1.4236483881722153,SDSS J00624.42+003716.8,0h06m24.384s,0d37m17.2s,
SDSS-II SN 13302,SDSS-II SN 13302,21h54m47.753s,-00d30m06.55s,,,,,,,,G,,0.33399999999999996,0.037000000000000005,2007SDSS6.C...0000:,,0.065,,,21h54m48s,-0d30m05.3568s,
SDSS-II SN 13303,SDSS-II SN 13303,21h59m11.474s,-00d26m08.16s,,,,,,,,G,,0.174,0.019,2007SDSS6.C...0000:,,0.031,,SDSS J15911.46-002608.9,21h59m11.52s,-0d26m09.8772s,
SDSS-II SN 13329,SDSS-II SN 13329 HOST,22h42m52.829s,-00d06m30.67s,0.319,,95633.8075,,1360.98,95.27,,G,,0.17600000000000002,0.019,2010ApJ...713.1026D,2010ApJ...713.1026D,0.008,2.9872423241228927,,22h42m52.852s,-0d06m30.38s,
SDSS-II SN 13333,SDSS-II SN 13333,21h14m35.794s,+00d16m42.36s,0.214,,64155.595,,911.92,63.84,6.0,G,,0.28300000000000003,0.031,2007SDSS6.C...0000:,2011ApJ...738..162S,0.017,4.603511081534309,SDSS J11435.79+001642.5,21h14m35.76s,0d16m41.459s,
SDSS-II SN 13339,SDSS-II SN 13339,21h44m22s,+00d18m,,,,,,,,SN,,0.17300000000000001,0.019,2018PASP..130f4002S,,0.013999999999999999,,,21h44m20.88s,0d18m17.284s,
SDSS-II SN 13378,WISEA J022610.20+010844.5,02h26m10.168s,+01d08m44.16s,0.309,0.0,92635.8825,0.0,1319.87,92.39,,G,,0.087,0.01,2007SDSS6.C...0000:,2005ApJS..158..161H,0.052000000000000005,20.1501626541117,SDSS J22610.16+010844.2,2h26m10.224s,1d08m47.184s,
SDSS-II SN 13393,SDSS-II SN 13393,22h52m57.107s,+00d37m02.89s,0.27,,80943.975,,1151.09,80.58,2.0,G,,0.225,0.025,2007SDSS6.C...0000:,2011ApJ...738..162S,0.004,1.2559982622666717,SDSS J25257.10+003702.9,22h52m57.12s,0d37m03s,
SDSS-II SN 13411,SDSS J210045.52+001130.3,21h00m45.522s,+00d11m30.32s,0.163,0.0005,48866.1775,149.89625,693.67,48.6,5.0,G,,0.223,0.025,2007SDSS6.C...0000:,2011ApJ...740...92G,0.02,3.9949531031435614,SDSS J10045.53+001130.2,21h00m45.6s,0d11m30.17s,
SDSS-II SN 1342,SDSS-II SN 01342 HOST,23h06m06.576s,+00d07m00.77s,0.28300000000000003,,84841.2775,,1206.76,84.47,,G,,0.115,0.013000000000000001,2010ApJ...713.1026D,2010ApJ...713.1026D,0.011000000000000001,3.765673297800277,,23h06m06.605s,0d07m01.24s,
SDSS-II SN 13452,SDSS-II SN 13452,00h07m40.994s,-00d21m04.53s,0.494,,148097.495,,2110.58,147.74,8.0,G,,0.128,0.013999999999999999,2007SDSS6.C...0000:,2011ApJ...738..162S,0.0,0.10264198220129137,SDSS J00740.97-002104.4,0h07m40.994s,-0d21m04.54s,
SDSS-II SN 13465,RCS 10220301745,23h15m32.936s,+00d01m00.08s,0.28,0.0,83941.9,0.0,1193.91,83.57,,G,,0.11,0.012,2005ApJS..158..161H,2005ApJS..158..161H,0.256,89.33479516586199,SDSS J31531.86+000057.9,23h15m31.92s,0d00m58.2s,
SDSS-II SN 13476,SDSS-II SN 13476,23h44m03.984s,-00d47m27.49s,0.257,,77046.6725,,1095.47,76.68,12.0,VisS,,0.08199999999999999,0.009000000000000001,2010ApJ...713.1026D,2011ApJ...738..162S,0.006,1.9408081789399223,SDSS J34404.07-004726.3,23h44m04.008s,-0d47m27.44s,
SDSS-II SN 13477,SDSS-II SN 13477,00h31m13.257s,-00d42m30.17s,,,,,,,4.0,SN,,0.061,0.006999999999999999,2010ApJ...713.1026D,,0.001,,SDSS J03113.22-004230.4,0h31m13.26s,-0d42m30.2s,
SDSS-II SN 13479,SDSS-II SN 13479,02h25m53.302s,-00d22m17.56s,0.465,,139403.5125,,1987.99,139.16,2.0,VisS,,0.099,0.011000000000000001,2011ApJ...738..162S,2011ApJ...738..162S,0.001,0.2904927178372486,,2h25m53.304s,-0d22m17.562s,
SDSS-II SN 13495,SDSS-II SN 13495,03h41m12s,+00d05m,,,,,,,,SN,,0.244,0.027000000000000003,2018PASP..130f4002S,,0.001,,SDSS J34110.60+000455.7,3h41m10.584s,0d04m55.89s,
SDSS-II SN 13497,SDSS-II SN 13497,01h43m44.339s,-01d02m47.33s,0.387,,116019.6975,,1653.29,115.73,10.0,G,,0.07200000000000001,0.008,2007SDSS6.C...0000:,2011ApJ...738..162S,0.033,15.679913333544965,SDSS J14344.34-010247.3,1h43m44.371s,-1d02m45.44s,
SDSS-II SN 13507,SDSS-II SN 13507,01h41m49.554s,-00d47m44.38s,0.318,,95334.015,,1357.75,95.04,2.0,G,,0.079,0.009000000000000001,2007SDSS6.C...0000:,2011ApJ...738..162S,0.008,2.9808012267714785,SDSS J14149.56-004744.8,1h41m49.584s,-0d47m44.412s,
SDSS-II SN 13520,SDSS-II SN 13520,01h08m42.092s,-00d00m57.53s,0.293,,87839.2025,,1250.25,87.52,12.0,G,,0.09,0.01,2007SDSS6.C...0000:,2011ApJ...738..162S,0.005,1.8273767599258264,SDSS J10842.09-000057.6,1h08m42.082s,-0d00m57.27s,
SDSS-II SN 13529,SDSS-II SN 13529,01h26m52.818s,+00d20m12.50s,0.315,,94434.6375,,1344.69,94.13,10.0,G,,0.08900000000000001,0.01,2007SDSS6.C...0000:,2011ApJ...738..162S,0.001,0.6738474169823608,SDSS J12652.82+002012.4,1h26m52.812s,0d20m12.45s,
SDSS-II SN 13532,WISEA J003708.65+003440.8,00h37m08.705s,+00d34m40.46s,0.26494,2.9999999999999997e-05,79426.425365,9.59336,1129.75,79.08,,G,,0.061,0.006999999999999999,2007SDSS6.C...0000:,2016SDSSD.C...0000:,0.013999999999999999,4.795588341971065,SDSS J03708.69+003440.5,0h37m08.664s,0d34m41.077s,
SDSS-II SN 13558,SDSS-II SN 13558,01h01m23s,+01d01m,,,,,,,,SN,,0.07,0.008,2018PASP..130f4002S,,0.0,,,1h01m21.816s,1d00m38.736s,
SDSS-II SN 13590,SDSS-II SN 13590,21h54m40.498s,-00d06m25.46s,0.49686,8e-05,148955.20134200001,24.283193,2122.97,148.61,2.0,G,,0.27,0.03,2007SDSS6.C...0000:,2016SDSSD.C...0000:,0.045,27.85359273896793,SDSS J15440.50-000625.4,21h54m40.32s,-0d06m25.848s,
SDSS-II SN 13615,WISEA J204538.98+011112.2,20h45m38.979s,+01d11m12.23s,0.232,,69551.86,,989.36,69.26,,G,,0.22399999999999998,0.025,2007SDSS6.C...0000:,2010ApJ...713.1026D,0.003,0.9559175428271984,SDSS J04538.97+011112.2,20h45m38.99s,1d11m12.12s,
SDSS-II SN 13629,SDSS-II SN 13629,23h42m31.810s,-00d03m09.14s,0.259,,77646.2575,,1104.02,77.28,10.0,G,,0.07,0.008,2007SDSS6.C...0000:,2011ApJ...738..162S,0.021,6.942047099807488,SDSS J34231.80-000309.1,23h42m31.81s,-0d03m10.43s,
SDSS-II SN 13633,SDSS J001839.75+000021.4,00h18m39.757s,+00d00m21.44s,0.38752,0.00023999999999999998,116175.889393,71.050822,1654.62,115.83,,G,,0.068,0.006999999999999999,2016SDSSD.C...0000:,2016SDSSD.C...0000:,0.0,0.0,SDSS J01839.68+000019.6,0h18m39.757s,0d00m21.44s,
SDSS-II SN 13646,SDSS J234953.40-010155.7,23h49m53.407s,-01d01m55.79s,0.292,,87539.41,,1245.39,87.18,,G,,0.085,0.009000000000000001,2007SDSS6.C...0000:,2010ApJ...713.1026D,0.004,1.4215662532098088,SDSS J34953.40-010155.8,23h49m53.417s,-1d01m55.61s,
SDSS-II SN 13649,SDSS-II SN 13649 HOST,23h42m06.804s,-00d37m08.26s,0.319,,95633.8075,,1360.99,95.27,,G,,0.085,0.009000000000000001,2010ApJ...713.1026D,2010ApJ...713.1026D,0.001,0.477958771605565,,23h42m06.8s,-0d37m08.3s,
SDSS-II SN 13689,WISEA J001603.67+004830.1,00h16m03.661s,+00d48m30.08s,0.252,,75547.71,,1074.19,75.19,7.0,G,,0.071,0.008,2007SDSS6.C...0000:,2010ApJ...713.1026D,0.0,0.13089969390043227,SDSS J01603.65+004830.0,0h16m03.66s,0d48m30.1s,
SDSS-II SN 13716,SDSS-II SN 13716,20h59m49.002s,+00d29m18.54s,0.322,,96533.185,,1374.63,96.22,4.0,VisS,,0.22899999999999998,0.025,2011ApJ...738..162S,2011ApJ...738..162S,0.01,4.214975453053596,,20h59m48.96s,0d29m18.539s,
SDSS-II SN 13729,SDSS-II SN 13729 HOST,21h15m40.481s,+00d52m30.61s,0.343,,102828.8275,,1464.38,102.51,,G,,0.243,0.027000000000000003,2010ApJ...713.1026D,2010ApJ...713.1026D,0.008,3.263558611458832,SDSS J11540.50+005231.1,21h15m40.497s,0d52m31s,
SDSS-II SN 13731,WISEA J212709.63+005844.2,21h27m09.656s,+00d58m44.16s,0.45865,0.00014,137500.42971,41.071573,1959.56,137.17,,G,,0.128,0.013999999999999999,2007SDSS6.C...0000:,2016SDSSD.C...0000:,0.013999999999999999,8.022721676853811,SDSS J12709.65+005844.1,21h27m09.6s,0d58m44.216s,
SDSS-II SN 13732,SDSS J213704.39+005403.6,21h37m04.394s,+00d54m03.64s,0.40223000000000003,2.9999999999999997e-05,120585.83706800001,9.59336,1717.83,120.25,,G,,0.155,0.017,2016SDSSD.C...0000:,2016SDSSD.C...0000:,0.018000000000000002,9.30454424263953,,21h37m04.32s,0d54m03.726s,
SDSS-II SN 13734,SDSS-II SN 13734,21h59m21.127s,+01d00m38.12s,0.263,,78845.4275,,1121.35,78.5,6.0,G,,0.125,0.013999999999999999,2007SDSS6.C...0000:,2011ApJ...738..162S,0.002,0.7083067753305952,SDSS J15921.14+010038.1,21h59m21.12s,1d00m38.196s,
SDSS-II SN 13737,SDSS J223542.30+005745.4,22h35m42.310s,+00d57m45.43s,0.329,,98631.7325,,1403.82,98.27,,G,,0.22,0.024,2007SDSS6.C...0000:,2010ApJ...713.1026D,0.004,1.6533770785035695,SDSS J23542.30+005745.5,22h35m42.312s,0d57m45.67s,
SDSS-II SN 13766,SDSS J212255.06-003811.2,21h22m55.063s,-00d38m11.26s,0.19114,0.00037999999999999997,57301.439072,114.820527,813.92,57.0,,G,,0.121,0.013000000000000001,2016SDSSD.C...0000:,2016SDSSD.C...0000:,0.025,6.137954290948231,,21h22m54.96s,-0d38m11.22s,
SDSS-II SN 1378,SDSS-II SN 01378,01h42m35.590s,-01d12m50.10s,0.12587,2.9999999999999997e-05,37734.881975,8.39419,534.92,37.45,,G,,0.071,0.008,2007SDSS6.C...0000:,2016SDSSD.C...0000:,0.066,10.36046969513204,SDSS J14235.59-011250.1,1h42m35.784s,-1d12m47.412s,
SDSS-II SN 13780,WISEA J232111.43-004629.7,23h21m11.442s,-00d46m29.60s,0.28300000000000003,0.0,84841.2775,0.0,1206.77,84.47,,G,,0.10400000000000001,0.011000000000000001,2007SDSS6.C...0000:,2005ApJS..158..161H,0.021,7.296925909306929,SDSS J32111.44-004629.7,23h21m11.52s,-0d46m29.1864s,
SDSS-II SN 13784,SDSS-II SN 13784,00h16m48.113s,-00d49m03.60s,0.259,,77646.2575,,1104.19,77.29,2.0,VisS,,0.08,0.009000000000000001,2011ApJ...738..162S,2011ApJ...738..162S,0.0,0.006457718233281665,,0h16m48.113s,-0d49m03.6012s,
SDSS-II SN 13785,SDSS-II SN 13785,00h34m16s,-00d40m,,,,,,,,SN,,0.062,0.006999999999999999,2018PASP..130f4002S,,0.0,,,0h34m14.009s,-0d40m25.878s,
SDSS-II SN 13786,SDSS-II SN 13786,00h38m22s,-00d45m,,,,,,,,SN,,0.064,0.006999999999999999,2018PASP..130f4002S,,0.0,,,0h38m20.2656s,-0d45m16.002s,
SDSS-II SN 13787,SDSS-II SN 13787,00h40m16.76s,-00d41m04.9s,0.56501,0.00014,169384.561255,42.270742999999996,2414.91,169.05,2.0,UvS,,0.061,0.006999999999999999,2012GMSC..C...0000S,2016SDSSD.C...0000:,0.013999999999999999,9.839311700192923,SDSS J04016.80-004107.1,0h40m16.8s,-0d41m05.4852s,
