Name,Disc. Date,mmax,Host Name,R.A.,Dec.,z,Type,Phot.,Spec.,Radio,X-ray,NUVexpt,FUVexpt
SN1989Q,1989/09/26,19.5,A014534+2205,"01:45:34.49,01:45:34.54,01:45:34.570,01:45:34.57","+22:05:16.3,+22:05:17.05,+22:05:16.80,+22:05:16.8,+22:05:17.1",0.059,Ia,1.0,,,,1704.0,1704.0
SN2005hx,2005/10/11,19.51,SDSS J01259.98+001454.8,"00:13:00.13,00:13:00.1,00:13:00.1296,00:13:00.1152","+00:14:53.7,+00:14:54,+00:14:53.63,+00:14:53.3,+00:14:53.603,+00:14:53.318,+00:14:53.6","0.121,0.121242",Ia,113.0,,,,3432.0,3432.0
SN2006jq,2006/10/01,19.51,SDSS J33706.46+000033.3,"03:37:06.456,03:37:06.504,03:37:06.50","+00:00:33.38,+00:00:34,+00:00:33,+00:00:33.4,+00:00:33.7",0.1276,Ia,77.0,1.0,,,6114.0,6114.0
SN2006er,2006/08/26,19.51,SDSS J02137.88-010038.2,"00:21:37.895,00:21:37.574,00:21:37.5744,00:21:37.56,00:21:37.54","-01:00:38.23,-01:00:35.892,-01:00:36.18,-01:00:35.9",0.084083,Ia,51.0,1.0,,,3835.0,3835.0
PSc100405,2010/11/24,19.51,,"03:34:30.852,03:34:30.849","-27:19:14.09,-27:19:14.08","0.00362,0.104",Ia,51.0,,,,224.0,224.0
PTF11ao,2011/01/11,19.52,,"07:59:57.71,07:59:57.6","+33:18:02.9,+33:18:02.88",0.1085,Ia,37.0,1.0,,,203.0,203.0
PTF10fxu,2010/04/25,19.52,,"16:04:11.26,16:04:11.28","+50:01:01.7,+50:01:01.92",0.11,Ia,26.0,1.0,,,164.0,164.0
PTF12elc,2012/05/16,19.52,,"14:34:49.07,14:34:48.96","+41:52:56.3,+41:52:56.28",0.131,Ia,21.0,1.0,,,119.0,119.0
OGLE-2014-SN-002,2014/01/03,19.53,,"04:04:31.71,04:04:31.744","-63:50:15.6,-63:50:15.76",0.1,Ia,42.0,1.0,,,210.0,210.0
SN2006np,2006/11/10,19.53,SDSS J30639.57+000343.1,"03:06:39.576,03:06:39.48,03:06:39.456","+00:03:43.15,+00:03:50.5,+00:03:50.49,+00:03:50.13",0.1064,Ia,39.0,3.0,,,3507.0,3507.0
SNLS-06D2fb,2006/04/29,19.53,SDSS J095932.09+014939.1,09:59:32.147,"+01:49:40.52,+01:49:40.520",0.1245,Ia,24.0,,,,3493.0,3493.0
PS1-1000007,2010/01/10,19.54,,"02:23:30.711,02:23:30.712","-04:38:10.76,-04:38:10.75",0.13609,Ia,38.0,,,,35484.0,217.0
PTF10goq,2010/04/30,19.55,,"12:45:59.66,12:45:59.76","+04:49:29.0,+04:49:28.956",0.088,Ia,59.0,1.0,,,1735.0,0.0
