Name,Disc. Date,mmax,Host Name,R.A.,Dec.,z,Type,Phot.,Spec.,Radio,X-ray,NUVexpt,FUVexpt
SN1572A,1572/11/06,-4.0,Milky Way,"00:25:21.5,00:25:18,00:24:48.600,00:25:14.0","+64:08:27,+64:09,+64:08:48.98,+64:08:39.0",,I,19.0,1.0,,,94.0,0.0
SN185A,185/12/07,-4.0,Milky Way,"14:43:00,14:35:55,14:43:30.000","-62:30,-60:36,-62:28:00.00",,Ia,,,,,,
SN1604A,1604/10/09,-2.95,Milky Way,"17:30:42,17:30:38.599,17:30:40.8","-21:29,-21:28:52.00,-21:29:11.0",,I,35.0,,,,,
SN1006A,1006/04/17,-0.8,Milky Way,"15:02:50,15:02:22.4","-41:56,-42:06:09.0",,Ia,4.0,,,,,
SN1999gp,1999/12/23,0.006,UGC 1993,"02:31:39.15,02:31:39.151","+39:22:52.3,+39:22:52.28",0.02675,Ia,200.0,10.0,,,183.0,183.0
SN1999dk,1999/08/12,0.006,UGC 1087,"01:31:26.92,01:31:26.921","+14:17:05.7,+14:17:05.71","0.01496,0.01496",Ia,159.0,5.0,,,577.0,190.0
SN2000bk,2000/04/11,0.086,NGC 4520,"12:33:53.94,12:33:53.940","-07:22:42.9,-07:22:42.89",0.025444,Ia,69.0,4.0,,,110.0,110.0
SN1999da,1999/07/05,0.13,NGC 6411,"17:35:22.96,17:35:22.961","+60:48:49.3,+60:48:49.28","0.01269,0.01269",Ia,127.0,6.0,,,4592.0,3098.0
SN2000ce,2000/05/08,0.272,UGC 4195,"08:05:09.45,08:05:09.451","+66:47:15.2,+66:47:15.22",0.01631,Ia,88.0,5.0,,,150.0,150.0
SN1895B,1895/07/06,7.07,NGC 5253,"13:39:55.9,13:39:57.3,13:39:57.300,13:39:57.30","-31:38:31,-31:38:06,-31:38:08.00,-31:38:08.0,-31:38:06.0",0.0014,Ia,82.0,,,,0.0,0.0
SN1972E,1972/05/06,7.77,NGC 5253,"13:39:52.7,13:39:53.200,13:39:53.2,13:39:52.70","-31:40:09,-31:40:15.00,-31:40:15.0,-31:40:09.0",0.001358,Ia,490.0,19.0,,,0.0,0.0
SN1937C,1937/08/16,8.4,IC 4182,"13:05:53.2,13:05:52.400,13:05:52.4,13:05:53.20","+37:36:07,+37:37:08.00,+37:37:08.0,+37:36:07.0","0.001071,0.001071",Ia,425.0,2.0,,,0.0,0.0
SN2014J,2014/01/21,8.98,NGC 3034,"09:55:42.12,09:55:42.14","+69:40:25.9,+69:40:26.0","0.000677,0.000739,0.000841",Ia,1482.0,78.0,0.0,,1991.0,287.0
SN2011fe,2011/08/24,9.48,M101,"14:03:05.711,14:03:05.76,14:03:05.81,14:03:05.80","+54:16:25.22,+54:16:25.32,+54:16:25.4,+54:16:25.3",0.000804,Ia,3371.0,80.0,0.0,0.0,16326.0,15718.0
SN1937D,1937/09/09,10.5,NGC 1003,"02:39:21.0,02:39:20.400,02:39:20.4,02:39:21.00","+40:52:20,+40:52:17.00,+40:52:17.0,+40:52:20.0",0.00518,Ia,259.0,1.0,,,134.0,0.0
SN1960F,1960/04/17,10.6,NGC 4496A,"12:31:42.05,12:31:42.06,12:31:42.050","+03:56:47.7,+03:56:47.9,+03:56:47.80,+03:56:47.8","0.00312,0.00323,0.00337,0.00341,0.00398",Ia,151.0,8.0,,,1748.0,0.0
SN1986G,1986/05/03,10.61,NGC 5128,"13:25:36.46,13:25:36.509,13:25:36.51","-43:01:53.6,-43:01:54.17,-43:01:54.19,-43:01:54.2","0.00183,0.000848,0.00103",Ia-91bg,93.0,42.0,0.0,,314.0,103.0
SN1983N,1983/07/03,10.73,NGC 5236,13:36:51.23,"-29:54:01.7,-29:54:02.70","0.00308,0.00321,0.00171",Ib,89.0,5.0,,,218.0,218.0
SN1971I,1971/05/24,10.9,NGC 5055,"13:15:49.6,13:15:49.68,13:15:49.600,13:15:49.60","+41:59:15,+41:59:32.00,+41:59:32.0,+41:59:15.0","0.00131,0.00344",Ia,205.0,,,,206.0,206.0
SN1961H,1961/05/02,10.9,NGC 4564,"12:36:27.27,12:36:27.28,12:36:27.300,12:36:27.3","+11:26:24.6,+11:26:24.64,+11:26:23.00,+11:26:23.0","0.003809,0.003809,0.00312,0.00518",Ia,29.0,,,,109.0,109.0
SN1991T,1991/04/13,10.93,NGC 4527,"12:34:10.20,12:34:10.08,12:34:10.17,12:34:10.210,12:34:10.21","+02:39:56.4,+02:39:56.52,+02:39:56.35,+02:39:56.59,+02:39:56.6,+02:39:56.3","0.005791,0.005791",Ia-91T,727.0,23.0,0.0,,0.0,0.0
SN1994D,1994/03/07,10.96,NGC 4526,"12:34:02.395,12:34:02.37,12:34:02.450,12:34:02.45","+07:42:05.70,+07:42:04.7,+07:42:04.72","0.00149,0.00233,0.00253,0.00328,0.00149,0.00366,0.00389,0.00394,0.00412,0.00432",Ia,590.0,76.0,0.0,,0.0,0.0
SN1989B,1989/01/30,11.2,NGC 3627,"11:20:13.93,11:20:13.92,11:20:13.91,11:20:13.900,11:20:13.9","+13:00:18.9,+13:00:19.44,+13:00:19.2,+13:00:19.00,+13:00:19.0",0.002425,Ia,351.0,7.0,0.0,,1635.0,107.0
SN2013aa,2013/02/13,11.28,NGC 5643,14:32:33.88,-44:13:27.8,0.003999,Ia,583.0,12.0,,,0.0,0.0
SN1998bu,1998/05/09,11.44,NGC 3368,"10:46:46.01,10:46:46.030,10:46:46.03","+11:50:07.5,+11:50:07.12,+11:50:07.15",0.002992,Ia,1058.0,75.0,0.0,,0.0,0.0
SN2012cg,2012/05/17,11.7,NGC 4424,12:27:12.83,+09:25:13.2,0.001458,Ia,696.0,17.0,0.0,,116.0,116.0
SN1998aq,1998/04/13,11.7,NGC 3982,"11:56:25.87,11:56:25.68,11:56:25.999,11:56:25.76","+55:07:43.2,+55:07:41.52,+55:07:38.78,+55:07:40.1","0.003699,0.003699",Ia,257.0,61.0,0.0,,0.0,0.0
SN1981B,1981/03/02,11.73,NGC 4536,"12:34:29.57,12:34:29.58,12:34:29.500,12:34:29.5","+02:11:59.3,+02:11:59.35,+02:11:59.00,+02:11:59.0",0.006031,Ia,281.0,16.0,0.0,,5471.0,2367.0
SN2012fr,2012/10/27,11.74,NGC 1365,"03:33:35.99,03:33:36.288","-36:07:37.7,-36:07:35.04",0.0054,Ia,1787.0,144.0,0.0,,1920.0,1920.0
SN1965I,1965/06/18,11.8,NGC 4753,"12:52:15,12:52:15.400,12:52:15.4,12:52:15.54","-01:10.9,-01:10:52.00,-01:10:52.0,-01:10:49.9","0.00482,0.00525,0.00568",Ia,100.0,,,,,
SN1974G,1974/04/20,11.8,NGC 4414,"12:26:28,12:26:28.300,12:26:28.3,12:26:29.14","+31:12.4,+31:12:22.00,+31:12:22.0,+31:12:28.4","0.00394,0.00396,0.00425,0.00484",Ia,99.0,,,,,
SN1939A,1939/01/17,11.8,NGC 4636,"12:42:48,12:42:48.700,12:42:48.7,12:42:47.94","+02:41.6,+02:41:36.00,+02:41:36.0,+02:41:35.6",0.00312,Ia,68.0,2.0,,,,
ASASSN-14lp,2014/12/09,11.93,NGC 4666,"12:45:09.10,12:45:09.12","-00:27:32.4,-00:27:32.5,-00:27:32.49",0.005101,Ia,589.0,27.0,,,2017.0,2017.0
SN1994ae,1994/11/14,12.0,NGC 3370,"10:47:01.94,10:47:01.92,10:47:01.951,10:47:01.95","+17:16:30.8,+17:16:30.66,+17:16:31.01,+17:16:31.0,+17:16:30.7",0.004266,Ia,299.0,21.0,,,97.0,97.0
SN1960R,1960/12/20,12.0,NGC 4382,"12:25:24.83,12:25:24.85,12:25:24.840,12:25:24.84","+18:09:19.3,+18:09:19.6,+18:09:19.40,+18:09:19.4",0.002432,Ia,85.0,2.0,,,797.0,389.0
SN1969C,1969/02/09,12.0,NGC 3811,"11:41:17.8,11:41:17.76,11:41:17.000,11:41:17.0,11:41:17.55","+47:41:33,+47:41:40.00,+47:41:40.0,+47:41:33.3","0.01057,0.00935,0.00962,0.0126",Ia,75.0,,,,1902.0,114.0
SN1983U,1983/11/04,12.0,NGC 3227,"10:23:29.31,10:23:29.38,10:23:29.410,10:23:29.41","+19:51:54.9,+19:51:55.46,+19:51:55.69,+19:51:55.7,+19:51:55.5",0.0038,Ia,31.0,,,,1788.0,115.0
SN1984A,1984/01/04,12.1,NGC 4419,"12:26:55.73,12:26:55.71,12:26:55.750,12:26:55.75","+15:03:17.1,+15:03:17.72,+15:03:18.00,+15:03:18.0,+15:03:17.7",-0.00092,Ia,138.0,,0.0,,188.0,111.0
SN1957B,1957/04/23,12.2,NGC 4374,"12:25:02,12:25:02.700,12:25:02.7,12:25:03.12","+12:54.0,+12:53:58.00,+12:53:58.0,+12:54:00.7","0.00312,0.00375,0.00434,0.00659",Ia,115.0,7.0,,,,
SN1989M,1989/06/28,12.2,NGC 4579,"12:37:40.72,12:37:40.700,12:37:40.7","+11:49:25.5,+11:49:25.97,+11:49:25.00,+11:49:25.0,+11:49:26.0",0.00507,Ia,12.0,10.0,0.0,,109.0,109.0
SN2013ct,2013/05/10,12.2,NGC 428,"01:12:54.92,01:12:54.97","+00:58:45.7,+00:58:47.0",0.003843,Ia,11.0,,,,2713.0,2713.0
SN2011iy,2011/12/09,12.2,NGC 4984,"13:08:58.39,13:08:58.38","-15:31:04.1,-15:31:04.0",0.0043,Ia,3.0,,0.0,,291.0,89.0
SN2008J,2008/01/15,12.22,MCG -02-07-33,"02:34:24.20,02:34:24.08","-10:50:38.5,-10:50:43.1",0.015874,Ia,66.0,16.0,0.0,,1857.0,161.0
SN1980N,1980/12/07,12.28,NGC 1316,"03:22:59,03:23:00.300,03:23:00.3,03:23:00.16","-37:12.8,-37:12:50.00,-37:12:50.0,-37:12:49.7",0.005871,Ia,288.0,7.0,0.0,,,
SN1954B,1954/04/27,12.3,NGC 5668,"14:33:24.09,14:33:24.13,14:33:24.100,14:33:24.1","+04:26:41.6,+04:26:42.41,+04:26:42.00,+04:26:42.0,+04:26:42.4",0.00609,Ia,160.0,10.0,,,23450.0,22195.0
SN2005df,2005/08/04,12.37,NGC 1559,04:17:37.85,-62:46:09.5,0.004316,Ia,139.0,5.0,,,269.0,193.0
SN1981D,1981/03/01,12.37,NGC 1316,"03:22:39,03:22:38.400,03:22:38.4,03:22:40.07","-37:14.1,-37:13:58.00,-37:13:58.0,-37:14:09.7",0.005871,Ia,70.0,,,,,
SN2011by,2011/04/26,12.38,NGC 3972,"11:55:45.56,11:55:45.6","+55:19:33.8,+55:19:33.24",0.002843,Ia,367.0,16.0,0.0,,0.0,0.0
SN2011B,2011/01/07,12.39,NGC 2655,"08:55:48.10,08:55:48,08:55:48.50","+78:13:01.6,+78:13:00.84,+78:13:02.7",0.00467,Ia,222.0,,0.0,,104.0,104.0
SN2001el,2001/09/17,12.4,NGC 1448,"03:44:30.60,03:44:30.57,03:44:30.571","-44:38:23.4,-44:38:23.7,-44:38:23.71","0.00346,0.00364,0.00391,0.00405,0.00514,0.00536",Ia,618.0,11.0,,,209.0,209.0
SN2006ce,2006/05/10,12.4,NGC 908,02:22:54.63,-21:14:29.4,0.00503,Ia,3.0,3.0,,,0.0,0.0
SN1990N,1990/06/23,12.44,NGC 4639,"12:42:56.68,12:42:56.70,12:42:56.741,12:42:56.74","+13:15:23.4,+13:15:23.68,+13:15:24.01,+13:15:24.0,+13:15:23.7","0.003399,0.003395",Ia,291.0,18.0,,,108.0,108.0
SN2002fk,2002/09/17,12.45,NGC 1309,"03:22:05.71,03:22:05.710","-15:24:03.2,-15:24:03.20","0.007132,0.007125",Ia,343.0,29.0,,,3080.0,1989.0
SN1967C,1967/02/28,12.46,NGC 3389,"10:48:25.1,10:48:24.96,10:48:25.200,10:48:25.2,10:48:25.02","+12:32:43,+12:32:43.08,+12:32:40.00,+12:32:40.0,+12:32:43.5","0.00433,0.00722,0.00742,0.00749",Ia,120.0,,,,0.0,0.0
SN2003hv,2003/09/09,12.49,NGC 1201,"03:04:09.32,03:04:09.319","-26:05:07.5,-26:05:07.51","0.005601,0.005624",Ia,231.0,25.0,0.0,,1864.0,163.0
SN1979B,1979/02/28,12.5,NGC 3913,"11:50:43.4,11:50:43.44,11:50:43.400,11:50:43.40","+55:21:33,+55:21:33.12,+55:21:39.00,+55:21:39.0,+55:21:33.0","0.00318,0.0032,0.0048",Ia,63.0,,,,0.0,0.0
SN2006X,2006/02/04,12.53,NGC 4321,"12:22:53.93,12:22:54,12:22:54.00,12:22:53.99,12:22:53.92","+15:48:32.0,+15:48:32.04,+15:48:33.12,+15:48:33.1,+15:48:31.2","0.00524,0.006322,0.00524,0.00357,0.00633",Ia,689.0,85.0,0.0,,221.0,112.0
SN1999cl,1999/05/29,12.58,NGC 4501,"12:31:56.01,12:31:56.009","+14:25:35.3,+14:25:35.29",0.007609,Ia,176.0,15.0,0.0,,216.0,216.0
SN1992A,1992/01/11,12.62,NGC 1380,"03:36:27.41,03:36:27.40,03:36:27.430,03:36:27.43","-34:57:31.4,-34:57:31.59,-34:57:31.50,-34:57:31.5,-34:57:31.6","0.00421,0.00626,0.00473,0.00545,0.00548,0.00421",Ia,62.0,27.0,0.0,,232.0,232.0
SN1983G,1983/04/04,12.65,NGC 4753,"12:52:20.90,12:52:20.9,12:52:20.950,12:52:20.95","-01:12:12.0,-01:12:12,-01:12:12.31,-01:12:12.3","0.00206,0.00375,0.00412,0.00432,0.00618",Ia,94.0,8.0,0.0,,2010.0,2010.0
SN1971L,1971/06/24,12.67,NGC 6384,"17:32:26,17:32:26.100,17:32:26.1,17:32:26.02","+07:04.0,+07:04:02.00,+07:04:02.0,+07:03:57.2","0.00461,0.00665",Ia,59.0,,,,,
SN1995D,1995/02/10,12.7,NGC 2962,"09:40:54.753,09:40:54.79,09:40:54.751,09:40:54.75","+05:08:26.16,+05:08:26.6,+05:08:26.20,+05:08:26.2",0.006561,Ia,238.0,18.0,,,2777.0,2777.0
SN2006mq,2006/10/22,12.7,ESO 494-G26,"08:06:12.39,08:06:12.48","-27:33:45.4,-27:33:45.36",0.0032,Ia,214.0,,,,0.0,0.0
SN1995al,1995/11/01,12.7,NGC 3021,"09:50:55.97,09:50:55.970","+33:33:09.4,+33:33:09.40","0.00514,0.00514,0.00577,0.00643,0.00661,0.00754,0.00756,0.00763,0.00788,0.00799",Ia,129.0,15.0,0.0,,1766.0,110.0
SN1996X,1996/04/12,12.71,NGC 5061,"13:18:01.13,13:18:01.130","-26:50:45.3,-26:50:45.31","0.00689,0.00627,0.00629,0.00636,0.00749",Ia,239.0,28.0,0.0,,221.0,108.0
SN2007on,2007/11/05,12.78,NGC 1404,"03:38:50.90,03:38:50.9","-35:34:30.0,-35:34:30.00,-35:34:30","0.006494,0.006182",Ia,453.0,32.0,0.0,,232.0,232.0
SN2007sr,2007/12/18,12.79,NGC 4038,"12:01:52.80,12:01:52.8","-18:58:21.7,-18:58:21.72",0.005417,Ia,416.0,35.0,0.0,,4823.0,4733.0
SN2013dy,2013/07/10,12.8,NGC 7250,22:18:17.60,+40:34:09.6,0.003889,Ia,2275.0,85.0,,,174.0,174.0
SN2001bg,2001/05/08,12.8,NGC 2608,"08:35:18.86,08:35:18.96,08:35:18.859","+28:28:05.8,+28:28:05.88,+28:28:05.81",0.007122,Ia,160.0,8.0,,,200.0,200.0
SN2010ih,2010/09/29,12.8,NGC 2325,07:02:43.63,-28:37:25.2,"0.0072,0.0073",Ia,41.0,,0.0,,0.0,0.0
SN2012ca,2012/04/25,12.81,ESO 336-G9,"18:41:07.25,18:41:07.06","-41:47:38.4,-41:47:37.4",0.019,Ia CSM,163.0,46.0,,2.0,0.0,0.0
SN1999by,1999/04/30,12.83,NGC 2841,"09:21:52.07,09:21:52.18,09:21:52.070","+51:00:06.6,+51:00:07.2,+51:00:06.59",0.002128,Ia Pec,573.0,36.0,0.0,,256.0,135.0
SN1964E,1964/03/12,12.85,MCG +09-20-51,"11:59:01,11:59:21.000,11:59:21.0,11:59:00.19","+52:41.6,+52:42:59.00,+52:42:59.0,+52:41:43.9",0.00554,Ia,94.0,2.0,,,,
SN1987N,1987/12/14,12.85,NGC 7606,"23:19:03.32,23:19:03.37,23:19:03.420,23:19:03.42","-08:28:37.5,-08:28:37.62,-08:28:37.70,-08:28:37.7,-08:28:37.6",0.0074,Ia,6.0,,0.0,,5963.0,3077.0
SN2000cx,2000/07/17,12.9,NGC 524,"01:24:46.19,01:24:46.15,01:24:46.150","+09:30:31.3,+09:30:30.9,+09:30:30.89","0.007929,0.008076",Ia Pec,1252.0,45.0,,,323.0,323.0
SN2007gi,2007/07/31,12.9,NGC 4036,"12:01:23.42,12:01:23.4",+61:53:33.8,0.00482,Ia,21.0,5.0,,,3241.0,2554.0
SN2012ht,2012/12/18,12.91,NGC 3447,10:53:22.75,+16:46:34.9,0.003559,Ia,695.0,26.0,0.0,,0.0,0.0
SN2009ig,2009/08/20,13.0,NGC 1015,"02:38:11.62,02:38:11.613,02:38:11.616,02:38:11.61","-01:18:45.3,-01:18:45.52,-01:18:45.252,-01:18:45.1","0.00829,0.00885,0.00877",Ia,584.0,18.0,,,3676.0,3676.0
SN1971G,1971/03/29,13.0,NGC 4165,"12:12:12.0,12:12:12,12:12:12.200,12:12:12.2,12:12:12.00","+13:14:16,+13:14:16.08,+13:14:22.00,+13:14:22.0,+13:14:16.0","0.00624,0.00953,0.00999,0.00786",Ia,107.0,1.0,,,108.0,108.0
SN2011ae,2011/02/12,13.0,MCG -03-30-19,"11:54:49.25,11:54:49.2,11:54:49.3,11:54:48.96","-16:51:43.6,-16:51:46.08,-16:51:44,-16:51:43.5,-16:51:43.92",0.006046,Ia,93.0,,0.0,,509.0,115.0
SN1966J,1966/12/20,13.0,NGC 3198,"10:19:45,10:19:45.800,10:19:45.8,10:19:45.41","+45:30.2,+45:30:10.00,+45:30:10.0,+45:30:14.2",0.0022,Ia,93.0,1.0,,,,
SN1963J,1963/05/18,13.0,NGC 3913,"11:50:38.29,11:50:38.4,11:50:38.30,11:50:38.299","+55:21:01.2,+55:21:01.44,+55:21:01.5,+55:21:01.30,+55:21:01.3","0.00318,0.0105",Ia,54.0,,,,0.0,0.0
SN1991X,1991/05/05,13.0,NGC 4902,"13:01:01.4,13:01:00.74,13:01:00.730,13:01:00.73","-14:30:28,-14:30:38.0,-14:30:38.09,-14:30:38.1",0.0088,Ia,11.0,1.0,,,205.0,92.0
SN1983P,1983/07/11,13.0,NGC 5746,"14:44:55,14:44:56.000,14:44:56.0,14:44:56.48","+01:57.2,+01:57:12.00,+01:57:12.0,+01:57:12.2",0.0058,Ia,3.0,,,,,
SN1985B,1985/01/17,13.0,NGC 4045,"12:02:44.04,12:02:44.081,12:02:44.08","+01:58:44.8,+01:58:45.26,+01:58:45.52,+01:58:45.5,+01:58:45.3",0.000617,Ia,1.0,,0.0,,1702.0,1702.0
SN2007af,2007/03/01,13.05,NGC 5584,"14:22:21.03,14:22:21.12","-00:23:37.6,-00:23:37.68,-00:23:37.60","0.005464,0.005464",Ia,978.0,53.0,,,3490.0,3269.0
SN2003du,2003/04/22,13.06,UGC 9391,"14:34:35.80,14:34:35.76,14:34:35.801,14:34:35.808","+59:20:03.8,+59:20:03.84,+59:20:03.80,+59:20:03.89",0.006381,Ia,628.0,80.0,0.0,,1008.0,896.0
SN1956A,1956/03/08,13.08,NGC 3992,"11:57:43,11:57:35.100,11:57:43.43","+53:22.5,+53:22:00.00,+53:22:00.0,+53:22:19.2","0.00514,0.00559",Ia,68.0,8.0,,,,
SN2002bo,2002/03/09,13.1,NGC 3190,"10:18:06.51,10:18:06.511,10:18:06.52","+21:49:41.7,+21:49:41.70,+21:49:41.2","0.00424,0.00424,0.00529,0.00606,0.00609,0.00636",Ia,773.0,64.0,0.0,,0.0,0.0
SN2012ei,2012/08/22,13.2,NGC 5611,"14:24:05.71,14:24:05.76","+33:02:56.5,+33:02:57.2",0.006721,Ia,1.0,1.0,0.0,,231.0,65.0
SN2008Q,2008/01/26,13.24,NGC 524,"01:24:57.23,01:24:57.207","+09:33:01.5,+09:33:01.30",0.007935,Ia,127.0,9.0,,,323.0,323.0
SN1987D,1987/04/20,13.25,MCG +00-32-01,"12:19:41.07,12:19:41.110,12:19:41.11","+02:04:26.6,+02:04:26.57,+02:04:26.80,+02:04:26.8",0.0074,Ia,22.0,,0.0,,1702.0,1702.0
SN2014dt,2014/10/29,13.26,M61,"12:21:57.57,12:21:57.59","+04:28:18.5,+04:28:18.3",0.0052,Ia-02cx,321.0,1.0,,,1735.0,0.0
SN2013cg,2013/05/06,13.3,NGC 2891,09:26:56.77,-24:46:59.6,0.007952,Ia,24.0,3.0,,,0.0,0.0
SN2005cf,2005/05/28,13.32,MCG -01-39-03,"15:21:33.12,15:21:33.36,15:21:32.21","-07:26:57.1,-07:26:55.464,-07:24:47.5","0.006461,0.006461",Ia,1136.0,122.0,,,184.0,184.0
SN2003gs,2003/07/29,13.32,NGC 936,"02:27:38.36,02:27:38.359","-01:09:35.4,-01:09:35.39",0.00477,Ia Pec,197.0,2.0,,,3563.0,3563.0
PSc480065,2010/03/09,13.33,,08:40:20.567,+44:19:06.56,0.44294,Ia,23.0,,,,219.0,219.0
SN1982B,1982/02/12,13.35,NGC 2268,"07:14:33.72,07:14:33.61,07:14:33.700,07:14:33.7","+84:23:11.7,+84:23:12.0,+84:23:12.00","0.00665,0.00727,0.00665",Ia,126.0,1.0,,,641.0,441.0
SN2010B,2010/01/07,13.36,NGC 5370,"13:54:08.74,13:54:08.7",+60:40:50.4,0.0102,Ia,49.0,,,,2059.0,109.0
SN1968E,1968/03/21,13.36,NGC 2713,"08:57:21,08:57:21.100,08:57:21.1,08:57:20.89","+02:55.0,+02:54:58.00,+02:54:58.0,+02:55:03.0",0.013,Ia,35.0,1.0,,,,
SN1992G,1992/02/09,13.38,NGC 3294,"10:36:18.57,10:36:18.55,10:36:18.509,10:36:18.51","+37:19:16.2,+37:19:15.99,+37:19:13.91,+37:19:13.9,+37:19:16.0","0.00529,0.00629,0.00529",Ia,183.0,12.0,,,110.0,110.0
SN2008fp,2008/09/11,13.39,ESO 428-G14,"07:16:32.60,07:16:32.64,07:16:32.6","-29:19:31.7,-29:19:31.80","0.006287,0.005664",Ia,234.0,21.0,,,0.0,0.0
SN1962J,1962/08/28,13.39,NGC 6835,"19:54:30,19:54:30.900,19:54:30.9,19:54:30.22","-12:34.5,-12:34:28.00,-12:34:28.0,-12:34:27.6",0.00729,Ia,40.0,3.0,,,,
SN2004eq,2004/07/30,13.4,ESO 404-G12,21:57:09.46,-34:34:51.3,0.00884,Ia,1.0,1.0,,,236.0,119.0
SN2008cq,2008/05/29,13.4,A142109-2915,14:21:09.61,-29:15:04.9,"0.006,0.006",Ia,1.0,,,,105.0,105.0
SN1991bg,1991/12/03,13.41,NGC 4374,"12:25:03.70,12:25:03.67,12:25:03.710,12:25:03.71,12:15:40.8","+12:52:15.6,+12:52:15.54,+12:52:15.82,+12:52:15.8,+12:52:15.5,+08:14:24",0.003539,Ia Pec,171.0,31.0,0.0,,531.0,531.0
SN1975N,1975/10/24,13.41,NGC 7723,"23:38:54,23:38:54.800,23:38:54.8,23:38:55.05","-12:57.2,-12:57:09.00,-12:57:09.0,-12:57:15.8","0.00568,0.00881",Ia,108.0,,,,,
SN2000E,2000/01/26,13.42,NGC 6951,"20:37:13.77,20:37:13.769","+66:05:50.2,+66:05:50.21","0.00414,0.00475,0.00527,0.00541,0.00563,0.00606",Ia,330.0,5.0,0.0,,1712.0,142.0
SN2003cg,2003/03/21,13.43,NGC 3169,"10:14:15.97,10:14:16.00,10:14:15.970,10:14:16.008","+03:28:02.5,+03:28:01.7,+03:28:02.50,+03:28:01.79",0.00413,Ia,516.0,43.0,0.0,,50128.0,20224.0
PSc330056,2011/11/13,13.43,,08:36:34.561,+44:25:39.69,0.26047,Ia,19.0,,,,2182.0,2182.0
SN1998es,1998/11/13,13.45,NGC 632,"01:37:17.60,01:37:17.501","+05:52:50.6,+05:52:50.30","0.01057,0.01057",Ia Pec,158.0,33.0,,,336.0,336.0
SN1957A,1957/02/26,13.45,NGC 2841,"09:21:51.2,09:21:50.400,09:21:50.4,09:21:51.20","+50:59:52,+50:59:43.00,+50:59:43.0,+50:59:52.0",0.0021,Ia,111.0,2.0,,,256.0,135.0
SN1983W,1983/12/06,13.49,NGC 3625,"11:20:32.5,11:20:32.64,11:20:32.200,11:20:32.2,11:20:32.53","+57:46:55,+57:46:55.2,+57:46:60.00,+57:47:00.0","0.00647,0.0065",Ia,58.0,,,,29766.0,29766.0
SN1996ai,1996/06/16,13.5,NGC 5005,"13:10:58.13,13:10:58.130","+37:03:35.4,+37:03:35.39","0.00316,0.00316,0.00373",Ia,60.0,12.0,,,0.0,0.0
SN1990M,1990/06/15,13.5,NGC 5493,"14:11:29.38,14:11:29.22,14:11:29.299,14:11:29.30","-05:02:36.9,-05:02:35.87,-05:02:35.99,-05:02:36.0,-05:02:35.9",0.00904,Ia,1.0,8.0,0.0,,227.0,110.0
SN1968I,1968/04/23,13.5,NGC 4981,"13:08:49,13:08:49.300,13:08:49.3,13:08:48.87","-06:46.7,-06:46:40.00,-06:46:40.0,-06:46:31.7",0.0056,Ia,1.0,1.0,,,,
SN2007le,2007/10/13,13.51,NGC 7721,"23:38:48.45,23:38:48.452,23:38:48.48,23:38:48.41","-06:31:21.7,-06:31:21.83,-06:31:21.684,-06:31:21.29,-06:31:21.3","0.006721,0.005522",Ia,503.0,58.0,,,420.0,420.0
SN1959C,1959/06/28,13.55,MCG +01-34-05,"13:11:23.81,13:11:23.82,13:11:23.810","+03:24:37.6,+03:24:37.8,+03:24:37.69,+03:24:37.7","0.00897,0.00944,0.0122",Ia,86.0,1.0,,,2015.0,187.0
SN1997br,1997/04/10,13.58,ESO 576-40,"13:20:42.40,13:20:42.401","-22:02:12.3,-22:02:12.30,-22:02:13.3",0.006941,Ia Pec,225.0,26.0,,,219.0,108.0
SN2006E,2006/01/12,13.6,NGC 5338,"13:53:28.65,13:53:28.56,13:53:28.52","+05:12:22.8,+05:12:22.284,+05:12:22.32,+05:12:22.2","0.0027,0.002686",Ia,122.0,4.0,,,16181.0,7017.0
SN2005am,2005/02/22,13.66,NGC 2811,"09:16:12.47,09:16:12.96","-16:18:16.0,-16:18:15.84","0.007899,0.008967,0.007899",Ia,483.0,32.0,,,117.0,117.0
SN2012dn,2012/07/08,13.67,ESO 462-G16,20:23:36.26,-28:16:43.4,0.010187,Ia,1378.0,68.0,,,191.0,191.0
SN2001V,2001/02/19,13.7,NGC 3987,"11:57:24.93,11:57:24.929","+25:12:09.0,+25:12:09.00","0.01502,0.01502",Ia,524.0,82.0,,,108.0,108.0
SN2009nr,2009/12/22,13.7,UGC 8255,"13:10:58.95,13:10:58.94","+11:29:29.3,+11:29:29.6",0.011224,Ia,147.0,1.0,,,257.0,110.0
SN2010ev,2010/06/27,13.7,NGC 3244,10:25:28.99,-39:49:51.2,0.009211,Ia,100.0,2.0,0.0,,0.0,0.0
SN1998bn,1998/04/17,13.7,NGC 4462,"12:29:18.80,12:29:18.88,12:29:18.881","-23:09:50.5,-23:09:49.2,-23:09:49.21",0.005981,Ia,1.0,9.0,,,230.0,113.0
SN2012hr,2012/12/16,13.71,ESO 121-G26,"06:21:38.46,06:21:38.472","-59:42:50.6,-59:42:50.76",0.008,Ia,387.0,14.0,,,208.0,208.0
SN2007bm,2007/04/20,13.73,NGC 3672,"11:25:02.30,11:25:2.40","-09:47:53.8,-09:47:53.81","0.006211,0.007441,0.006211",Ia,221.0,17.0,,,206.0,100.0
SN2013gh,2013/08/08,13.75,NGC 7183,"22:02:21.84,22:02:21.85","-18:55:00.4,-18:55:00.8",0.0088,Ia,707.0,5.0,,,456.0,303.0
