"Name","Disc. Date","Max Date","mmax","Host Name","R.A.","Dec.","z","Type","Phot.","Spec.","References"
"SN2009nv","2009/12/18","2009/12/17","19.1","A120255+1535","12:02:55.28","+15:35:02.4","0.09,0.09","Ia","1","","2010CBET.2131....2K,2012A&A...538A.120L,2016A&A...594A..13P,2008yCat....1.2024B,2011ApJ...737..103S"
"SN2009nw","2009/12/18","2009/12/17","19.4","A104010+2237","10:40:10.86","+22:37:35.5","0.14,0.14","II","1","","2012A&A...538A.120L,2010CBET.2131....2K,2016A&A...594A..13P,2008yCat....1.2024B,2011ApJ...737..103S"
"PSc580010","2009/12/21","2009/12/21","20.78","","02:26:56.021","-03:44:34.31","0.32723","Ia","33","","2017arXiv171000846J,2016A&A...594A..13P,2011ApJ...737..103S"
"PSc580072","2009/12/21","2013/12/04","21.27","","10:00:07.829","+02:01:25.00","0.22416","Ia","18","","2017arXiv171000846J,2016A&A...594A..13P,2011ApJ...737..103S"
"PSc130527","2009/12/21","2011/02/05","21.04","","09:54:54.757","+01:36:21.43","0.22004","Ia","14","","2017arXiv171000846J,2016A&A...594A..13P,2011ApJ...737..103S"
"SN2009mu","2009/12/21","2009/12/22","18.3","ESO 374-G3","09:51:57.75","-33:04:42.4","0.0098,0.0098","II","1","","2012A&A...538A.120L,2009CBET.2091....1P,2008yCat....1.2024B,2016A&A...594A..13P,2011ApJ...737..103S"
"SN2009nr","2009/12/22","2010/01/02","13.7","UGC 8255","13:10:58.95,13:10:58.94","+11:29:29.3,+11:29:29.6","0.011224","Ia","147","1","2011PAZh...37..837T,2011ApJ...726..106K,2012A&A...538A.120L,2010CBET.2111....3L,2008yCat....1.2024B"
"PSc000186","2009/12/23","2010/01/10","19.95","","09:57:35.450","+02:34:57.23","","Ia","32","","2017arXiv171000846J,2011ApJ...737..103S"
"PS1-12sf","2009/12/23","2012/03/28","20.02","","10:06:15.919","+02:24:24.74","0.18","Ia","26","","2017arXiv171000846J,2016A&A...594A..13P,2011ApJ...737..103S"
"PSc000060","2009/12/23","2010/03/09","22.01","","08:45:22.285","+43:05:05.27","0.14806","Ia","22","","2017arXiv171000846J,2016A&A...594A..13P,2011ApJ...737..103S"
"PSc000077","2009/12/23","2009/12/23","22.95","","08:38:55.186","+43:41:38.30","0.50709","Ia","13","","2017arXiv171000846J,2016A&A...594A..13P,2011ApJ...737..103S"
"SN2009mw","2009/12/23","2009/12/22","17.9","ESO 499-G5","09:47:14.96","-24:51:18.8","0.0143","II","1","4","2016MNRAS.460.3447T,2012A&A...538A.120L,2009CBET.2094....1M,2008yCat....1.2024B,2016A&A...594A..13P"
"SN2010E","2009/12/23","2010/12/23","17","ESO 13-G28","02:02:32.48","-79:40:52.5","0.0154","II","1","","2012A&A...538A.120L,2010CBET.2121....1M,2008yCat....1.2024B,2016A&A...594A..13P,2011ApJ...737..103S"
"SN2009mx","2009/12/24","2009/12/23","18.1","NGC 2839","09:20:37.72","+33:38:52.9","0.0275","Ia","1","","2009CBET.2095....1L,2012A&A...538A.120L,2016A&A...594A..13P,2008yCat....1.2024B,2011ApJ...737..103S"
"SN2009my","2009/12/24","2010/11/19","17.2","NGC 3559","11:10:46.38","+12:01:14.6","0.0108","II","1","","2012A&A...538A.120L,2009CBET.2095....1L,2008yCat....1.2024B,2016A&A...594A..13P,2011ApJ...737..103S"
"SN2009nb","2009/12/25","2009/12/22","18.4","A102804-3530","10:28:04.68","-35:30:02.2","","II","1","","2009CBET.2099....1P,2012A&A...538A.120L,2008yCat....1.2024B,2011ApJ...737..103S"
"SN2009na","2009/12/26","2009/12/25","15.3","UGC 5884","10:47:01.42,10:47:01.444,10:47:01.44","+26:32:38.1,+26:32:37.73,+26:32:36.96","0.020979","Ia","91","","2012ApJS..200...12H,2015ApJS..220....9F,2012A&A...538A.120L,2009CBET.2098....2N,2016A&A...594A..13P"
"PSc500163","2009/12/26","2013/04/29","21.45","","12:19:15.485","+47:09:50.34","0.25484","Ia","26","","2017arXiv171000846J,2016A&A...594A..13P,2011ApJ...737..103S"
"PSc000080","2009/12/26","2010/01/10","22.29","","08:38:36.043","+43:49:41.77","0.4518","Ia","25","","2017arXiv171000846J,2016A&A...594A..13P,2011ApJ...737..103S"
"SN2009mz","2009/12/26","2009/12/25","14.7","NGC 5426","14:03:24.64","-06:03:31.3","0.008579","Ia","1","1","2012A&A...538A.120L,2012PASP..124..668Y,2009CBET.2096....1M,2008yCat....1.2024B,2016A&A...594A..13P"
"PSc110725","2009/12/27","2011/01/16","22.23","","08:41:03.877","+44:29:11.67","","Ia","25","","2017arXiv171000846J,2011ApJ...737..103S"
"SN2009no","2009/12/27","2009/12/26","17.4","A125154+2604","12:51:54.75","+26:04:03.5","0.0457","Ia","1","","2009CBET.2107....3C,2012A&A...538A.120L,2016A&A...594A..13P,2008yCat....1.2024B,2011ApJ...737..103S"
"SN2009nq","2009/12/28","2009/12/27","15.2","NGC 7549","23:15:16.97,23:15:17.004","+19:01:22.5,+19:01:21.58","0.0158,0.0146,0.0157,0.0145","Ia","26","","2012ApJS..200...12H,2012A&A...538A.120L,2010CBET.2110....2O,2016A&A...594A..13P,2008yCat....1.2024B"
"SN2009nk","2009/12/29","2009/12/28","17","NGC 5491","14:10:58.72","+06:21:47.9","0.0196","Ia","1","","2012A&A...538A.120L,2009CBET.2102....1N,2008yCat....1.2024B,2016A&A...594A..13P,2011ApJ...737..103S"
"PTF09dav","2009/12/31","2009/08/07","19.57","","22:46:55.15,22:46:52.95,22:46:52.950","+21:37:34.1,+21:38:21.5,+21:38:21.50","0.0371,0.0371","I-faint","61","5","2011ApJ...732..118S,2012PASP..124..668Y,2012ApJ...755..161K,2014MNRAS.438.1391P,2016A&A...594A..13P"
"PTF09dxo","2009/12/31","2009/09/19","17.69","","02:01:47.64,02:01:47.448","-07:05:34.4,-07:05:37.824,-07:05:37.82","0.0519","Ia","24","1","2014MNRAS.444.3258M,2012PASP..124..668Y,2014arXiv1408.1430M,2014MNRAS.438.1391P,2016A&A...594A..13P"
"PTF09gul","2009/12/31","2009/11/16","18.59","","01:28:23.90,01:28:23.904","+33:51:40.7,+33:51:40.32","0.0725","Ia","17","1","2014MNRAS.444.3258M,2012PASP..124..668Y,2014arXiv1408.1430M,2014MNRAS.438.1391P,2016A&A...594A..13P"
"PTF10fel","2010","2010/04/03","","","16:27:31.103","+51:21:43.45","0.2356","SLSN-II","","","2016ApJ...830...13P,2016A&A...594A..13P,2012PASP..124..668Y,2011ApJ...737..103S"
"PTF10jwd","2010","2010/07/02","","","16:43:43.325","+44:31:43.80,+44:31:43.8","0.477","SLSN-II","","","2016ApJ...830...13P,2016A&A...594A..13P,2012PASP..124..668Y,2011ApJ...737..103S"
"PTF10qwu","2010","2010/08/21","","","16:51:10.572","+28:18:07.62","0.2258","SLSN-II","","","2016ApJ...830...13P,2016A&A...594A..13P,2012PASP..124..668Y,2011ApJ...737..103S"
"PTF10scc","2010","2010/08/26","","","23:28:10.495","+28:38:31.10","0.242","SLSN-II","","","2016ApJ...830...13P,2016A&A...594A..13P,2012PASP..124..668Y,2011ApJ...737..103S"
