"Name","Disc. Date","Max Date","mmax","Host Name","R.A.","Dec.","z","Type","Phot.","Spec.","References"
"SN1006A","1006/04/17","1006/09/05","-0.8","Milky Way","15:02:50,15:02:22.4","-41:56,-42:06:09.0","","Ia","4","","1996ApJ...459..438S,2014BASI...42...47G,2003ApJ...585..324W"
"SN1054A","1054/07/04","1054/07/27","-4","Milky Way","05:34:31,05:34:31.889,05:34:32.0","+22:01,+22:00:51.98,+22:00:52.0","","CC","2","","2014BASI...42...47G,1977hisu.book.....C,1973PASP...85..579T,1999PASP..111..871C,1969ApJ...157.1395O"
"SN1572A","1572/11/06","1572/11/26","-4","Milky Way","00:25:21.5,00:25:18,00:24:48.600,00:25:14.0","+64:08:27,+64:09,+64:08:48.98,+64:08:39.0","","I","19","1","2004ApJ...612..357R,2008Natur.456..617K,2014BASI...42...47G,2011ApJ...729L..15T,1997A&AS..124..259R"
"SN1604A","1604/10/09","1604/10/28","-2.95","Milky Way","17:30:42,17:30:38.599,17:30:40.8","-21:29,-21:28:52.00,-21:29:11.0","","I","35","","1977hisu.book.....C,2014BASI...42...47G,2016ApJ...817...36S"
"SN1885A","1885/08/17","1885/08/21","9","NGC 224","00:42:43.0,00:42:43.100,00:42:43.1,00:42:43.00","+41:16:04,+41:16:04.00,+41:16:04.0","-0.00097,-0.00097,-0.00097","I","23","","1885AN....113...21H,2012A&A...538A.120L,2011ApJ...737..103S"
"SN1895B","1895/07/06","1895/07/06","7.07","NGC 5253","13:39:55.9,13:39:57.3,13:39:57.300,13:39:57.30","-31:38:31,-31:38:06,-31:38:08.00,-31:38:08.0,-31:38:06.0","0.0014","Ia","82","","1933AnHar..84..189W,2012A&A...538A.120L,1898AJ.....19...31H,1896PASP....8..220H,1896AJ.....16...85H"
"SN1901B","1901/03/17","1901/02/10","13.5","NGC 4321","12:22:47.6,12:22:47.000,12:22:47.0,12:22:47.60","+15:49:25,+15:49:26.00,+15:49:26.0,+15:49:25.0","0.0053","I","7","","2012A&A...538A.120L,1917LicOB...9..108C,2016A&A...594A..13P,2008yCat.2283....0B,1938ApJ....88..285B"
"SN1907A","1907/05/09","1907/05/10","13.5","NGC 4674","12:46:02,12:46:02.600,12:46:02.6,12:46:02.83","-08:39.2,-08:39:12.00,-08:39:12.0,-08:39:08.6","0.005","I","1","","2012A&A...538A.120L,2016A&A...594A..13P,1993BICDS..42...17T,2011ApJ...737..103S,2008yCat....1.2024B"
"SN1909A","1909/01/26","1909/03/14","12.1","NGC 5457","14:02:03.17,14:02:03.12,14:02:03.1,14:02:02.600,14:02:02.6,14:02:03.10","+54:28:05.9,+54:27:57.96,+54:27:58,+54:27:57.00,+54:27:57.0,+54:27:58.0","0.00082,0.00079","II","8","","2012A&A...538A.120L,2008ApJ...673..999P,1974ApJ...194..223S,2016A&A...594A..13P,2004yCat.2250....0S"
"SN1917A","1917/07/19","1917/07/19","14.6","NGC 6946","20:34:46.9,20:34:46.900,20:34:46.90","+60:07:29,+60:07:30.00,+60:07:30.0,+60:07:29.0","0.00015","II","3","","2012A&A...538A.120L,1938ApJ....88..285B,2016A&A...594A..13P,1994AJ....108.1893S,2011ApJ...737..103S"
"SN1919A","1919/02/24","1919/02/26","11","NGC 4486","12:30:48.7,12:30:48.600,12:30:48.6,12:30:48.70","+12:25:04,+12:25:04.00,+12:25:04.0","0.00312,0.00541","I","8","","2012A&A...538A.120L,1938ApJ....88..285B,2016A&A...594A..13P,2008yCat.2283....0B,1992ApJ...390L..45P"
"SN1920A","1920/01/01","1920/01/13","10.4","NGC 2608","08:35:15.7,08:35:15.84,08:35:16.300,08:35:16.3,08:35:15.86","+28:28:31,+28:28:31.44,+28:28:30.00,+28:28:30.0,+28:28:29.4","0.00727,0.0072","II","12","","2008ApJ...673..999P,2012A&A...538A.120L,1939AnHar.910...47H,1920AN....210..373W,2016A&A...594A..13P"
"SN1921B","1921/04/06","1921/04/05","13.5","NGC 3184","10:18:19,10:18:19.000,10:18:19.0,10:18:19.83","+41:22.3,+41:22:18.00,+41:22:18.0,+41:22:47.9","0.002","II","1","","2012A&A...538A.120L,2016A&A...594A..13P,1993BICDS..42...17T,2011ApJ...737..103S,2008yCat....1.2024B"
"SN1921C","1921/12/05","1921/12/11","10.8","NGC 3184","10:18:23,10:18:23.100,10:18:23.1,10:18:24.00","+41:21.0,+41:21:02.00,+41:21:02.0,+41:21:31.9","0.00319","I","16","","1989AstNw......187H,1939PNAS...25..569S,2012A&A...538A.120L,2016A&A...594A..13P,1993BICDS..42...17T"
"SN1923A","1923/05/05","1923/05/10","13.95","NGC 5236","13:37:09.2,13:37:09.200,13:37:09.20","-29:51:04,-29:49:36.00,-29:49:36.0,-29:51:04.0","0.0017","II","44","","1936PASP...48..320L,2012A&A...538A.120L,2016A&A...594A..13P,1994ApJ...434..128C,2011ApJ...737..103S"
"SN1926A","1926/05/09","1926/05/09","14.3","NGC 4303","12:21:54,12:21:54.100,12:21:54.1,12:21:54.15","+04:29.6,+04:29:37.00,+04:29:37.0,+04:29:34.3","0.00804","II","4","","2012A&A...538A.120L,1938ApJ....88..285B,2016A&A...594A..13P,1994ApJ...433...19S,1993BICDS..42...17T"
"SN1936A","1936/01/02","1936/01/21","14.4","NGC 4273","12:19:55.9,12:19:55.92,12:19:56.000,12:19:56.0,12:19:55.96","+05:21:08,+05:21:07.92,+05:21:08.00,+05:21:08.0,+05:21:07.0","0.00783,0.0079","II","11","","2008ApJ...673..999P,2012A&A...538A.120L,1936PASP...48..226B,2016A&A...594A..13P,2011ApJ...737..103S"
"SN1937A","1937/02/16","1937/02/16","16.2","NGC 4157","12:11:08,12:11:08.100,12:11:08.1,12:11:08.79","+50:29.7,+50:29:43.00,+50:29:43.0,+50:29:47.4","0.0026","II","6","","2012A&A...538A.120L,1937PASP...49..204Z,2016A&A...594A..13P,1993BICDS..42...17T,2011ApJ...737..103S"
"SN1937C","1937/08/16","1937/08/24","8.4","IC 4182","13:05:53.2,13:05:52.400,13:05:52.4,13:05:53.20","+37:36:07,+37:37:08.00,+37:37:08.0,+37:36:07.0","0.001071,0.001071","Ia","425","2","1938ApJ....88..411B,1938PZP.....5..176P,1939AN....268..341B,1939ATsir..28...73D,2000PASP..112.1433C"
"SN1937D","1937/09/09","1937/09/18","10.5","NGC 1003","02:39:21.0,02:39:20.400,02:39:20.4,02:39:21.00","+40:52:20,+40:52:17.00,+40:52:17.0,+40:52:20.0","0.00518","Ia","259","1","1938ApJ....88..411B,1949PZ......7..109P,1939AN....268..341B,1939BHarO.910....1H,2012A&A...538A.120L"
"SN1937E","1937/11/26","1938/01/30","13.96","NGC 1482","03:54:37,03:54:37.600,03:54:37.6,03:54:37.21","-20:29.3,-20:29:17.00,-20:29:17.0,-20:29:17.5","0.0062","I","8","","2012A&A...538A.120L,1967AN....290...85R,2016A&A...594A..13P,1993BICDS..42...17T,1942ApJ....96...28Z"
"SN1937F","1937/12/09","1937/12/26","13.5","NGC 3184","10:18:16,10:18:16.700,10:18:16.7,10:18:17.42","+41:22.5,+41:22:29.00,+41:22:29.0,+41:22:58.9","0.0111","II","8","","2012A&A...538A.120L,1974ASSL...45...19R,2016A&A...594A..13P,1993BICDS..42...17T,1988SSRv...48....1R"
"SN1938A","1938/11/17","1938/11/14","15.2","MCG +06-06-68","02:37:37,02:37:37.800,02:37:37.8,02:37:39.33","+34:26.5,+34:26:30.00,+34:26:30.0,+34:25:25.2","0.016","I","4","","2012A&A...538A.120L,1939BHarO.910....1H,2016A&A...594A..13P,1993BICDS..42...17T,2011ApJ...737..103S"
"SN1939A","1939/01/17","1939/01/25","11.8","NGC 4636","12:42:48,12:42:48.700,12:42:48.7,12:42:47.94","+02:41.6,+02:41:36.00,+02:41:36.0,+02:41:35.6","0.00312","Ia","68","2","1939PASP...51..166G,1989ARA&A...2..244.,2000PASP..112.1433C,2012A&A...538A.120L,1939AN....268..341B"
"SN1939B","1939/05/19","1939/05/01","12.1","NGC 4621","12:42:02,12:42:02.500,12:42:02.5,12:42:02.28","+11:37.9,+11:37:53.00,+11:37:53.0,+11:37:58.9","0.00312,0.00357,0.00523","I","42","1","1989ARA&A...2..244.,1939AnHar.487.....S,2012A&A...538A.120L,2011ApJ...730...89P,2016A&A...594A..13P"
"SN1939C","1939/07/17","1939/07/05","13.1","NGC 6946","20:34:24.06,20:34:23.000,20:34:23.0,20:34:23.95","+60:09:29.9,+60:09:37.00,+60:09:37.0,+60:09:37.6","0.00015","I","12","","2012A&A...538A.120L,2016A&A...594A..13P,2003yCat.2246....0C,2011ApJ...737..103S,2008yCat....1.2024B"
"SN1940A","1940/02/16","1940/02/15","14.33","NGC 5907","15:16:11,15:16:11.100,15:16:11.1,15:16:10.19","+56:14.3,+56:14:15.00,+56:14:15.0,+56:14:34.1","0.0022","II","11","","2012A&A...538A.120L,1965stst.conf..367Z,2016A&A...594A..13P,1993BICDS..42...17T,2011ApJ...737..103S"
"SN1940C","1940/05/04","1940/05/04","16.3","IC 1099","15:06:54,15:06:55.000,15:06:55.0","+56:30.5,+56:30:32.00,+56:30:32.0","0.03","II","2","","2012A&A...538A.120L,2016A&A...594A..13P,1993BICDS..42...17T,2011ApJ...737..103S,2008yCat....1.2024B"
"SN1940B","1940/05/05","1940/05/04","12.74","NGC 4725","12:50:33,12:50:33.800,12:50:33.8,12:50:33.65","+25:32.2,+25:32:09.00,+25:32:09.0,+25:32:02.6","0.004","II","51","","1965stst.conf..367Z,2012A&A...538A.120L,2016A&A...594A..13P,1993BICDS..42...17T,2011ApJ...737..103S"
"SN1940E","1940/11/22","1940/11/21","14","NGC 253","00:47:31,00:47:31.400,00:47:31.4,00:47:29.36","-25:17.6,-25:17:37.00,-25:17:37.0,-25:17:35.6","0.00082","I","1","","2012A&A...538A.120L,2016A&A...594A..13P,1993BICDS..42...17T,2011ApJ...737..103S,2008yCat....1.2024B"
"SN1941A","1941/02/05","1941/03/28","13.14","NGC 4559","12:35:55,12:35:55.500,12:35:55.5,12:35:55.47","+27:58.0,+27:58:01.00,+27:58:01.0,+27:58:01.3","0.0027","II","26","","1965stst.conf..367Z,2012A&A...538A.120L,2016A&A...594A..13P,1993BICDS..42...17T,2011ApJ...737..103S"
"SN1941C","1941/04/16","1941/04/16","16.8","NGC 4136","12:09:21,12:09:21.300,12:09:21.3,12:09:21.10","+29:54.5,+29:54:30.00,+29:54:30.0,+29:54:32.8","0.002","II","4","","2012A&A...538A.120L,2016A&A...594A..13P,1993BICDS..42...17T,2011ApJ...737..103S,2008yCat....1.2024B"
"SN1945A","1945/04/08","1945/04/12","13.5","NGC 5195","13:29:57,13:29:57.900,13:29:57.9,13:29:58.84","+47:16.3,+47:16:16.00,+47:16:16.0,+47:15:54.1","0.0016","I","3","","2012A&A...538A.120L,2016A&A...594A..13P,1993BICDS..42...17T,2011ApJ...737..103S,2008yCat....1.2024B"
"SN1946B","1946/05/01","1946/04/30","15.7","NGC 4632","12:42:32,12:42:32.900,12:42:32.9,12:42:33.30","-00:04.9,-00:04:56.00,-00:04:56.0,-00:04:50.9","0.0057","II","1","","2012A&A...538A.120L,2016A&A...594A..13P,1993BICDS..42...17T,2011ApJ...737..103S,2008yCat....1.2024B"
"SN1947A","1947/03/15","1947/03/14","16.5","NGC 3177","10:16:35,10:16:35.600,10:16:35.6,10:16:35.36","+21:06.7,+21:06:45.00,+21:06:45.0,+21:06:42.9","0.0044","II","1","","2012A&A...538A.120L,2016A&A...594A..13P,1993BICDS..42...17T,2011ApJ...737..103S,2008yCat....1.2024B"
"SN1667A","05/28/1948","1593/01/13","4","Milky Way","23:23:26,23:23:27.9,23:23:22.8","+58:48,+58:48:42.0,+58:49:40.8","","IIb","1","1","2008Sci...320.1195K,2014BASI...42...47G,2016ApJS..224....8A,1948Natur.162..462R"
"SN1948B","1948/07/06","1948/06/05","14.88","NGC 6946","20:35:21.5,20:35:21.500,20:35:22.49","+60:10:16,+60:10:17.00,+60:10:17.0,+60:10:13.6","0.00015","II","34","18","2000PASP..112.1433C,1949PASP...61...97M,2012A&A...538A.120L,1948POBol...5h...6T,2016A&A...594A..13P"
"SN1950A","1950/03/20","1950/02/18","17.7","IC 4051","13:00:53,13:00:53.100,13:00:53.1,13:00:54.34","+28:00.6,+28:00:35.00,+28:00:35.0,+28:00:40.0","0.017","I","2","","2012A&A...538A.120L,1950PASP...62..116H,2016A&A...594A..13P,1993BICDS..42...17T,2011ApJ...737..103S"
"SN1951H","1951/09/01","1951/09/27","17.19","NGC 5457","14:03:55.30,14:03:55.2,14:03:55.3,14:03:53.400,14:03:53.4","+54:21:41.0,+54:21:41.04,+54:21:41,+54:21:43.00,+54:21:43.0","0.00378","II","17","","1974ApJ...194..223S,2012A&A...538A.120L,2008ApJ...673..999P,2016A&A...594A..13P,2004yCat.2250....0S"
"SN1953H","1953/03/16","1953/03/15","17","A110342+4951","11:03:41,11:03:41.700,11:03:41.7,11:03:42.10","+49:50.8,+49:50:47.00,+49:50:47.0,+49:50:57.0","","II","1","","2012A&A...538A.120L,1993BICDS..42...17T,2011ApJ...737..103S"
"SN1954A","1954/04/10","1954/04/19","9.1","NGC 4214","12:15:45,12:15:45.800,12:15:45.8,12:15:46.09","+36:16.2,+36:16:14.00,+36:16:14.0,+36:16:05.0","0.00097","Ib","166","12","2000PASP..112.1433C,1960PASP...72...97W,2000PASP..112.1439B,1955MmSAI..26..185P,1954NOGB....8...34B"
"SN1954B","1954/04/27","1954/04/30","12.3","NGC 5668","14:33:24.09,14:33:24.13,14:33:24.100,14:33:24.1","+04:26:41.6,+04:26:42.41,+04:26:42.00,+04:26:42.0,+04:26:42.4","0.00609","Ia","160","10","1960PASP...72...97W,2000PASP..112.1433C,1955MmSAI..26..185P,1954NOGB....8...34B,2012A&A...538A.120L"
"SN1954C","1954/09/27","1954/10/04","14.9","NGC 5879","15:09:45,15:09:45.500,15:09:45.5,15:09:45.06","+57:00.1,+57:00:03.00,+57:00:03.0,+56:59:49.7","0.0026","II","1","","2012A&A...538A.120L,2016A&A...594A..13P,1993BICDS..42...17T,2011ApJ...737..103S,2008yCat....1.2024B"
"SN1954J","1954/11/26","1954/10","","NGC 2403","07:36:56.20,07:36:55.361,07:36:55.36","+65:37:52.3,+65:37:52.10,+65:37:52.1","0.00043","II Pec?","","","2004yCat.2250....0S,2016A&A...594A..13P,2011ApJ...737..103S,2008yCat....1.2024B"
"SN1955B","1955/09/21","1955/10/06","15.8","MCG -02-03-74","01:07:32.7,01:07:32.700,01:07:32.74","-13:16:11,-13:16:12.00,-13:16:12.0,-13:16:12.2","0.054","I","8","","2012A&A...538A.120L,1956PASP...68..271Z,2016A&A...594A..13P,1993BICDS..42...17T,2011ApJ...737..103S"
"SN1956A","1956/03/08","1956/03/17","13.08","NGC 3992","11:57:43,11:57:35.100,11:57:43.43","+53:22.5,+53:22:00.00,+53:22:00.0,+53:22:19.2","0.00514,0.00559","Ia","68","8","2000PASP..112.1433C,1964AJ.....69..759Z,2012A&A...538A.120L,2000ApJ...540..634P,2016A&A...594A..13P"
"SN1957A","1957/02/26","1957/03/01","13.45","NGC 2841","09:21:51.2,09:21:50.400,09:21:50.4,09:21:51.20","+50:59:52,+50:59:43.00,+50:59:43.0,+50:59:52.0","0.0021","Ia","111","2","1965AJ.....70..564Z,1957NOGB...11...14W,1957Stern..33..127W,2000PASP..112.1433C,2012A&A...538A.120L"
"SN1957B","1957/04/23","1957/05/08","12.2","NGC 4374","12:25:02,12:25:02.700,12:25:02.7,12:25:03.12","+12:54.0,+12:53:58.00,+12:53:58.0,+12:54:00.7","0.00312,0.00375,0.00434,0.00659","Ia","115","7","2000PASP..112.1433C,1957AcASn...5..321L,2000PASP..112.1439B,1964AJ.....69..236B,1958AN....284..141G"
"SN1959E","1959/02/21","1960/02/20","17.5","NGC 4321","12:22:58.90,12:22:58.91,12:22:58.901","+15:49:01.1,+15:49:01.3,+15:49:01.09","0.0053","I","1","","2012A&A...538A.120L,2016A&A...594A..13P,1993PASP..105.1250P,2011ApJ...737..103S,2008yCat....1.2024B"
"SN1959C","1959/06/28","1959/06/28","13.55","MCG +01-34-05","13:11:23.81,13:11:23.82,13:11:23.810","+03:24:37.6,+03:24:37.8,+03:24:37.69,+03:24:37.7","0.00897,0.00944,0.0122","Ia","86","1","1962PASP...74..116M,2012A&A...538A.120L,2000PASP..112.1439B,2016A&A...594A..13P,2000ApJ...540..634P"
"SN1959D","1959/06/28","1959/06/30","13.31","NGC 7331","22:37:01.82,22:37:01.77,22:37:01.819","+34:25:08.5,+34:25:08.06,+34:25:08.40,+34:25:08.4","0.0027","II","80","25","2000PASP..112.1433C,2000PASP..112.1439B,1961ApJ...133..883A,2012A&A...538A.120L,2016A&A...594A..13P"
"SN1960F","1960/04/17","1960/04/20","10.6","NGC 4496A","12:31:42.05,12:31:42.06,12:31:42.050","+03:56:47.7,+03:56:47.9,+03:56:47.80,+03:56:47.8","0.00312,0.00323,0.00337,0.00341,0.00398","Ia","151","8","2000PASP..112.1439B,1962MmSAI..33..147M,1961MmSAI..32..249T,1960ATsir.215....2K,2012A&A...538A.120L"
"SN1960H","1960/06/18","1960/06/17","14.5","NGC 4096","12:06:07.52,12:06:07.53,12:06:07.519","+47:30:38.1,+47:30:38.4,+47:30:38.20,+47:30:38.2","0.0019","Ia","1","3","2000PASP..112.1439B,2012A&A...538A.120L,2000PASP..112.1433C,2016A&A...594A..13P,1993PASP..105.1250P"
"SN1960I","1960/06/18","1960/05/15","18.5","MCG +08-23-37","12:26:57.41,12:26:57.43,12:26:57.420,12:26:57.42","+48:16:28.5,+48:16:28.8,+48:16:28.60,+48:16:28.6","0.026","I","1","","2012A&A...538A.120L,2016A&A...594A..13P,1993PASP..105.1250P,2011ApJ...737..103S,2008yCat....1.2024B"
"SN1960M","1960/10/26","1960/10/25","15.7","NGC 2565","08:19:47.44,08:19:47.441","+22:02:28.7,+22:02:28.9,+22:02:28.72","0.012","I","1","","2012A&A...538A.120L,2016A&A...594A..13P,1993PASP..105.1250P,2011ApJ...737..103S,2008yCat....1.2024B"
"SN1960N","1960/10/26","1960/10/25","16.6","MCG +04-20-51","08:26:07.97,08:26:07.98,08:26:07.970","+21:27:32.3,+21:27:32.5,+21:27:32.29","0.015","I","1","1","2012A&A...538A.120L,2000PASP..112.1439B,2016A&A...594A..13P,1993PASP..105.1250P,2011ApJ...737..103S"
"SN1960P","1960/11/22","1960/11/21","17.5","MCG +05-03-47","01:06:10.04,01:06:10.039","+31:24:23.8,+31:24:23.6,+31:24:23.80","0.021","I","1","","2012A&A...538A.120L,2016A&A...594A..13P,1993PASP..105.1250P,2011ApJ...737..103S,2008yCat....1.2024B"
"SN1960R","1960/12/20","1960/12/19","12","NGC 4382","12:25:24.83,12:25:24.85,12:25:24.840,12:25:24.84","+18:09:19.3,+18:09:19.6,+18:09:19.40,+18:09:19.4","0.002432","Ia","85","2","1964AJ.....69..236B,2000PASP..112.1439B,2012A&A...538A.120L,1961AnHar1521.....G,1961ATsir.223....1Z"
"SN1961B","1961/01/12","1961/01/11","18.5","IC 2363","08:25:46.11,08:25:46.12,08:25:46.111","+19:27:14.6,+19:27:14.8,+19:27:14.62","0.025235","I","1","","2012A&A...538A.120L,2016A&A...594A..13P,1993PASP..105.1250P,2011ApJ...737..103S,2008yCat....1.2024B"
"SN1961D","1961/01/14","1961/01/05","16.7","MCG +05-30-101","12:50:56.40,12:50:56.41,12:50:56.400","+27:50:18.9,+27:50:19.1,+27:50:19.00,+27:50:19.0","0.025364","I","13","","1961PASP...73..185Z,2012A&A...538A.120L,2016A&A...594A..13P,1993PASP..105.1250P,1990ApJ...350..110C"
"SN1961F","1961/02/21","1961/02/18","12.99","NGC 3003","09:48:38.32,09:48:38.41,09:48:38.311,09:48:38.31","+33:25:35.1,+33:25:35.35,+33:25:35.11","0.00493","II","14","3","2000PASP..112.1439B,1965stst.conf..367Z,2012A&A...538A.120L,2016A&A...594A..13P,1993PASP..105.1250P"
"SN1961H","1961/05/02","1961/05/08","10.9","NGC 4564","12:36:27.27,12:36:27.28,12:36:27.300,12:36:27.3","+11:26:24.6,+11:26:24.64,+11:26:23.00,+11:26:23.0","0.003809,0.003809,0.00312,0.00518","Ia","29","","1962MmSAI..33...17R,2012A&A...538A.120L,1983PZP.....5..176T,1983PZ.....22...39T,2016A&A...594A..13P"
"SN1961I","1961/06/03","1961/06/20","13","NGC 4303","12:22:00.44,12:22:00.45,12:22:00.439","+04:28:13.3,+04:28:13.5,+04:28:13.30","0.0052","II","1","6","2000PASP..112.1439B,2012A&A...538A.120L,2016A&A...594A..13P,1993PASP..105.1250P,2011ApJ...737..103S"
"SN1961J","1961/06/06","1961/06/05","16","MCG +05-38-27","16:11:47.63,16:11:47.57,16:11:47.561,16:11:47.56,16:11:47.55","+29:34:22.4,+29:34:21.3,+29:34:21.22,+29:34:21.2","0.032","II","1","","2012A&A...538A.120L,2016A&A...594A..13P,2003yCat.2246....0C,2011ApJ...737..103S,2008yCat....1.2024B"
"SN1961P","1961/09/12","1961/09/11","13.81","UGC 2069","02:35:35,02:35:35.100,02:35:37.30","+37:37.5,+37:37:60.00,+37:38:00.0,+37:37:43.7","0.0112","Ia","92","","1964AJ.....69..236B,2012A&A...538A.120L,2016A&A...594A..13P,1988SSRv...48....1R,1993BICDS..42...17T"
"SN1961V","1961/12/05","1961/12/11","12.2","NGC 1058","02:43:36.42,02:43:24.000,02:43:24.00","+37:20:43.6,+37:20:43.58,+37:21:00.00,+37:21:00.0","0.00164","II Pec?","1","3","2000PASP..112.1439B,2016A&A...594A..13P,1995AJ....110.2261F,2011ApJ...737..103S,2008yCat....1.2024B"
"SN1961U","1962/01/02","1961/01/01","14.15","NGC 3938","11:52:56.8,11:52:56.88,11:52:47.100,11:52:56.90","+44:09:01,+44:09:01.44,+44:06:00.00,+44:06:00.0,+44:08:59.1","0.00263,0.0027","II","17","","1963MmSAI..34...33B,2008ApJ...673..999P,2012A&A...538A.120L,2016A&A...594A..13P,2011ApJ...737..103S"
"SN1962A","1962/01/06","1962/01/20","15.86","MCG +05-31-132","13:06:35.55,13:06:35.56,13:06:35.549","+27:52:29.6,+27:52:29.8,+27:52:29.71,+27:52:29.7","0.0232,0.0239,0.0291","Ia","20","","1967AJ.....72.1366Z,2012A&A...538A.120L,2016A&A...594A..13P,1990ApJ...350..110C,1993PASP..105.1250P"
"SN1962B","1962/01/06","1962/01/05","17","MCG +05-36-25","15:22:45.29,15:22:45.31,15:22:45.290","+29:46:08.1,+29:46:08.2,+29:46:08.11","0.023","I","1","","2012A&A...538A.120L,2016A&A...594A..13P,1993PASP..105.1250P,2011ApJ...737..103S,2008yCat....1.2024B"
"SN1962E","1962/03/02","1962/03/01","17.5","MCG +04-27-10","11:15:05.52,11:15:05.53,11:15:05.520","+25:53:31.5,+25:53:31.7,+25:53:31.60,+25:53:31.6","0.049","Ia*","13","","2012A&A...538A.120L,1967AJ.....72..407R,2016A&A...594A..13P,1993PASP..105.1250P,2011ApJ...737..103S"
"SN1962I","1962/05/28","1962/05/18","17.2","MCG +05-31-112","13:02:52.37,13:02:52.370","+27:31:10.2,+27:31:10.4,+27:31:10.20","","I","1","","2012A&A...538A.120L,1993PASP..105.1250P,2011ApJ...737..103S,2008yCat....1.2024B"
"SN1962H","1962/06/28","1962/06/27","13","IC 4237","13:24:31,13:24:31.300,13:24:31.3,13:24:31.39","-21:08.3,-21:08:16.00,-21:08:16.0,-21:08:15.3","0.0089","II","1","","2012A&A...538A.120L,2016A&A...594A..13P,1993BICDS..42...17T,2011ApJ...737..103S,2008yCat....1.2024B"
"SN1962J","1962/08/28","1962/08/28","13.39","NGC 6835","19:54:30,19:54:30.900,19:54:30.9,19:54:30.22","-12:34.5,-12:34:28.00,-12:34:28.0,-12:34:27.6","0.00729","Ia","40","3","1965MmSAI..36..299B,2000PASP..112.1439B,2012A&A...538A.120L,2016A&A...594A..13P,1993BICDS..42...17T"
"SN1962P","1962/10/09","1962/10/31","14.86","NGC 1654","04:45:49,04:45:49.400,04:45:49.4,04:45:49.63","-02:05.1,-02:05:06.00,-02:05:06.0,-02:05:02.1","0.015","I","11","","2012A&A...538A.120L,1963IBVS...37....1R,2016A&A...594A..13P,1993BICDS..42...17T,2011ApJ...737..103S"
"SN1962L","1962/11/23","1962/12/06","13.28","NGC 1073","02:43:40,02:43:42.700,02:43:42.7,02:43:40.94","+01:23.9,+01:23:52.00,+01:23:52.0,+01:23:49.7","0.004","Ic","154","1","1964AnAp...27..319B,1963Coel...31...52R,1963IBVS...37....1R,1989nane.conf..159C,2012A&A...538A.120L"
"SN1962M","1962/11/26","1962/12/04","11.4","NGC 1313","03:18:12.26,03:18:12.200,03:18:12.2,03:18:15.45","-66:31:38.5,-66:31:38.00,-66:31:38.0,-66:32:20.7","0.0016","II","19","","1963CorD.......119S,2012A&A...538A.120L,2016A&A...594A..13P,2004yCat.2250....0S,2011ApJ...737..103S"
"SN1962R","1962/12/01","1962/11/30","15.9","UGC 1810","02:21:30.1,02:21:31.1,02:21:30.100,02:21:31.10","+39:22:50,+39:22:58,+39:22:51.00,+39:22:51.0,+39:22:58.0","0.025","II","1","","2012A&A...538A.120L,1994IAUC.5926....2G,2016A&A...594A..13P,1994IAUC.5926....1K,2011ApJ...737..103S"
"SN1963A","1963/01/22","1963/01/21","18.1","MCG +05-36-32","15:27:00.00,15:27:00.01,15:26:60.000","+26:27:01.5,+26:27:01.6,+26:27:01.51","0.033","I","1","","2012A&A...538A.120L,2016A&A...594A..13P,1993PASP..105.1250P,2011ApJ...737..103S,2008yCat....1.2024B"
"SN1963D","1963/01/23","1963/01/23","15","NGC 4146","12:10:20,12:10:20.000,12:10:20.0,12:10:19.66","+26:25.4,+26:25:22.00,+26:25:22.0,+26:25:24.1","0.0305","Ia","25","","1965MmSAI..36..299B,2012A&A...538A.120L,1989nane.conf..182C,2016A&A...594A..13P,1988SSRv...48....1R"
"SN1963B","1963/01/23","1963/01/22","17","A151131+0514","15:11:31.42,15:11:31.421","+05:14:38.6,+05:14:38.8,+05:14:38.69,+05:14:38.7","0.039","I","1","","2012A&A...538A.120L,2016A&A...594A..13P,1993PASP..105.1250P,2011ApJ...737..103S,2008yCat....1.2024B"
"SN1963E","1963/01/23","1963/01/21","16.5","IC 1703","01:26:25.24,01:26:25.241","-01:38:29.8,-01:38:30.0,-01:38:29.80,+01:38:29.8","0.019","I","1","","2012A&A...538A.120L,2016A&A...594A..13P,1993PASP..105.1250P,2011ApJ...737..103S,2008yCat....1.2024B"
"SN1963C","1963/01/24","1963/01/26","15.4","MCG +05-31-32","12:57:47.73,12:57:47.74,12:57:47.729","+27:53:05.6,+27:53:05.8,+27:53:05.71,+27:53:05.7","0.0232,0.0303","I","4","","2012A&A...538A.120L,2016A&A...594A..13P,1968AJ.....73.1021K,1990ApJ...350..110C,1993PASP..105.1250P"
"SN1963I","1963/05/14","1963/05/05","13.93","NGC 4178","12:12:45.61,12:12:45.610","+10:51:30.8,+10:51:31.0,+10:51:30.82","0.0013","Ia","16","1","2012A&A...538A.120L,1985PZ.....22..191T,2000PASP..112.1433C,2016A&A...594A..13P,1993PASP..105.1250P"
"SN1963J","1963/05/18","1963/05/24","13","NGC 3913","11:50:38.29,11:50:38.4,11:50:38.30,11:50:38.299","+55:21:01.2,+55:21:01.44,+55:21:01.5,+55:21:01.30,+55:21:01.3","0.00318,0.0105","Ia","54","","1982A&A...116...43B,1989nane.conf..149C,1964MmSAI..35..129C,2012A&A...538A.120L,2008ApJ...673..999P"
