name,objname,ra,dec,z,z_err,v_helio,v_helio_err,h_dist,h_dist_err,z_indep_dist,type,morph,a_v,a_k,posn_ref,z_ref,sep,offset,host,galex_ra,galex_dec,morph_ref
SN1984A,SDSS J122654.56+150309.4,12h26m54.560s,+15d03m09.49s,-0.0002,2e-05,-61.157669999999996,5.096472,3.77,0.43,,G,,0.091,0.01,2007SDSS6.C...0000:,2016SDSSD.C...0000:,0.31,-0.07949099700000001,NGC 4419,12h26m55.73s,15d03m17.1s,
SN1963I,NGC 4178,12h12m46.45s,+10d51m57.5s,0.00125,0.0,374.14104,0.599585,10.21,0.79,25.0,G,SB(rs)dm,0.077,0.008,20032MASX.C.......:,2008AJ....136..713K,0.49,0.766794805,NGC 4178,12h12m45.61s,10d51m30.8s,1991RC3.9.C...0000d
SN1989B,MESSIER 066,11h20m14.964s,+12d59m29.54s,0.00243,1e-05,726.996813,2.997925,15.36,1.13,79.0,G,SAB(s)b,0.091,0.01,2010ApJS..189...37E,1991RC3.9.C...0000d,0.86,2.612318241,NGC 3627,11h20m13.93s,13d00m18.9s,1991RC3.9.C...0000d
SN1960R,VCC 0797,12h25m24.060s,+18d08m23.36s,0.0025800000000000003,2.9999999999999997e-05,772.8650650000003,8.094397,15.59,1.14,,G,E?,0.08,0.009000000000000001,2007SDSS6.C...0000:,1991RC3.9.C...0000d,0.95,3.062001745,NGC 4382,12h25m24.83s,18d09m19.3s,1991RC3.9.C...0000d
SN2006E,NGC 5338,13h53m26.550s,+05d12m27.95s,0.0027199999999999998,2.9999999999999997e-05,816.035185,8.993775,15.59,1.13,2.0,G,SB0:,0.07400000000000001,0.008,2007SDSS6.C...0000:,1991RC3.9.C...0000d,0.53,1.80387148,NGC 5338,13h53m28.65s,5d12m22.8s,1991RC3.9.C...0000d
SN2004W,NGC 4649:[TMB2011] 1083,12h43m37.180s,+11d31m45.70s,0.00372,0.00013000000000000002,1116.127477,39.872402,20.56,1.58,,PN,,0.071,0.008,2011ApJ...736...65T,2011ApJ...736...65T,0.182,0.860769529,NGC 4649,12h43m36.52s,11d31m50.8s,
SN1994U,NGC 4948,13h04m55.96s,-07d56m51.7s,0.00375,2e-05,1123.022705,6.295642,20.72,1.49,5.0,G,SB(s)dm: edge-on,0.152,0.017,20032MASX.C.......:,2006HIPAS.C...0000:,0.043,0.198687035,NGC 4948,13h04m56.13s,-7d56m51.7s,1991RC3.9.C...0000d
SN1991bg,PNS-EPN-NGC4374-217,12h25m02.910s,+12d52m22.10s,0.00379,8e-05,1137.112952,23.084022,20.97,1.54,,PN,,0.113,0.012,2009MNRAS.394.1249C,2009MNRAS.394.1249C,0.221,1.064324055,NGC 4374,12h25m03.7s,12d52m15.6s,
SN1961H,NGC 4564,12h36m26.983s,+11d26m21.42s,0.00381,1e-05,1141.909633,2.39834,21.0,1.51,30.0,G,E,0.092,0.01,2010ApJS..189...37E,2000MNRAS.313..469S,0.08800000000000001,0.42369241799999996,NGC 4564,12h36m27.27s,11d26m24.6s,1991RC3.9.C...0000d
SN1983G,NGC 4753,12h52m22.11s,-01d11m58.9s,0.0038799999999999998,2e-05,1162.895107,5.096472,21.39,1.54,15.0,G,I0,0.091,0.01,20032MASX.C.......:,2011MNRAS.413..813C,0.373,1.8045243880000001,NGC 4753,12h52m20.9s,-1d12m12s,1991RC3.9.C...0000d
SN2001el,NGC 1448,03h44m31.92s,-44d38m41.4s,0.0039,1e-05,1167.99158,2.098548,15.74,1.1,56.0,G,SAcd: edge-on,0.039,0.004,20032MASX.C.......:,2004AJ....128...16K,0.381,2.168359717,NGC 1448,3h44m30.6s,-44d38m23.4s,1991RC3.9.C...0000d
SN2003cg,NGC 3169,10h14m15.0502s,+03d27m57.875s,0.00413,1e-05,1238.143025,3.897302,22.73,1.63,16.0,G,SA(s)a pec,0.085,0.009000000000000001,2005ApJ...627..674A,2001A&A...378..370V,0.242,1.24869859,NGC 3169,10h14m15.97s,3d28m02.5s,1991RC3.9.C...0000d
SN1994ae,NGC 3370,10h47m04.051s,+17d16m25.04s,0.00427,1e-05,1278.9148050000001,3.897302,23.07,1.65,54.0,G,SA(s)c,0.084,0.009000000000000001,2007SDSS6.C...0000:,1980AJ.....85.1312K,0.513,2.8554486530000003,NGC 3370,10h47m01.94s,17d16m30.8s,1991RC3.9.C...0000d
SN1989M,WISEA J123739.45+114855.9,12h37m39.440s,+11d48m55.20s,0.00464,0.00013000000000000002,1391.336992,38.673232,24.54,1.83,,HII,,0.11199999999999999,0.012,2005SDSS4.C...0000:,2005SDSS4.C...0000:,0.594,3.458276993,NGC 4579,12h37m40.72s,11d49m25.5s,
SN2000E,NGC 6951,20h37m14.09s,+66d06m20.3s,0.00475,1e-05,1424.014375,1.4989629999999998,18.09,1.28,18.0,G,SAB(rs)bc,1.021,0.11199999999999999,20032MASX.C.......:,1998AJ....115...62H,0.502,3.008231364,NGC 6951,20h37m13.77s,66d05m50.2s,1991RC3.9.C...0000d
SN2003gs,NGC 0936,02h27m37.46s,-01d09m22.6s,0.00477,1e-05,1430.010225,4.197095,16.98,1.21,13.0,G,SB0^+(rs),0.09699999999999999,0.011000000000000001,20032MASX.C.......:,2000MNRAS.313..469S,0.31,1.8437880080000002,NGC 936,2h27m38.36s,-1d09m35.4s,1991RC3.9.C...0000d
SN1993Z,SDSS J091019.52+070141.1,09h10m19.530s,+07d01m41.20s,0.00488,0.00022999999999999998,1463.8867779999994,68.052898,25.34,2.05,,G,,0.11800000000000001,0.013000000000000001,2004SDSS3.C...0000:,2004SDSS3.C...0000:,0.025,0.147023212,NGC 2775,9h10m19.6s,7d01m40.2s,
SN2005ke,NGC 1371,03h35m01.341s,-24d55m59.64s,0.00488,1e-05,1462.9874,2.098548,19.21,1.35,13.0,G,SAB(rs)a,0.07200000000000001,0.008,2010ApJS..189...37E,2004AJ....128...16K,0.9440000000000001,6.058888962,NGC 1371,3h35m04.35s,-24d56m38.8s,1991RC3.9.C...0000d
SN2007gi,SDSS J120125.49+615339.7,12h01m25.490s,+61d53m39.80s,0.005,8e-05,1497.463538,23.383815,23.24,1.67,,PofG,,0.065,0.006999999999999999,2004SDSS2.C...0000:,2004SDSS2.C...0000:,0.264,3.2854158069999997,NGC 4036,12h01m23.42s,61d53m33.8s,
SN2006X,SDSS J122254.57+154916.4,12h22m54.580s,+15d49m16.40s,0.00519,0.00011,1555.923075,32.677383,26.87,1.97,,PofG,,0.07200000000000001,0.008,2006SDSS5.C...0000:,2006SDSS5.C...0000:,0.7559999999999999,4.902019114,NGC 4321,12h22m53.93s,15d48m32s,
SN1992G,NGC 3294,10h36m16.250s,+37d19m28.90s,0.0052899999999999996,2e-05,1585.902325,5.99585,26.4,1.87,35.0,G,SA(s)c,0.053,0.006,2006SDSS5.C...0000:,1991RC3.9.C...0000d,0.508,4.071768069,NGC 3294,10h36m18.57s,37d19m16.2s,1991RC3.9.C...0000d
SN2007af,NGC 5584,14h22m23.767s,-00d23m15.61s,0.0054600000000000004,1e-05,1638.06622,3.897302,26.95,1.9,37.0,G,SAB(rs)cd,0.107,0.012,2007SDSS6.C...0000:,2004AJ....128...16K,0.7759999999999999,5.283574323,NGC 5584,14h22m21.03s,-0d23m37.6s,1991RC3.9.C...0000d
SN1981B,2dFGRS N388Z200,12h34m27.59s,+02d11m11.3s,0.0055,0.00021,1648.85875,63.855803,28.45,2.22,,PofG,,0.05,0.006,20032dF...C...0000C,20032dF...C...0000C,0.941,6.450446696,NGC 4536,12h34m29.57s,2d11m59.3s,
SN1992A,NGC 1380:[PKT2004] 1380m2GC26 ,03h36m26.28s,-34d57m54.6s,0.00555,0.00023999999999999998,1662.948997,71.050822,22.38,1.87,,*Cl,,0.046,0.005,2004A&A...415..123P,2004A&A...415..123P,0.451,3.31330017,NGC 1380,3h36m27.41s,-34d57m31.4s,
SN1993R,NGC 7742,23h44m15.73s,+10d46m01.5s,0.00555,0.0,1662.948997,0.899378,18.52,1.35,6.0,G,SA(r)b,0.151,0.017,20032MASX.C.......:,1998A&AS..130..333T,0.16699999999999998,1.16418171,NGC 7742,23h44m16.29s,10d46m07.1s,1991RC3.9.C...0000d
