,Name,Disc. Date,Band,R.A.,Dec.,Total Epochs,Epochs Pre-SN,Epochs Post-SN,First Epoch,Last Epoch,Next Epoch,File
41,ASASSN-14ew,2014-08-04,FUV,20h22m00.88s,-51d47m46.5s,2,2,0,4016,-3981,nan,ASASSN-14ew-FUV.fits.gz
42,ASASSN-14ew,2014-08-04,NUV,20h22m00.88s,-51d47m46.5s,2,2,0,4016,-3981,nan,ASASSN-14ew-NUV.fits.gz
43,ASASSN-14fa,2014-08-05,FUV,2h52m23.06s,-31d49m18s,2,2,0,2487,-2411,nan,ASASSN-14fa-FUV.fits.gz
44,ASASSN-14fa,2014-08-05,NUV,2h52m23.06s,-31d49m18s,3,3,0,2487,-1005,nan,ASASSN-14fa-NUV.fits.gz
45,ASASSN-14fo,2014-08-15,FUV,20h34m06.432s,-1d58m03.59s,2,2,0,2935,-2897,nan,ASASSN-14fo-FUV.fits.gz
46,ASASSN-14fo,2014-08-15,NUV,20h34m06.432s,-1d58m03.59s,2,2,0,2935,-2897,nan,ASASSN-14fo-NUV.fits.gz
47,ASASSN-14fw,2014-08-18,FUV,23h49m06.723s,-7d02m56.59s,3,3,0,3958,-2529,nan,ASASSN-14fw-FUV.fits.gz
48,ASASSN-14fw,2014-08-18,NUV,23h49m06.723s,-7d02m56.59s,4,4,0,3958,-2529,nan,ASASSN-14fw-NUV.fits.gz
49,ASASSN-14gh,2014-08-28,FUV,17h15m09.35s,41d48m39.3s,3,3,0,2649,-1921,nan,ASASSN-14gh-FUV.fits.gz
50,ASASSN-14gh,2014-08-28,NUV,17h15m09.35s,41d48m39.3s,6,6,0,2649,-1844,nan,ASASSN-14gh-NUV.fits.gz
51,ASASSN-14hr,2014-09-25,FUV,1h50m41.23s,-14d31m04.75s,2,2,0,3625,-3624,nan,ASASSN-14hr-FUV.fits.gz
52,ASASSN-14hr,2014-09-25,NUV,1h50m41.23s,-14d31m04.75s,2,2,0,3625,-3624,nan,ASASSN-14hr-NUV.fits.gz
53,ASASSN-14hu,2014-09-27,NUV,6h43m26.92s,-69d38m14.7s,1,1,0,989,-989,nan,ASASSN-14hu-NUV.fits.gz
54,ASASSN-14ig,2014-09-21,FUV,1h16m04.95s,-61d37m16.6s,1,1,0,4014,-4014,nan,ASASSN-14ig-FUV.fits.gz
